date,block,taxon,total_abund,treatment,tile_id
2020-09-14,F,Amphipoda,17,CW,95
2020-09-14,F,Insecta,1,CW,95
2020-09-14,F,Littorina_scutulata,4,CW,95
2020-09-14,B,Littorina_sitkana,1,WW,31
2020-09-14,B,Littorina_scutulata,6,WW,31
2020-09-14,E,Littorina_sitkana,18,CW,78
2020-09-14,E,Littorina_scutulata,34,CW,78
2020-09-14,E,Amphipoda,3,CW,78
2020-09-14,C,Amphipoda,7,WC,40
2020-09-14,C,Littorina_scutulata,3,WC,40
2020-09-14,C,Littorina_sitkana,24,WC,40
2020-09-14,C,Lottia_paradigitalis,5,WC,40
2020-09-14,F,Littorina_scutulata,3,WW,82
2020-09-14,A,Amphipoda,1,WW,14
2020-09-14,A,Polychaeta,1,WW,14
2020-09-14,C,Amphipoda,5,CC,47
2020-09-14,C,Copepoda,3,CC,47
2020-09-14,C,Cirripedia_larva,10,CC,47
2020-09-14,C,Littorina_scutulata,14,CC,47
2020-09-14,C,Littorina_sitkana,60,CC,47
2020-09-14,C,Mytilus_trossulus,3,CC,47
2020-09-14,C,Littorina_sitkana,4,WW,33
2020-09-14,C,Amphipoda,3,WW,33
2020-09-14,D,Lottia_paradigitalis,6,CW,59
2020-09-14,D,Mytilus_trossulus,1,CW,59
2020-09-14,D,Littorina_sitkana,2,CW,59
2020-09-14,D,Littorina_scutulata,1,CW,59
2020-09-14,D,Amphipoda,3,CW,59
2020-09-14,E,Cirripedia_larva,3,WW,80
2020-09-14,E,Littorina_scutulata,11,WW,80
2020-09-14,E,Littorina_sitkana,3,WW,80
2020-09-14,E,Amphipoda,1,WW,80
2020-09-14,E,Insecta,1,WW,80
2020-09-14,E,Mytilus_trossulus,1,WW,80
2020-09-14,B,Littorina_scutulata,3,CW,19
2020-09-14,B,Littorina_sitkana,2,CW,19
2020-09-14,B,Amphipoda,1,CW,19
2020-09-14,C,Lottia_paradigitalis,7,WC,39
2020-09-14,C,Littorina_scutulata,8,WC,39
2020-09-14,C,Littorina_sitkana,29,WC,39
2020-09-14,C,Amphipoda,1,WC,39
2020-09-14,C,Cirripedia_larva,1,WC,39
2020-09-14,D,Littorina_scutulata,1,WW,64
2020-09-14,C,Lottia_paradigitalis,4,WW,38
2020-09-14,C,Littorina_scutulata,7,WW,38
2020-09-14,C,Cirripedia_larva,3,WW,38
2020-09-14,A,Cirripedia_larva,5,CW,11
2020-09-14,A,Copepoda,3,CW,11
2020-09-14,A,Amphipoda,8,CW,11
