species,type
Ulothrix_sp,alga
Ulva_sp,alga
Savoiea_robusta,alga
Pyropia_sp,alga
Leathesia_marina,alga
Fucus_distichus,alga
Endocladia_muricata,alga
Petalonia_fascia,alga
Scunge,alga
Mastocarpus_sp_crust,alga
Balanus_glandula,invert
Chthamalus_dalli,invert
Lottia_paradigitalis,invert
Littorina_scutulata,invert
Littorina_sitkana,invert
Lottia_digitalis,invert
Lottia_scutum,invert
Mytilus_trossulus,invert
Annelida,invert
Pagurus_hirsutiusculus,invert
Amphipoda,invert
Lottia_pelta,invert
Onchidoris_bilamellata,invert
Lottia_sp_recruits,invert
Isopoda,invert
Emplectonema_gracile,invert
