tile_id,survey_no,block,original_herb_trt,angle,new_compass,shore_level,treatment,trt_y1,trt_y2,notes
49,1,A,"lsi, ld",16,55,2.382,CC,C,C,NA
50,1,A,NA,23,52,2.382,CC,C,C,NA
47,1,A,lsc,32,55,2.382,CC,C,C,NA
51,1,A,"lsc, lpd",32,55,2.382,W,W,,NA
52,1,A,lpd,34,51,2.382,CW,C,W,NA
53,1,A,ld,23,42,2.382,CC,C,C,NA
54,1,A,"lsi, lpd",23,70,2.382,CC,C,C,NA
55,1,A,"lsc, lsi, ld, lpd",18,67,2.382,WW,W,W,NA
56,1,A,"lsi, ld",17,73,2.382,WW,W,W,NA
57,1,A,NA,18,74,2.382,WC,W,C,NA
58,1,A,lsi,20,77,2.382,CC,C,C,NA
59,1,A,"lsc, lsi, ld, lpd",17,77,2.382,CW,C,W,NA
60,1,A,ld,23,77,2.382,WC,W,C,NA
61,1,A,"lsc, ld",19,76,2.382,CW,C,W,NA
62,1,A,lsc,19,50,2.382,WC,W,C,NA
63,1,A,"lsc, ld",28,35,2.382,WC,W,C,NA
64,1,A,lsi,36,50,2.382,WW,W,W,NA
44,1,A,"lsi, lpd",29,65,2.382,WW,W,W,NA
46,1,A,"lsc, lpd",15,67,2.382,CW,C,W,NA
97,1,A,lpd,10,NA,2.382,W,W,,NA
1,1,B,"lsc, lpd",13,98,2.404,WC,W,C,NA
2,1,B,"lsc, ld",14,102,2.404,CC,C,C,NA
3,1,B,"lsi, ld",14,108,2.404,WW,W,W,NA
4,1,B,lsc,28,95,2.404,WW,W,W,NA
5,1,B,ld,24,85,2.404,WC,W,C,NA
6,1,B,"lsi, ld",23,89,2.404,WC,W,C,NA
7,1,B,lpd,23,89,2.404,CC,C,C,NA
8,1,B,"lsc, lsi, ld, lpd",28,89,2.404,CW,C,W,NA
9,1,B,lsc,21,85,2.404,CC,C,C,NA
10,1,B,lsi,24,80,2.404,WC,W,C,NA
11,1,B,ld,23,80,2.404,CW,C,W,NA
12,1,B,lsi,26,82,2.404,CW,C,W,NA
43,1,B,NA,16,70,2.404,WW,W,W,NA
42,1,B,"lsc, lsi, ld, lpd",14,66,2.404,WW,W,W,NA
98,1,B,"lsc, lpd",15,NA,2.404,C,C,,NA
99,1,B,NA,11,NA,2.404,C,C,,NA
13,1,B,"lsc, ld",34,106,2.404,CW,C,W,NA
14,1,B,"lsi, lpd",29,95,2.404,WW,W,W,NA
15,1,B,lpd,32,103,2.404,WW,W,W,NA
16,1,B,"lsi, lpd",33,90,2.404,CC,C,C,NA
65,1,C,"lsi, ld",14,107,2.105,W,W,,NA
66,1,C,lpd,12,88,2.105,C,C,,NA
67,1,C,ld,16,114,2.105,W,W,,NA
38,1,C,"lsc, lpd",18,44,2.105,WW,W,W,NA
48,1,C,NA,20,60,2.105,CW,C,W,NA
41,1,C,"lsi, ld",15,65,2.105,CC,C,C,NA
36,1,C,"lsc, ld",19,55,2.105,WC,W,C,NA
68,1,C,NA,16,125,2.105,WC,W,C,NA
69,1,C,"lsc, ld",20,115,2.105,C,C,,NA
70,1,C,lpd,20,103,2.105,WW,W,W,NA
71,1,C,lsc,16,98,2.105,WC,W,C,NA
72,1,C,"lsc, lsi, ld, lpd",11,88,2.105,CC,C,C,NA
73,1,C,ld,10,110,2.105,CC,C,C,NA
74,1,C,"lsc, lpd",9,113,2.105,CC,C,C,NA
