"","date","block","number","species","count","percent_cover","colour","timediff"
"1",2019-05-09,"F",1,"balanus",44,NA,"warm",3.81547619047619
"2",2019-05-09,"F",2,"balanus",76,NA,"warm",3.81547619047619
"3",2019-05-09,"B",9,"balanus",60,NA,"ambient",3.81547619047619
"4",2019-05-09,"F",3,"balanus",129,NA,"ambient",3.81547619047619
"5",2019-05-09,"F",4,"balanus",86,NA,"ambient",3.81547619047619
"6",2019-05-09,"F",5,"balanus",38,NA,"warm",3.81547619047619
"7",2019-05-09,"C",8,"balanus",68,NA,"warm",3.81547619047619
"8",2019-05-09,"F",6,"balanus",103,NA,"warm",3.81547619047619
"9",2019-05-09,"C",7,"balanus",38,NA,"warm",3.81547619047619
"10",2019-05-09,"F",7,"balanus",34,NA,"ambient",3.81547619047619
"11",2019-05-09,"F",8,"balanus",52,NA,"warm",3.81547619047619
"12",2019-05-09,"F",9,"balanus",50,NA,"ambient",3.81547619047619
"13",2019-05-09,"F",10,"balanus",67,NA,"warm",3.81547619047619
"14",2019-05-09,"F",11,"balanus",35,NA,"ambient",3.81547619047619
"15",2019-05-09,"F",12,"balanus",39,NA,"ambient",3.81547619047619
"16",2019-05-09,"F",13,"balanus",78,NA,"warm",3.81547619047619
"17",2019-05-09,"F",14,"balanus",107,NA,"ambient",3.81547619047619
"18",2019-05-09,"C",1,"balanus",73,NA,"warm",3.81547619047619
"19",2019-05-09,"B",2,"balanus",173,NA,"warm",3.81547619047619
"20",2019-05-09,"NA",NA,"balanus",68,NA,NA,3.81547619047619
"21",2019-05-09,"A",1,"balanus",34,NA,"warm",3.81547619047619
"22",2019-05-09,"A",2,"balanus",55,NA,"warm",3.81547619047619
"23",2019-05-09,"A",3,"balanus",58,NA,"ambient",3.81547619047619
"24",2019-05-09,"A",4,"balanus",67,NA,"warm",3.81547619047619
"25",2019-05-09,"A",5,"balanus",66,NA,"warm",3.81547619047619
"26",2019-05-09,"A",6,"balanus",28,NA,"warm",3.81547619047619
"27",2019-05-09,"A",7,"balanus",34,NA,"ambient",3.81547619047619
