1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5700000050F94C21
Is Mission Active?  true
Mission Start:  Wed Jun 05 18:12:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1699
Total Samples:  2997
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 6:12:00 PM,C,20
05/06/19 7:12:00 PM,C,19.5
05/06/19 8:12:00 PM,C,18
05/06/19 9:12:00 PM,C,17
05/06/19 10:12:00 PM,C,16.5
05/06/19 11:12:00 PM,C,15.5
06/06/19 12:12:00 AM,C,15.5
06/06/19 1:12:00 AM,C,15.5
06/06/19 2:12:00 AM,C,15
06/06/19 3:12:00 AM,C,15
06/06/19 4:12:00 AM,C,14.5
06/06/19 5:12:00 AM,C,14
06/06/19 6:12:00 AM,C,14.5
06/06/19 7:12:00 AM,C,14.5
06/06/19 8:12:00 AM,C,13
06/06/19 9:12:00 AM,C,16
06/06/19 10:12:00 AM,C,16
06/06/19 11:12:00 AM,C,23
06/06/19 12:12:00 PM,C,23
06/06/19 1:12:00 PM,C,21.5
06/06/19 2:12:00 PM,C,17.5
06/06/19 3:12:00 PM,C,17.5
06/06/19 4:12:00 PM,C,17
06/06/19 5:12:00 PM,C,16.5
06/06/19 6:12:00 PM,C,12
06/06/19 7:12:00 PM,C,11.5
06/06/19 8:12:00 PM,C,11
06/06/19 9:12:00 PM,C,11
06/06/19 10:12:00 PM,C,11
06/06/19 11:12:00 PM,C,11
07/06/19 12:12:00 AM,C,11.5
07/06/19 1:12:00 AM,C,11
07/06/19 2:12:00 AM,C,11
07/06/19 3:12:00 AM,C,11
07/06/19 4:12:00 AM,C,11
07/06/19 5:12:00 AM,C,11.5
07/06/19 6:12:00 AM,C,11.5
07/06/19 7:12:00 AM,C,11
07/06/19 8:12:00 AM,C,11.5
07/06/19 9:12:00 AM,C,11.5
07/06/19 10:12:00 AM,C,12
07/06/19 11:12:00 AM,C,21.5
07/06/19 12:12:00 PM,C,19
07/06/19 1:12:00 PM,C,19
07/06/19 2:12:00 PM,C,23
07/06/19 3:12:00 PM,C,20
07/06/19 4:12:00 PM,C,18
07/06/19 5:12:00 PM,C,15.5
07/06/19 6:12:00 PM,C,13.5
07/06/19 7:12:00 PM,C,11.5
07/06/19 8:12:00 PM,C,11.5
07/06/19 9:12:00 PM,C,11
07/06/19 10:12:00 PM,C,11.5
07/06/19 11:12:00 PM,C,11
08/06/19 12:12:00 AM,C,11
08/06/19 1:12:00 AM,C,11.5
08/06/19 2:12:00 AM,C,11
08/06/19 3:12:00 AM,C,11
08/06/19 4:12:00 AM,C,11
08/06/19 5:12:00 AM,C,11.5
08/06/19 6:12:00 AM,C,11.5
08/06/19 7:12:00 AM,C,11.5
08/06/19 8:12:00 AM,C,11.5
08/06/19 9:12:00 AM,C,11.5
