1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AF00000051007621
Is Mission Active?  true
Mission Start:  Wed Jun 05 18:40:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1695
Total Samples:  2993
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 6:40:00 PM,C,20
05/06/19 7:40:00 PM,C,18.5
05/06/19 8:40:00 PM,C,17
05/06/19 9:40:00 PM,C,16.5
05/06/19 10:40:00 PM,C,17
05/06/19 11:40:00 PM,C,15.5
06/06/19 12:40:00 AM,C,16
06/06/19 1:40:00 AM,C,15
06/06/19 2:40:00 AM,C,15.5
06/06/19 3:40:00 AM,C,15
06/06/19 4:40:00 AM,C,15
06/06/19 5:40:00 AM,C,14.5
06/06/19 6:40:00 AM,C,14.5
06/06/19 7:40:00 AM,C,15
06/06/19 8:40:00 AM,C,14.5
06/06/19 9:40:00 AM,C,14.5
06/06/19 10:40:00 AM,C,17.5
06/06/19 11:40:00 AM,C,20
06/06/19 12:40:00 PM,C,20.5
06/06/19 1:40:00 PM,C,19.5
06/06/19 2:40:00 PM,C,13.5
06/06/19 3:40:00 PM,C,15
06/06/19 4:40:00 PM,C,16.5
06/06/19 5:40:00 PM,C,17
06/06/19 6:40:00 PM,C,12
06/06/19 7:40:00 PM,C,11.5
06/06/19 8:40:00 PM,C,11
06/06/19 9:40:00 PM,C,11
06/06/19 10:40:00 PM,C,10.5
06/06/19 11:40:00 PM,C,11
07/06/19 12:40:00 AM,C,11
07/06/19 1:40:00 AM,C,11
07/06/19 2:40:00 AM,C,11
07/06/19 3:40:00 AM,C,11
07/06/19 4:40:00 AM,C,11
07/06/19 5:40:00 AM,C,11.5
07/06/19 6:40:00 AM,C,11
07/06/19 7:40:00 AM,C,11
07/06/19 8:40:00 AM,C,11.5
07/06/19 9:40:00 AM,C,12
07/06/19 10:40:00 AM,C,15.5
07/06/19 11:40:00 AM,C,23
07/06/19 12:40:00 PM,C,18.5
07/06/19 1:40:00 PM,C,19.5
07/06/19 2:40:00 PM,C,22.5
07/06/19 3:40:00 PM,C,26
07/06/19 4:40:00 PM,C,21
07/06/19 5:40:00 PM,C,19.5
07/06/19 6:40:00 PM,C,16.5
07/06/19 7:40:00 PM,C,11.5
07/06/19 8:40:00 PM,C,11
07/06/19 9:40:00 PM,C,11
07/06/19 10:40:00 PM,C,11
07/06/19 11:40:00 PM,C,11
08/06/19 12:40:00 AM,C,11
08/06/19 1:40:00 AM,C,11
08/06/19 2:40:00 AM,C,11
08/06/19 3:40:00 AM,C,11
08/06/19 4:40:00 AM,C,11
08/06/19 5:40:00 AM,C,11
08/06/19 6:40:00 AM,C,11
08/06/19 7:40:00 AM,C,11.5
08/06/19 8:40:00 AM,C,11.5
08/06/19 9:40:00 AM,C,13.5
08/06/19 10:40:00 AM,C,18
08/06/19 11:40:00 AM,C,21
08/06/19 12:40:00 PM,C,25
08/06/19 1:40:00 PM,C,27.5
08/06/19 2:40:00 PM,C,29
08/06/19 3:40:00 PM,C,29
08/06/19 4:40:00 PM,C,27
08/06/19 5:40:00 PM,C,24
08/06/19 6:40:00 PM,C,19.5
08/06/19 7:40:00 PM,C,15.5
08/06/19 8:40:00 PM,C,12
08/06/19 9:40:00 PM,C,12
08/06/19 10:40:00 PM,C,11.5
08/06/19 11:40:00 PM,C,11.5
09/06/19 12:40:00 AM,C,11
09/06/19 1:40:00 AM,C,11
09/06/19 2:40:00 AM,C,11
09/06/19 3:40:00 AM,C,10
09/06/19 4:40:00 AM,C,9
09/06/19 5:40:00 AM,C,9
09/06/19 6:40:00 AM,C,13
09/06/19 7:40:00 AM,C,12.5
09/06/19 8:40:00 AM,C,12
09/06/19 9:40:00 AM,C,13.5
09/06/19 10:40:00 AM,C,16
09/06/19 11:40:00 AM,C,19.5
09/06/19 12:40:00 PM,C,18.5
09/06/19 1:40:00 PM,C,23.5
09/06/19 2:40:00 PM,C,22
09/06/19 3:40:00 PM,C,20.5
09/06/19 4:40:00 PM,C,23.5
09/06/19 5:40:00 PM,C,23
09/06/19 6:40:00 PM,C,19.5
09/06/19 7:40:00 PM,C,17.5
09/06/19 8:40:00 PM,C,13.5
09/06/19 9:40:00 PM,C,12
09/06/19 10:40:00 PM,C,11.5
09/06/19 11:40:00 PM,C,11.5
10/06/19 12:40:00 AM,C,11.5
10/06/19 1:40:00 AM,C,11
10/06/19 2:40:00 AM,C,11
10/06/19 3:40:00 AM,C,11
10/06/19 4:40:00 AM,C,10.5
10/06/19 5:40:00 AM,C,10.5
