1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0C00000050F95C21
Is Mission Active?  true
Mission Start:  Wed Jun 05 18:08:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1696
Total Samples:  2994
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 6:08:00 PM,C,19
05/06/19 7:08:00 PM,C,19.5
05/06/19 8:08:00 PM,C,18.5
05/06/19 9:08:00 PM,C,17
05/06/19 10:08:00 PM,C,16.5
05/06/19 11:08:00 PM,C,16
06/06/19 12:08:00 AM,C,15
06/06/19 1:08:00 AM,C,15
06/06/19 2:08:00 AM,C,15
06/06/19 3:08:00 AM,C,14.5
06/06/19 4:08:00 AM,C,14
06/06/19 5:08:00 AM,C,14
06/06/19 6:08:00 AM,C,13.5
06/06/19 7:08:00 AM,C,14
06/06/19 8:08:00 AM,C,13.5
06/06/19 9:08:00 AM,C,15.5
06/06/19 10:08:00 AM,C,15.5
06/06/19 11:08:00 AM,C,23
06/06/19 12:08:00 PM,C,20
06/06/19 1:08:00 PM,C,24
06/06/19 2:08:00 PM,C,17.5
06/06/19 3:08:00 PM,C,17
06/06/19 4:08:00 PM,C,19.5
06/06/19 5:08:00 PM,C,18.5
06/06/19 6:08:00 PM,C,18
06/06/19 7:08:00 PM,C,12
06/06/19 8:08:00 PM,C,11
06/06/19 9:08:00 PM,C,11
06/06/19 10:08:00 PM,C,11
06/06/19 11:08:00 PM,C,11
07/06/19 12:08:00 AM,C,11
07/06/19 1:08:00 AM,C,11
07/06/19 2:08:00 AM,C,11
07/06/19 3:08:00 AM,C,11
07/06/19 4:08:00 AM,C,11
07/06/19 5:08:00 AM,C,11.5
07/06/19 6:08:00 AM,C,11
07/06/19 7:08:00 AM,C,11
07/06/19 8:08:00 AM,C,11.5
07/06/19 9:08:00 AM,C,11.5
07/06/19 10:08:00 AM,C,15.5
07/06/19 11:08:00 AM,C,19.5
07/06/19 12:08:00 PM,C,17.5
07/06/19 1:08:00 PM,C,19.5
07/06/19 2:08:00 PM,C,25
07/06/19 3:08:00 PM,C,27
07/06/19 4:08:00 PM,C,26.5
07/06/19 5:08:00 PM,C,21.5
07/06/19 6:08:00 PM,C,21.5
07/06/19 7:08:00 PM,C,15.5
07/06/19 8:08:00 PM,C,11.5
07/06/19 9:08:00 PM,C,10.5
07/06/19 10:08:00 PM,C,11
07/06/19 11:08:00 PM,C,11
08/06/19 12:08:00 AM,C,10.5
08/06/19 1:08:00 AM,C,11
08/06/19 2:08:00 AM,C,11
08/06/19 3:08:00 AM,C,11
08/06/19 4:08:00 AM,C,11
08/06/19 5:08:00 AM,C,11.5
08/06/19 6:08:00 AM,C,11
08/06/19 7:08:00 AM,C,11.5
08/06/19 8:08:00 AM,C,11.5
08/06/19 9:08:00 AM,C,11.5
08/06/19 10:08:00 AM,C,17
08/06/19 11:08:00 AM,C,22.5
08/06/19 12:08:00 PM,C,24
08/06/19 1:08:00 PM,C,29
08/06/19 2:08:00 PM,C,31.5
08/06/19 3:08:00 PM,C,32
08/06/19 4:08:00 PM,C,31.5
08/06/19 5:08:00 PM,C,29.5
08/06/19 6:08:00 PM,C,25
08/06/19 7:08:00 PM,C,18
08/06/19 8:08:00 PM,C,13
08/06/19 9:08:00 PM,C,12
08/06/19 10:08:00 PM,C,11.5
08/06/19 11:08:00 PM,C,11.5
09/06/19 12:08:00 AM,C,11.5
09/06/19 1:08:00 AM,C,11
09/06/19 2:08:00 AM,C,11
09/06/19 3:08:00 AM,C,11
09/06/19 4:08:00 AM,C,9
09/06/19 5:08:00 AM,C,9
09/06/19 6:08:00 AM,C,10
09/06/19 7:08:00 AM,C,14
09/06/19 8:08:00 AM,C,12.5
09/06/19 9:08:00 AM,C,13
09/06/19 10:08:00 AM,C,12
09/06/19 11:08:00 AM,C,19
09/06/19 12:08:00 PM,C,21
09/06/19 1:08:00 PM,C,24.5
09/06/19 2:08:00 PM,C,22
09/06/19 3:08:00 PM,C,21
09/06/19 4:08:00 PM,C,23
09/06/19 5:08:00 PM,C,25.5
09/06/19 6:08:00 PM,C,23
09/06/19 7:08:00 PM,C,19.5
09/06/19 8:08:00 PM,C,17.5
09/06/19 9:08:00 PM,C,12.5
09/06/19 10:08:00 PM,C,12
09/06/19 11:08:00 PM,C,11.5
10/06/19 12:08:00 AM,C,11.5
10/06/19 1:08:00 AM,C,11.5
10/06/19 2:08:00 AM,C,11
10/06/19 3:08:00 AM,C,11
10/06/19 4:08:00 AM,C,10.5
10/06/19 5:08:00 AM,C,10
10/06/19 6:08:00 AM,C,11
10/06/19 7:08:00 AM,C,13
10/06/19 8:08:00 AM,C,14
10/06/19 9:08:00 AM,C,14.5
10/06/19 10:08:00 AM,C,17.5
10/06/19 11:08:00 AM,C,25
10/06/19 12:08:00 PM,C,27
10/06/19 1:08:00 PM,C,27
10/06/19 2:08:00 PM,C,29.5
10/06/19 3:08:00 PM,C,31
10/06/19 4:08:00 PM,C,32.5
10/06/19 5:08:00 PM,C,31
10/06/19 6:08:00 PM,C,27
10/06/19 7:08:00 PM,C,20
10/06/19 8:08:00 PM,C,18
10/06/19 9:08:00 PM,C,16.5
10/06/19 10:08:00 PM,C,12.5
10/06/19 11:08:00 PM,C,11.5
11/06/19 12:08:00 AM,C,12
11/06/19 1:08:00 AM,C,11.5
11/06/19 2:08:00 AM,C,11.5
11/06/19 3:08:00 AM,C,11.5
11/06/19 4:08:00 AM,C,11
11/06/19 5:08:00 AM,C,11
11/06/19 6:08:00 AM,C,13
11/06/19 7:08:00 AM,C,16.5
11/06/19 8:08:00 AM,C,18
11/06/19 9:08:00 AM,C,21.5
11/06/19 10:08:00 AM,C,25.5
11/06/19 11:08:00 AM,C,26
11/06/19 12:08:00 PM,C,21.5
11/06/19 1:08:00 PM,C,23.5
11/06/19 2:08:00 PM,C,27.5
11/06/19 3:08:00 PM,C,27.5
11/06/19 4:08:00 PM,C,29.5
11/06/19 5:08:00 PM,C,25
11/06/19 6:08:00 PM,C,26
11/06/19 7:08:00 PM,C,22
11/06/19 8:08:00 PM,C,19.5
11/06/19 9:08:00 PM,C,17.5
11/06/19 10:08:00 PM,C,12.5
11/06/19 11:08:00 PM,C,12.5
12/06/19 12:08:00 AM,C,12
12/06/19 1:08:00 AM,C,12
12/06/19 2:08:00 AM,C,12
12/06/19 3:08:00 AM,C,12
12/06/19 4:08:00 AM,C,12
12/06/19 5:08:00 AM,C,11.5
12/06/19 6:08:00 AM,C,13
12/06/19 7:08:00 AM,C,17
12/06/19 8:08:00 AM,C,19
12/06/19 9:08:00 AM,C,24.5
12/06/19 10:08:00 AM,C,27
12/06/19 11:08:00 AM,C,25.5
12/06/19 12:08:00 PM,C,31
12/06/19 1:08:00 PM,C,16.5
12/06/19 2:08:00 PM,C,16.5
12/06/19 3:08:00 PM,C,13
12/06/19 4:08:00 PM,C,13
12/06/19 5:08:00 PM,C,20
12/06/19 6:08:00 PM,C,18.5
12/06/19 7:08:00 PM,C,17
12/06/19 8:08:00 PM,C,16.5
12/06/19 9:08:00 PM,C,15.5
12/06/19 10:08:00 PM,C,13
12/06/19 11:08:00 PM,C,12.5
13/06/19 12:08:00 AM,C,13
13/06/19 1:08:00 AM,C,12.5
13/06/19 2:08:00 AM,C,13
13/06/19 3:08:00 AM,C,13
13/06/19 4:08:00 AM,C,12.5
13/06/19 5:08:00 AM,C,12.5
13/06/19 6:08:00 AM,C,13
13/06/19 7:08:00 AM,C,16
13/06/19 8:08:00 AM,C,18.5
13/06/19 9:08:00 AM,C,21
13/06/19 10:08:00 AM,C,28
13/06/19 11:08:00 AM,C,30.5
13/06/19 12:08:00 PM,C,27
13/06/19 1:08:00 PM,C,29.5
13/06/19 2:08:00 PM,C,13.5
13/06/19 3:08:00 PM,C,13
13/06/19 4:08:00 PM,C,13
13/06/19 5:08:00 PM,C,13
13/06/19 6:08:00 PM,C,12.5
13/06/19 7:08:00 PM,C,12.5
13/06/19 8:08:00 PM,C,12.5
13/06/19 9:08:00 PM,C,12.5
13/06/19 10:08:00 PM,C,12.5
13/06/19 11:08:00 PM,C,13
14/06/19 12:08:00 AM,C,12.5
14/06/19 1:08:00 AM,C,12.5
14/06/19 2:08:00 AM,C,12.5
14/06/19 3:08:00 AM,C,12.5
14/06/19 4:08:00 AM,C,12
14/06/19 5:08:00 AM,C,12
14/06/19 6:08:00 AM,C,11.5
14/06/19 7:08:00 AM,C,13.5
14/06/19 8:08:00 AM,C,14.5
14/06/19 9:08:00 AM,C,16.5
14/06/19 10:08:00 AM,C,18.5
14/06/19 11:08:00 AM,C,23.5
14/06/19 12:08:00 PM,C,29
14/06/19 1:08:00 PM,C,31
14/06/19 2:08:00 PM,C,26.5
14/06/19 3:08:00 PM,C,13.5
14/06/19 4:08:00 PM,C,13
14/06/19 5:08:00 PM,C,12.5
14/06/19 6:08:00 PM,C,12
14/06/19 7:08:00 PM,C,12
14/06/19 8:08:00 PM,C,12.5
14/06/19 9:08:00 PM,C,12
14/06/19 10:08:00 PM,C,12.5
14/06/19 11:08:00 PM,C,13
15/06/19 12:08:00 AM,C,13
15/06/19 1:08:00 AM,C,13
15/06/19 2:08:00 AM,C,12.5
15/06/19 3:08:00 AM,C,13
15/06/19 4:08:00 AM,C,12.5
15/06/19 5:08:00 AM,C,12.5
15/06/19 6:08:00 AM,C,12
15/06/19 7:08:00 AM,C,15
15/06/19 8:08:00 AM,C,19
15/06/19 9:08:00 AM,C,22
15/06/19 10:08:00 AM,C,28.5
15/06/19 11:08:00 AM,C,31.5
15/06/19 12:08:00 PM,C,35
15/06/19 1:08:00 PM,C,37
15/06/19 2:08:00 PM,C,37
15/06/19 3:08:00 PM,C,23
15/06/19 4:08:00 PM,C,14
15/06/19 5:08:00 PM,C,13
15/06/19 6:08:00 PM,C,12.5
15/06/19 7:08:00 PM,C,12.5
15/06/19 8:08:00 PM,C,12
15/06/19 9:08:00 PM,C,12.5
15/06/19 10:08:00 PM,C,12.5
15/06/19 11:08:00 PM,C,12.5
16/06/19 12:08:00 AM,C,13
16/06/19 1:08:00 AM,C,12.5
16/06/19 2:08:00 AM,C,13
16/06/19 3:08:00 AM,C,13
16/06/19 4:08:00 AM,C,13
16/06/19 5:08:00 AM,C,12.5
16/06/19 6:08:00 AM,C,13
16/06/19 7:08:00 AM,C,16
16/06/19 8:08:00 AM,C,15.5
16/06/19 9:08:00 AM,C,20.5
16/06/19 10:08:00 AM,C,25.5
16/06/19 11:08:00 AM,C,32.5
16/06/19 12:08:00 PM,C,32
16/06/19 1:08:00 PM,C,28.5
16/06/19 2:08:00 PM,C,34.5
16/06/19 3:08:00 PM,C,29
16/06/19 4:08:00 PM,C,13.5
16/06/19 5:08:00 PM,C,13.5
16/06/19 6:08:00 PM,C,13
16/06/19 7:08:00 PM,C,11.5
16/06/19 8:08:00 PM,C,12
16/06/19 9:08:00 PM,C,12
16/06/19 10:08:00 PM,C,12
16/06/19 11:08:00 PM,C,12
17/06/19 12:08:00 AM,C,12
17/06/19 1:08:00 AM,C,12
17/06/19 2:08:00 AM,C,12.5
17/06/19 3:08:00 AM,C,12.5
17/06/19 4:08:00 AM,C,12.5
17/06/19 5:08:00 AM,C,12.5
17/06/19 6:08:00 AM,C,12
17/06/19 7:08:00 AM,C,14
17/06/19 8:08:00 AM,C,17.5
17/06/19 9:08:00 AM,C,21
17/06/19 10:08:00 AM,C,23
17/06/19 11:08:00 AM,C,29.5
17/06/19 12:08:00 PM,C,33
17/06/19 1:08:00 PM,C,34
17/06/19 2:08:00 PM,C,34.5
17/06/19 3:08:00 PM,C,35.5
17/06/19 4:08:00 PM,C,32.5
17/06/19 5:08:00 PM,C,12.5
17/06/19 6:08:00 PM,C,12.5
17/06/19 7:08:00 PM,C,12
17/06/19 8:08:00 PM,C,12
17/06/19 9:08:00 PM,C,12
17/06/19 10:08:00 PM,C,12
17/06/19 11:08:00 PM,C,12
18/06/19 12:08:00 AM,C,12
18/06/19 1:08:00 AM,C,12
18/06/19 2:08:00 AM,C,12.5
18/06/19 3:08:00 AM,C,12.5
18/06/19 4:08:00 AM,C,12.5
18/06/19 5:08:00 AM,C,12.5
18/06/19 6:08:00 AM,C,12.5
18/06/19 7:08:00 AM,C,12.5
18/06/19 8:08:00 AM,C,16.5
18/06/19 9:08:00 AM,C,19.5
18/06/19 10:08:00 AM,C,21.5
18/06/19 11:08:00 AM,C,29.5
18/06/19 12:08:00 PM,C,34.5
18/06/19 1:08:00 PM,C,38.5
18/06/19 2:08:00 PM,C,36
18/06/19 3:08:00 PM,C,36.5
18/06/19 4:08:00 PM,C,36.5
18/06/19 5:08:00 PM,C,20.5
18/06/19 6:08:00 PM,C,13
18/06/19 7:08:00 PM,C,13
18/06/19 8:08:00 PM,C,12
18/06/19 9:08:00 PM,C,12
18/06/19 10:08:00 PM,C,12.5
18/06/19 11:08:00 PM,C,12.5
19/06/19 12:08:00 AM,C,12.5
19/06/19 1:08:00 AM,C,12.5
19/06/19 2:08:00 AM,C,13
19/06/19 3:08:00 AM,C,13
19/06/19 4:08:00 AM,C,13
19/06/19 5:08:00 AM,C,12.5
19/06/19 6:08:00 AM,C,12.5
19/06/19 7:08:00 AM,C,12.5
19/06/19 8:08:00 AM,C,14
19/06/19 9:08:00 AM,C,18.5
19/06/19 10:08:00 AM,C,22.5
19/06/19 11:08:00 AM,C,32
19/06/19 12:08:00 PM,C,33
19/06/19 1:08:00 PM,C,27
19/06/19 2:08:00 PM,C,23.5
19/06/19 3:08:00 PM,C,22
19/06/19 4:08:00 PM,C,22.5
19/06/19 5:08:00 PM,C,18
19/06/19 6:08:00 PM,C,14
19/06/19 7:08:00 PM,C,13
19/06/19 8:08:00 PM,C,12
19/06/19 9:08:00 PM,C,11.5
19/06/19 10:08:00 PM,C,12
19/06/19 11:08:00 PM,C,12.5
20/06/19 12:08:00 AM,C,12.5
20/06/19 1:08:00 AM,C,12.5
20/06/19 2:08:00 AM,C,12.5
20/06/19 3:08:00 AM,C,12.5
20/06/19 4:08:00 AM,C,13
20/06/19 5:08:00 AM,C,13
20/06/19 6:08:00 AM,C,13
20/06/19 7:08:00 AM,C,12.5
20/06/19 8:08:00 AM,C,13
20/06/19 9:08:00 AM,C,14
20/06/19 10:08:00 AM,C,18
20/06/19 11:08:00 AM,C,30
20/06/19 12:08:00 PM,C,35
20/06/19 1:08:00 PM,C,34.5
20/06/19 2:08:00 PM,C,35
20/06/19 3:08:00 PM,C,34.5
20/06/19 4:08:00 PM,C,32
20/06/19 5:08:00 PM,C,24
20/06/19 6:08:00 PM,C,15
20/06/19 7:08:00 PM,C,14
20/06/19 8:08:00 PM,C,13.5
20/06/19 9:08:00 PM,C,13
20/06/19 10:08:00 PM,C,13
20/06/19 11:08:00 PM,C,12.5
21/06/19 12:08:00 AM,C,13
21/06/19 1:08:00 AM,C,13
21/06/19 2:08:00 AM,C,13
21/06/19 3:08:00 AM,C,13
21/06/19 4:08:00 AM,C,13
21/06/19 5:08:00 AM,C,13
21/06/19 6:08:00 AM,C,13
21/06/19 7:08:00 AM,C,13.5
21/06/19 8:08:00 AM,C,13.5
21/06/19 9:08:00 AM,C,14.5
21/06/19 10:08:00 AM,C,21
21/06/19 11:08:00 AM,C,23
21/06/19 12:08:00 PM,C,30
