1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D00000005112D221
Is Mission Active?  true
Mission Start:  Wed Jun 05 18:22:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1686
Total Samples:  2984
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 6:22:00 PM,C,20.5
05/06/19 7:22:00 PM,C,18.5
05/06/19 8:22:00 PM,C,17.5
05/06/19 9:22:00 PM,C,16.5
05/06/19 10:22:00 PM,C,16
05/06/19 11:22:00 PM,C,15.5
06/06/19 12:22:00 AM,C,15
06/06/19 1:22:00 AM,C,15.5
06/06/19 2:22:00 AM,C,15
06/06/19 3:22:00 AM,C,15
06/06/19 4:22:00 AM,C,14.5
06/06/19 5:22:00 AM,C,14.5
06/06/19 6:22:00 AM,C,14.5
06/06/19 7:22:00 AM,C,14.5
06/06/19 8:22:00 AM,C,15.5
06/06/19 9:22:00 AM,C,16
06/06/19 10:22:00 AM,C,15.5
06/06/19 11:22:00 AM,C,23
06/06/19 12:22:00 PM,C,36
06/06/19 1:22:00 PM,C,21
06/06/19 2:22:00 PM,C,16
06/06/19 3:22:00 PM,C,18
06/06/19 4:22:00 PM,C,19.5
06/06/19 5:22:00 PM,C,18.5
06/06/19 6:22:00 PM,C,12.5
06/06/19 7:22:00 PM,C,11.5
06/06/19 8:22:00 PM,C,10.5
06/06/19 9:22:00 PM,C,11
06/06/19 10:22:00 PM,C,10.5
06/06/19 11:22:00 PM,C,11
07/06/19 12:22:00 AM,C,11
07/06/19 1:22:00 AM,C,11
07/06/19 2:22:00 AM,C,11
07/06/19 3:22:00 AM,C,11
07/06/19 4:22:00 AM,C,11
07/06/19 5:22:00 AM,C,11
07/06/19 6:22:00 AM,C,11
07/06/19 7:22:00 AM,C,11
07/06/19 8:22:00 AM,C,11.5
07/06/19 9:22:00 AM,C,11.5
07/06/19 10:22:00 AM,C,13
07/06/19 11:22:00 AM,C,25
07/06/19 12:22:00 PM,C,21.5
07/06/19 1:22:00 PM,C,25.5
07/06/19 2:22:00 PM,C,28.5
07/06/19 3:22:00 PM,C,30
07/06/19 4:22:00 PM,C,23
07/06/19 5:22:00 PM,C,19
07/06/19 6:22:00 PM,C,17.5
07/06/19 7:22:00 PM,C,11.5
07/06/19 8:22:00 PM,C,11
07/06/19 9:22:00 PM,C,11
07/06/19 10:22:00 PM,C,11
07/06/19 11:22:00 PM,C,11
08/06/19 12:22:00 AM,C,10.5
08/06/19 1:22:00 AM,C,11
08/06/19 2:22:00 AM,C,11
08/06/19 3:22:00 AM,C,11
08/06/19 4:22:00 AM,C,11
08/06/19 5:22:00 AM,C,11
08/06/19 6:22:00 AM,C,11
08/06/19 7:22:00 AM,C,11.5
08/06/19 8:22:00 AM,C,11.5
08/06/19 9:22:00 AM,C,11.5
08/06/19 10:22:00 AM,C,12.5
08/06/19 11:22:00 AM,C,20
08/06/19 12:22:00 PM,C,31.5
08/06/19 1:22:00 PM,C,34
08/06/19 2:22:00 PM,C,34
08/06/19 3:22:00 PM,C,33
08/06/19 4:22:00 PM,C,29.5
08/06/19 5:22:00 PM,C,26.5
08/06/19 6:22:00 PM,C,21
08/06/19 7:22:00 PM,C,16
08/06/19 8:22:00 PM,C,12
08/06/19 9:22:00 PM,C,12
08/06/19 10:22:00 PM,C,11.5
08/06/19 11:22:00 PM,C,11
09/06/19 12:22:00 AM,C,11
09/06/19 1:22:00 AM,C,11
09/06/19 2:22:00 AM,C,11
09/06/19 3:22:00 AM,C,11
