1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1100000051118A21
Is Mission Active?  true
Mission Start:  Wed Jun 05 16:25:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1677
Total Samples:  2970
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 4:25:00 PM,C,19.5
05/06/19 5:25:00 PM,C,12.5
05/06/19 6:25:00 PM,C,11.5
05/06/19 7:25:00 PM,C,10.5
05/06/19 8:25:00 PM,C,10.5
05/06/19 9:25:00 PM,C,10.5
05/06/19 10:25:00 PM,C,10.5
05/06/19 11:25:00 PM,C,11
06/06/19 12:25:00 AM,C,11
06/06/19 1:25:00 AM,C,10.5
06/06/19 2:25:00 AM,C,11
06/06/19 3:25:00 AM,C,11
06/06/19 4:25:00 AM,C,11
06/06/19 5:25:00 AM,C,11
06/06/19 6:25:00 AM,C,11
06/06/19 7:25:00 AM,C,11
06/06/19 8:25:00 AM,C,11
06/06/19 9:25:00 AM,C,13.5
06/06/19 10:25:00 AM,C,21
06/06/19 11:25:00 AM,C,27
06/06/19 12:25:00 PM,C,23.5
06/06/19 1:25:00 PM,C,18.5
06/06/19 2:25:00 PM,C,13.5
06/06/19 3:25:00 PM,C,16
06/06/19 4:25:00 PM,C,19
06/06/19 5:25:00 PM,C,15.5
06/06/19 6:25:00 PM,C,12
06/06/19 7:25:00 PM,C,11
06/06/19 8:25:00 PM,C,11
06/06/19 9:25:00 PM,C,11
06/06/19 10:25:00 PM,C,10.5
06/06/19 11:25:00 PM,C,11
07/06/19 12:25:00 AM,C,11
07/06/19 1:25:00 AM,C,11
07/06/19 2:25:00 AM,C,11
07/06/19 3:25:00 AM,C,10.5
07/06/19 4:25:00 AM,C,11
07/06/19 5:25:00 AM,C,11
07/06/19 6:25:00 AM,C,11
07/06/19 7:25:00 AM,C,11
07/06/19 8:25:00 AM,C,11
07/06/19 9:25:00 AM,C,11.5
07/06/19 10:25:00 AM,C,13
07/06/19 11:25:00 AM,C,28
07/06/19 12:25:00 PM,C,18.5
07/06/19 1:25:00 PM,C,21
07/06/19 2:25:00 PM,C,24
07/06/19 3:25:00 PM,C,23.5
07/06/19 4:25:00 PM,C,18
07/06/19 5:25:00 PM,C,16
07/06/19 6:25:00 PM,C,13.5
07/06/19 7:25:00 PM,C,11.5
07/06/19 8:25:00 PM,C,11.5
07/06/19 9:25:00 PM,C,11
07/06/19 10:25:00 PM,C,11
07/06/19 11:25:00 PM,C,11
08/06/19 12:25:00 AM,C,10.5
08/06/19 1:25:00 AM,C,11
08/06/19 2:25:00 AM,C,11
08/06/19 3:25:00 AM,C,10.5
08/06/19 4:25:00 AM,C,11
08/06/19 5:25:00 AM,C,11
08/06/19 6:25:00 AM,C,11
08/06/19 7:25:00 AM,C,11
08/06/19 8:25:00 AM,C,11.5
08/06/19 9:25:00 AM,C,11.5
08/06/19 10:25:00 AM,C,12.5
08/06/19 11:25:00 AM,C,15
08/06/19 12:25:00 PM,C,27.5
08/06/19 1:25:00 PM,C,28.5
08/06/19 2:25:00 PM,C,27.5
08/06/19 3:25:00 PM,C,26.5
08/06/19 4:25:00 PM,C,22.5
08/06/19 5:25:00 PM,C,22
08/06/19 6:25:00 PM,C,18.5
08/06/19 7:25:00 PM,C,13.5
08/06/19 8:25:00 PM,C,12
08/06/19 9:25:00 PM,C,12
08/06/19 10:25:00 PM,C,11.5
08/06/19 11:25:00 PM,C,11
09/06/19 12:25:00 AM,C,11
09/06/19 1:25:00 AM,C,11
09/06/19 2:25:00 AM,C,11
09/06/19 3:25:00 AM,C,11
09/06/19 4:25:00 AM,C,9.5
09/06/19 5:25:00 AM,C,9
09/06/19 6:25:00 AM,C,11
09/06/19 7:25:00 AM,C,15
09/06/19 8:25:00 AM,C,11.5
09/06/19 9:25:00 AM,C,11.5
09/06/19 10:25:00 AM,C,12.5
09/06/19 11:25:00 AM,C,15.5
09/06/19 12:25:00 PM,C,18.5
09/06/19 1:25:00 PM,C,24.5
09/06/19 2:25:00 PM,C,25
09/06/19 3:25:00 PM,C,20.5
09/06/19 4:25:00 PM,C,25.5
09/06/19 5:25:00 PM,C,24
09/06/19 6:25:00 PM,C,19
09/06/19 7:25:00 PM,C,17.5
09/06/19 8:25:00 PM,C,13
09/06/19 9:25:00 PM,C,12
09/06/19 10:25:00 PM,C,11.5
09/06/19 11:25:00 PM,C,11.5
10/06/19 12:25:00 AM,C,11.5
10/06/19 1:25:00 AM,C,11
10/06/19 2:25:00 AM,C,11
10/06/19 3:25:00 AM,C,11
10/06/19 4:25:00 AM,C,10
10/06/19 5:25:00 AM,C,10
10/06/19 6:25:00 AM,C,11
10/06/19 7:25:00 AM,C,12.5
10/06/19 8:25:00 AM,C,13.5
10/06/19 9:25:00 AM,C,15
10/06/19 10:25:00 AM,C,13.5
10/06/19 11:25:00 AM,C,19
10/06/19 12:25:00 PM,C,19
10/06/19 1:25:00 PM,C,35
10/06/19 2:25:00 PM,C,24
10/06/19 3:25:00 PM,C,30.5
10/06/19 4:25:00 PM,C,30.5
10/06/19 5:25:00 PM,C,26
10/06/19 6:25:00 PM,C,21
10/06/19 7:25:00 PM,C,17.5
10/06/19 8:25:00 PM,C,15
10/06/19 9:25:00 PM,C,12
10/06/19 10:25:00 PM,C,12
10/06/19 11:25:00 PM,C,11.5
11/06/19 12:25:00 AM,C,11.5
11/06/19 1:25:00 AM,C,11
11/06/19 2:25:00 AM,C,11
11/06/19 3:25:00 AM,C,11
11/06/19 4:25:00 AM,C,11
11/06/19 5:25:00 AM,C,11
11/06/19 6:25:00 AM,C,13.5
11/06/19 7:25:00 AM,C,17.5
11/06/19 8:25:00 AM,C,19
11/06/19 9:25:00 AM,C,28
11/06/19 10:25:00 AM,C,23
11/06/19 11:25:00 AM,C,29
11/06/19 12:25:00 PM,C,17
11/06/19 1:25:00 PM,C,20.5
11/06/19 2:25:00 PM,C,22.5
11/06/19 3:25:00 PM,C,32.5
11/06/19 4:25:00 PM,C,21.5
11/06/19 5:25:00 PM,C,27.5
11/06/19 6:25:00 PM,C,21
11/06/19 7:25:00 PM,C,21
11/06/19 8:25:00 PM,C,16
11/06/19 9:25:00 PM,C,13.5
11/06/19 10:25:00 PM,C,12.5
11/06/19 11:25:00 PM,C,12
12/06/19 12:25:00 AM,C,12
12/06/19 1:25:00 AM,C,12
12/06/19 2:25:00 AM,C,11.5
12/06/19 3:25:00 AM,C,12
12/06/19 4:25:00 AM,C,11.5
12/06/19 5:25:00 AM,C,11.5
12/06/19 6:25:00 AM,C,13.5
12/06/19 7:25:00 AM,C,18.5
12/06/19 8:25:00 AM,C,27
12/06/19 9:25:00 AM,C,31.5
12/06/19 10:25:00 AM,C,31
12/06/19 11:25:00 AM,C,35
12/06/19 12:25:00 PM,C,18
12/06/19 1:25:00 PM,C,13
12/06/19 2:25:00 PM,C,13
12/06/19 3:25:00 PM,C,12.5
12/06/19 4:25:00 PM,C,13.5
12/06/19 5:25:00 PM,C,16.5
12/06/19 6:25:00 PM,C,14
12/06/19 7:25:00 PM,C,16
12/06/19 8:25:00 PM,C,13.5
12/06/19 9:25:00 PM,C,13
12/06/19 10:25:00 PM,C,12.5
12/06/19 11:25:00 PM,C,12.5
13/06/19 12:25:00 AM,C,12.5
13/06/19 1:25:00 AM,C,12.5
13/06/19 2:25:00 AM,C,13
13/06/19 3:25:00 AM,C,13
13/06/19 4:25:00 AM,C,12.5
13/06/19 5:25:00 AM,C,12.5
13/06/19 6:25:00 AM,C,13.5
13/06/19 7:25:00 AM,C,16.5
13/06/19 8:25:00 AM,C,21.5
13/06/19 9:25:00 AM,C,27
13/06/19 10:25:00 AM,C,33.5
13/06/19 11:25:00 AM,C,24
13/06/19 12:25:00 PM,C,27
13/06/19 1:25:00 PM,C,13.5
13/06/19 2:25:00 PM,C,13
13/06/19 3:25:00 PM,C,13
13/06/19 4:25:00 PM,C,12
13/06/19 5:25:00 PM,C,12.5
13/06/19 6:25:00 PM,C,12
13/06/19 7:25:00 PM,C,12.5
13/06/19 8:25:00 PM,C,12.5
13/06/19 9:25:00 PM,C,12.5
13/06/19 10:25:00 PM,C,12.5
13/06/19 11:25:00 PM,C,12.5
14/06/19 12:25:00 AM,C,12.5
14/06/19 1:25:00 AM,C,12.5
14/06/19 2:25:00 AM,C,12
14/06/19 3:25:00 AM,C,12
14/06/19 4:25:00 AM,C,12
14/06/19 5:25:00 AM,C,12
14/06/19 6:25:00 AM,C,12
14/06/19 7:25:00 AM,C,12.5
14/06/19 8:25:00 AM,C,13.5
14/06/19 9:25:00 AM,C,17.5
14/06/19 10:25:00 AM,C,20.5
14/06/19 11:25:00 AM,C,31.5
14/06/19 12:25:00 PM,C,33
14/06/19 1:25:00 PM,C,30.5
14/06/19 2:25:00 PM,C,16.5
14/06/19 3:25:00 PM,C,13
14/06/19 4:25:00 PM,C,13
14/06/19 5:25:00 PM,C,11.5
14/06/19 6:25:00 PM,C,12
14/06/19 7:25:00 PM,C,12
14/06/19 8:25:00 PM,C,12
14/06/19 9:25:00 PM,C,12.5
14/06/19 10:25:00 PM,C,12.5
14/06/19 11:25:00 PM,C,13
15/06/19 12:25:00 AM,C,13
15/06/19 1:25:00 AM,C,12.5
15/06/19 2:25:00 AM,C,12.5
15/06/19 3:25:00 AM,C,12.5
15/06/19 4:25:00 AM,C,12.5
15/06/19 5:25:00 AM,C,12.5
15/06/19 6:25:00 AM,C,12.5
15/06/19 7:25:00 AM,C,16
15/06/19 8:25:00 AM,C,23
15/06/19 9:25:00 AM,C,28.5
15/06/19 10:25:00 AM,C,32
15/06/19 11:25:00 AM,C,32.5
15/06/19 12:25:00 PM,C,38
15/06/19 1:25:00 PM,C,35.5
15/06/19 2:25:00 PM,C,30.5
15/06/19 3:25:00 PM,C,13.5
15/06/19 4:25:00 PM,C,14
15/06/19 5:25:00 PM,C,12
15/06/19 6:25:00 PM,C,12.5
15/06/19 7:25:00 PM,C,12
15/06/19 8:25:00 PM,C,12.5
15/06/19 9:25:00 PM,C,12.5
15/06/19 10:25:00 PM,C,12
15/06/19 11:25:00 PM,C,12.5
16/06/19 12:25:00 AM,C,12.5
16/06/19 1:25:00 AM,C,12.5
16/06/19 2:25:00 AM,C,13
16/06/19 3:25:00 AM,C,13
16/06/19 4:25:00 AM,C,13
16/06/19 5:25:00 AM,C,12.5
16/06/19 6:25:00 AM,C,12.5
16/06/19 7:25:00 AM,C,14.5
16/06/19 8:25:00 AM,C,14.5
16/06/19 9:25:00 AM,C,25.5
16/06/19 10:25:00 AM,C,31.5
16/06/19 11:25:00 AM,C,37
16/06/19 12:25:00 PM,C,36.5
16/06/19 1:25:00 PM,C,35.5
16/06/19 2:25:00 PM,C,26
16/06/19 3:25:00 PM,C,22
16/06/19 4:25:00 PM,C,13.5
16/06/19 5:25:00 PM,C,13
16/06/19 6:25:00 PM,C,12
16/06/19 7:25:00 PM,C,11.5
16/06/19 8:25:00 PM,C,12
16/06/19 9:25:00 PM,C,12
16/06/19 10:25:00 PM,C,12
16/06/19 11:25:00 PM,C,12
17/06/19 12:25:00 AM,C,12
17/06/19 1:25:00 AM,C,12.5
17/06/19 2:25:00 AM,C,12.5
17/06/19 3:25:00 AM,C,12.5
17/06/19 4:25:00 AM,C,12.5
17/06/19 5:25:00 AM,C,12
