date,block,number,tile_colour,species,count,percent_cover
19-05-08,A,1,white,chthamalus,44,
19-05-08,A,2,white,chthamalus,76,
19-05-08,A,3,white,chthamalus,60,
19-05-08,A,4,black,chthamalus,129,
19-05-08,A,5,white,chthamalus,86,
19-05-08,A,6,white,chthamalus,38,
19-05-08,A,7,white,chthamalus,68,
19-05-08,A,8,black,chthamalus,103,
19-05-08,A,9,black,chthamalus,38,
19-05-08,A,10,black,chthamalus,34,
19-05-08,A,11,white,chthamalus,52,
19-05-08,A,12,white,chthamalus,50,
19-05-08,A,13,black,chthamalus,67,
19-05-08,A,14,white,chthamalus,35,
19-05-08,A,15,black,chthamalus,39,
19-05-08,A,16,black,chthamalus,78,
19-05-08,A,17,black,chthamalus,107,
19-05-08,A,18,black,chthamalus,73,
19-05-08,A,19,white,chthamalus,173,
19-05-08,A,20,black,chthamalus,68,
19-05-08,B,1,black,chthamalus,34,
19-05-08,B,2,black,chthamalus,55,
19-05-08,B,3,white,chthamalus,58,
19-05-08,B,4,black,chthamalus,67,
19-05-08,B,5,black,chthamalus,66,
19-05-08,B,6,black,chthamalus,28,
19-05-08,B,7,white,chthamalus,34,
19-05-08,B,8,white,chthamalus,19,
19-05-08,B,9,white,chthamalus,53,
19-05-08,B,10,black,chthamalus,63,
19-05-08,B,11,white,chthamalus,55,
19-05-08,B,12,white,chthamalus,45,
19-05-08,B,13,black,chthamalus,88,
19-05-08,B,14,black,chthamalus,71,
19-05-08,B,15,white,chthamalus,48,
19-05-08,B,16,white,chthamalus,49,
19-05-08,B,17,white,chthamalus,18,
19-05-08,B,18,black,chthamalus,43,
19-05-08,B,19,black,chthamalus,36,
19-05-08,B,20,white,chthamalus,28,
19-05-08,C,1,black,chthamalus,206,
19-05-08,C,2,white,chthamalus,231,
19-05-08,C,3,black,chthamalus,355,
19-05-08,C,4,black,chthamalus,348,
19-05-08,C,5,white,chthamalus,354,
19-05-08,C,6,white,chthamalus,308,
19-05-08,C,7,black,chthamalus,504,
19-05-08,C,8,black,chthamalus,586,
19-05-08,C,9,white,chthamalus,297,
19-05-08,C,10,black,chthamalus,230,
19-05-08,C,11,black,chthamalus,365,
19-05-08,C,12,white,chthamalus,295,
19-05-08,C,13,white,chthamalus,277,
19-05-08,C,14,white,chthamalus,259,
19-05-08,C,15,black,chthamalus,298,
19-05-08,C,16,white,chthamalus,182,
19-05-08,C,17,white,chthamalus,353,
19-05-08,C,18,white,chthamalus,215,
19-05-08,C,19,black,chthamalus,333,
19-05-08,C,20,black,chthamalus,371,
19-05-09,D,1,black,chthamalus,105,
19-05-09,D,2,black,chthamalus,266,
19-05-09,D,3,white,chthamalus,168,
19-05-09,D,4,white,chthamalus,188,
19-05-09,D,5,black,chthamalus,360,
19-05-09,D,6,black,chthamalus,328,
19-05-09,D,7,black,chthamalus,260,
19-05-09,D,8,black,chthamalus,237,
19-05-09,D,9,white,chthamalus,129,
19-05-09,D,10,black,chthamalus,202,
19-05-09,D,11,white,chthamalus,348,
19-05-09,D,12,black,chthamalus,106,
19-05-09,D,13,white,chthamalus,82,
19-05-09,D,14,white,chthamalus,97,
19-05-09,D,15,black,chthamalus,124,
19-05-09,D,16,white,chthamalus,37,
19-05-09,D,17,white,chthamalus,43,
19-05-09,D,18,black,chthamalus,138,
19-05-09,D,19,white,chthamalus,214,
19-05-09,D,20,white,chthamalus,93,
19-05-09,E,1,black,chthamalus,416,
19-05-09,E,2,black,chthamalus,296,
19-05-09,E,3,white,chthamalus,390,
19-05-09,E,4,white,chthamalus,358,
19-05-09,E,5,white,chthamalus,452,
19-05-09,E,6,black,chthamalus,274,
19-05-09,E,7,black,chthamalus,205,
19-05-09,E,8,black,chthamalus,170,
19-05-09,E,9,white,chthamalus,495,
19-05-09,E,10,black,chthamalus,346,
19-05-09,E,11,white,chthamalus,481,
19-05-09,E,12,black,chthamalus,368,
19-05-09,E,13,white,chthamalus,414,
19-05-09,E,14,black,chthamalus,495,
19-05-09,E,15,white,chthamalus,418,
19-05-09,E,16,black,chthamalus,422,
19-05-09,E,17,white,chthamalus,134,
19-05-09,E,18,white,chthamalus,333,
19-05-09,E,19,white,chthamalus,377,
19-05-09,E,20,black,chthamalus,193,
