date,block,number,treatment,temp,species,number,cover
08-14-19,A,1,dig,warm,balanus,2,
08-14-19,A,2,dig_pdig,ambient,balanus,15,
08-14-19,A,3,pdig,warm,balanus,0,
08-14-19,A,4,dig_pdig,warm,balanus,6,
08-14-19,A,5,dig_pdig,warm,balanus,5,
08-14-19,A,6,control,warm,balanus,1,
08-14-19,A,7,dig_pdig,ambient,balanus,16,
08-14-19,A,8,control,ambient,balanus,10,
08-14-19,A,9,dig,ambient,balanus,14,
08-14-19,A,10,control,warm,balanus,9,
08-14-19,A,11,pdig,ambient,balanus,31,
08-14-19,A,12,dig,ambient,balanus,30,
08-14-19,A,13,control,ambient,balanus,6,
08-14-19,A,14,dig,warm,balanus,2,
08-14-19,A,15,pdig,warm,balanus,1,
08-14-19,A,16,pdig,ambient,balanus,8,
08-14-19,B,1,pdig,warm,balanus,0,
08-14-19,B,2,dig,warm,balanus,5,
08-14-19,B,3,control,ambient,balanus,48,
08-14-19,B,4,pdig,ambient,balanus,52,
08-14-19,B,5,dig_pdig,ambient,balanus,1,
08-14-19,B,6,pdig,warm,balanus,0,
08-14-19,B,7,control,warm,balanus,0,
08-14-19,B,8,dig_pdig,warm,balanus,0,
08-14-19,B,9,dig,ambient,balanus,3,
08-14-19,B,10,pdig,warm,balanus,0,
08-14-19,B,11,dig,ambient,balanus,80,
08-14-19,B,12,control,warm,balanus,0,
08-14-19,B,13,dig,warm,balanus,0,
08-14-19,B,14,dig_pdig,ambient,balanus,0,
08-14-19,B,15,dig,ambient,balanus,45,
08-14-19,B,16,dig_pdig,warm,balanus,1,
08-14-19,C,1,dig_pdig,warm,balanus,0,
08-14-19,C,2,dig,ambient,balanus,5,
08-14-19,C,3,dig_pdig,ambient,balanus,3,
08-14-19,C,4,pdig,warm,balanus,2,
08-14-19,C,5,pdig,ambient,balanus,77,
08-14-19,C,6,pdig,warm,balanus,0,
08-14-19,C,7,dig,warm,balanus,4,
08-14-19,C,8,control,warm,balanus,0,
08-14-19,C,9,dig_pdig,ambient,balanus,27,
08-14-19,C,10,dig_pdig,warm,balanus,1,
08-14-19,C,11,dig,warm,balanus,8,
08-14-19,C,12,control,warm,balanus,0,
08-14-19,C,13,control,ambient,balanus,68,
08-14-19,C,14,dig,ambient,balanus,17,
08-14-19,C,15,pdig,ambient,balanus,1,
08-14-19,C,16,control,ambient,balanus,85,
08-14-19,D,1,dig_pdig,ambient,balanus,10,
08-14-19,D,2,control,ambient,balanus,31,
08-14-19,D,3,control,ambient,balanus,2,
08-14-19,D,4,dig_pdig,ambient,balanus,21,
08-14-19,D,5,dig,warm,balanus,31,
08-14-19,D,6,pdig,ambient,balanus,9,
08-14-19,D,7,dig,warm,balanus,0,
08-14-19,D,8,dig_pdig,warm,balanus,3,
08-14-19,D,9,dig_pdig,warm,balanus,1,
08-14-19,D,10,pdig,warm,balanus,24,
08-14-19,D,11,control,ambient,balanus,13,
08-14-19,D,12,pdig,ambeint,balanus,0,
08-14-19,D,13,dig,ambient,balanus,7,
08-14-19,D,14,dig,warm,balanus,1,
08-14-19,D,15,control,warm,balanus,4,
08-14-19,D,16,pdig,warm,balanus,1,
08-14-19,E,1,control,warm,balanus,0,
