survey_no,treatment,mean_abund,se_abund,block,timesincestart
1,C,183.58,20.879011822734274,A,3.85714285714286
1,C,183.58,20.879011822734274,B,3.85714285714286
1,C,183.58,20.879011822734274,C,3.85714285714286
1,C,183.58,20.879011822734274,D,3.85714285714286
1,C,183.58,20.879011822734274,E,3.85714285714286
1,W,202.52,21.038434022579935,A,3.85714285714286
1,W,202.52,21.038434022579935,B,3.85714285714286
1,W,202.52,21.038434022579935,C,3.85714285714286
1,W,202.52,21.038434022579935,D,3.85714285714286
1,W,202.52,21.038434022579935,E,3.85714285714286
2,C,83.80434782608695,10.539441430497002,A,7.71428571428571
2,C,83.80434782608695,10.539441430497002,B,7.71428571428571
2,C,83.80434782608695,10.539441430497002,C,7.71428571428571
2,C,83.80434782608695,10.539441430497002,D,7.71428571428571
2,C,83.80434782608695,10.539441430497002,E,7.71428571428571
2,W,49.24,4.2756605886561845,A,7.71428571428571
2,W,49.24,4.2756605886561845,B,7.71428571428571
2,W,49.24,4.2756605886561845,C,7.71428571428571
2,W,49.24,4.2756605886561845,D,7.71428571428571
2,W,49.24,4.2756605886561845,E,7.71428571428571
3,C,52.361702127659576,8.751182054789684,A,9.14285714285714
3,C,52.361702127659576,8.751182054789684,B,9.14285714285714
3,C,52.361702127659576,8.751182054789684,C,9.14285714285714
3,C,52.361702127659576,8.751182054789684,D,9.14285714285714
3,C,52.361702127659576,8.751182054789684,E,9.14285714285714
3,C,52.361702127659576,8.751182054789684,F,9.14285714285714
3,W,30.46938775510204,3.8085678161505756,A,9.14285714285714
3,W,30.46938775510204,3.8085678161505756,B,9.14285714285714
3,W,30.46938775510204,3.8085678161505756,C,9.14285714285714
3,W,30.46938775510204,3.8085678161505756,D,9.14285714285714
3,W,30.46938775510204,3.8085678161505756,E,9.14285714285714
3,W,30.46938775510204,3.8085678161505756,F,9.14285714285714
4,C,45.340425531914896,6.39591658265129,A,11.8571428571429
4,C,45.340425531914896,6.39591658265129,B,11.8571428571429
4,C,45.340425531914896,6.39591658265129,C,11.8571428571429
4,C,45.340425531914896,6.39591658265129,D,11.8571428571429
4,C,45.340425531914896,6.39591658265129,E,11.8571428571429
4,C,45.340425531914896,6.39591658265129,F,11.8571428571429
4,W,11.408163265306122,1.7961406015869597,A,11.8571428571429
4,W,11.408163265306122,1.7961406015869597,B,11.8571428571429
4,W,11.408163265306122,1.7961406015869597,C,11.8571428571429
4,W,11.408163265306122,1.7961406015869597,D,11.8571428571429
4,W,11.408163265306122,1.7961406015869597,E,11.8571428571429
4,W,11.408163265306122,1.7961406015869597,F,11.8571428571429
