survey_codes,block,species,count,percent_cover,original_herb_trt,angle,new_compass,shore_level,treatment,trt_y1,trt_y2,tile_id,survey_no
2019-06-15,A,Balanus_glandula,7,NA,"lsc, lpd",11,98,2.155,WC,W,C,1,3
2019-06-15,A,Balanus_glandula,29,NA,"lsc, ld",12,102,2.155,CC,C,C,2,3
2019-06-15,A,Balanus_glandula,3,NA,"lsi, ld",14,108,2.155,WW,W,W,3,3
2019-06-15,A,Balanus_glandula,31,NA,lsc,23,95,2.155,WW,W,W,4,3
2019-06-15,A,Balanus_glandula,52,NA,ld,25,85,2.155,WC,W,C,5,3
2019-06-15,A,Balanus_glandula,11,NA,"lsi, ld",24,89,2.155,WC,W,C,6,3
2019-06-15,A,Balanus_glandula,24,NA,lpd,23,89,2.155,CC,C,C,7,3
2019-06-15,A,Balanus_glandula,20,NA,"lsc, lsi, ld, lpd",28,89,2.155,CW,C,W,8,3
2019-06-15,A,Balanus_glandula,34,NA,lsc,22,85,2.155,CC,C,C,9,3
2019-06-15,A,Balanus_glandula,47,NA,lsi,22,80,2.155,WC,W,C,10,3
2019-06-15,A,Balanus_glandula,53,NA,ld,23,80,2.155,CW,C,W,11,3
2019-06-15,A,Balanus_glandula,37,NA,lsi,24,82,2.155,CW,C,W,12,3
2019-06-15,A,Balanus_glandula,12,NA,"lsc, ld",24,106,2.155,CW,C,W,13,3
2019-06-15,A,Balanus_glandula,23,NA,"lsi, lpd",26,95,2.155,WW,W,W,14,3
2019-06-15,A,Balanus_glandula,10,NA,lpd,32,103,2.155,WW,W,W,15,3
2019-06-15,A,Balanus_glandula,16,NA,"lsi, lpd",34,90,2.155,CC,C,C,16,3
2019-06-15,B,Balanus_glandula,27,NA,ld,17,75,2.543,WC,W,C,17,3
2019-06-15,B,Balanus_glandula,37,NA,lsc,18,79,2.543,WW,W,W,18,3
2019-06-15,B,Balanus_glandula,112,NA,"lsc, lsi, ld, lpd",17,85,2.543,CW,C,W,19,3
2019-06-15,B,Balanus_glandula,216,NA,lsi,21,81,2.543,CC,C,C,20,3
2019-06-15,B,Balanus_glandula,36,NA,NA,25,78,2.543,CC,C,C,21,3
