Amphipoda,Insecta,Littorina_scutulata,Littorina_sitkana,Lottia_paradigitalis,Polychaeta,Copepoda,Cirripedia_larva,Mytilus_trossulus,Nemertean,Isopoda,Amphipoda_larva,Lottia_pelta,Anthopleura_elegantissima,Lasaea_rubra,Lottia_digitalis,Onchidoris_bilamellata,Pagurus_hirsutiusculus,Lottia_spp_recruit,Oedoparena_sp_larva,Lottia_spp_recruits,Lottia_scutum,Neostylidium_eschrichtii,Platyhelminthes,Annelida
17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,3,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,14,60,0,0,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,11,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,8,29,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,27,16,4,0,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,7,7,1,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2,2,4,0,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3,0,6,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,42,91,1,1,0,55,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,9,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,6,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,0,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,11,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,27,1,4,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,59,35,8,0,0,26,9,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,11,81,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,59,11,5,0,1,4,6,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0
26,0,57,76,3,0,0,7,15,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
14,1,55,51,2,2,0,10,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
