new_block,new_no,tile_id,date,species,size,count,treatment,survey_no
A,1,1,2020-06-04,Balanus glandula,recruit,133,WC,11
A,2,2,2020-06-04,Balanus glandula,recruit,242,CC,11
A,3,3,2020-06-04,Balanus glandula,recruit,46,WW,11
A,4,4,2020-06-04,Balanus glandula,recruit,126,WW,11
A,5,5,2020-06-04,Balanus glandula,recruit,139,WC,11
A,6,6,2020-06-04,Balanus glandula,recruit,127,WC,11
A,7,7,2020-06-04,Balanus glandula,recruit,115,CC,11
A,8,8,2020-06-04,Balanus glandula,recruit,134,CW,11
A,9,9,2020-06-04,Balanus glandula,recruit,179,CC,11
A,10,10,2020-06-04,Balanus glandula,recruit,183,WC,11
A,11,11,2020-06-04,Balanus glandula,recruit,165,CW,11
A,12,12,2020-06-04,Balanus glandula,recruit,151,CW,11
A,13,13,2020-06-04,Balanus glandula,recruit,16,CW,11
A,14,14,2020-06-04,Balanus glandula,recruit,9,WW,11
A,15,15,2020-06-04,Balanus glandula,recruit,14,WW,11
A,16,16,2020-06-04,Balanus glandula,recruit,125,CC,11
A,1,1,2020-06-04,Chthamalus dalli,recruit,15,WC,11
A,2,2,2020-06-04,Chthamalus dalli,recruit,82,CC,11
A,3,3,2020-06-04,Chthamalus dalli,recruit,29,WW,11
A,4,4,2020-06-04,Chthamalus dalli,recruit,37,WW,11
A,5,5,2020-06-04,Chthamalus dalli,recruit,16,WC,11
A,6,6,2020-06-04,Chthamalus dalli,recruit,19,WC,11
A,7,7,2020-06-04,Chthamalus dalli,recruit,22,CC,11
A,8,8,2020-06-04,Chthamalus dalli,recruit,44,CW,11
A,9,9,2020-06-04,Chthamalus dalli,recruit,10,CC,11
A,10,10,2020-06-04,Chthamalus dalli,recruit,34,WC,11
A,11,11,2020-06-04,Chthamalus dalli,recruit,11,CW,11
A,12,12,2020-06-04,Chthamalus dalli,recruit,15,CW,11
A,13,13,2020-06-04,Chthamalus dalli,recruit,16,CW,11
A,14,14,2020-06-04,Chthamalus dalli,recruit,5,WW,11
A,15,15,2020-06-04,Chthamalus dalli,recruit,6,WW,11
A,16,16,2020-06-04,Chthamalus dalli,recruit,47,CC,11
B,1,17,2020-06-04,Balanus glandula,recruit,87,WC,11
B,2,18,2020-06-04,Balanus glandula,recruit,69,WW,11
B,3,19,2020-06-04,Balanus glandula,recruit,76,CW,11
B,4,20,2020-06-04,Balanus glandula,recruit,215,CC,11
B,5,21,2020-06-04,Balanus glandula,recruit,107,CC,11
B,6,22,2020-06-04,Balanus glandula,recruit,24,WC,11
B,7,23,2020-06-04,Balanus glandula,recruit,5,WW,11
B,8,24,2020-06-04,Balanus glandula,recruit,43,WC,11
B,9,25,2020-06-04,Balanus glandula,recruit,2,CW,11
B,12,28,2020-06-04,Balanus glandula,recruit,14,WW,11
B,13,29,2020-06-04,Balanus glandula,recruit,44,CC,11
B,14,30,2020-06-04,Balanus glandula,recruit,40,WW,11
B,15,31,2020-06-04,Balanus glandula,recruit,24,WW,11
B,16,32,2020-06-04,Balanus glandula,recruit,18,CW,11
B,1,17,2020-06-04,Chthamalus dalli,recruit,25,WC,11
B,2,18,2020-06-04,Chthamalus dalli,recruit,2,WW,11
B,3,19,2020-06-04,Chthamalus dalli,recruit,10,CW,11
B,4,20,2020-06-04,Chthamalus dalli,recruit,19,CC,11
B,5,21,2020-06-04,Chthamalus dalli,recruit,23,CC,11
B,6,22,2020-06-04,Chthamalus dalli,recruit,7,WC,11
B,7,23,2020-06-04,Chthamalus dalli,recruit,2,WW,11
B,8,24,2020-06-04,Chthamalus dalli,recruit,8,WC,11
B,9,25,2020-06-04,Chthamalus dalli,recruit,2,CW,11
B,12,28,2020-06-04,Chthamalus dalli,recruit,10,WW,11
B,13,29,2020-06-04,Chthamalus dalli,recruit,8,CC,11
B,14,30,2020-06-04,Chthamalus dalli,recruit,12,WW,11
B,15,31,2020-06-04,Chthamalus dalli,recruit,3,WW,11
B,16,32,2020-06-04,Chthamalus dalli,recruit,0,CW,11
C,1,33,2020-06-04,Balanus glandula,recruit,22,WW,11
C,3,35,2020-06-04,Balanus glandula,recruit,81,CC,11
C,4,36,2020-06-04,Balanus glandula,recruit,135,WC,11
C,5,37,2020-06-04,Balanus glandula,recruit,25,CW,11
C,6,38,2020-06-04,Balanus glandula,recruit,33,WW,11
C,7,39,2020-06-04,Balanus glandula,recruit,67,WC,11
C,8,40,2020-06-04,Balanus glandula,recruit,117,WC,11
C,9,41,2020-06-04,Balanus glandula,recruit,166,CC,11
C,10,42,2020-06-04,Balanus glandula,recruit,19,WW,11
C,11,43,2020-06-04,Balanus glandula,recruit,24,WW,11
