survey_no,treatment,mean_abund,se_abund,block,date,timesincestart
2,C,9.382608695652173,2.6657698751983876,C,2019-06-05,7.71428571428571
2,C,9.382608695652173,2.6657698751983876,A,2019-06-05,7.71428571428571
2,C,9.382608695652173,2.6657698751983876,B,2019-06-05,7.71428571428571
2,C,9.382608695652173,2.6657698751983876,D,2019-06-05,7.71428571428571
2,C,9.382608695652173,2.6657698751983876,E,2019-06-05,7.71428571428571
2,W,4.861,1.2609117935130942,C,2019-06-05,7.71428571428571
2,W,4.861,1.2609117935130942,A,2019-06-05,7.71428571428571
2,W,4.861,1.2609117935130942,B,2019-06-05,7.71428571428571
2,W,4.861,1.2609117935130942,D,2019-06-05,7.71428571428571
2,W,4.861,1.2609117935130942,E,2019-06-05,7.71428571428571
3,C,21.51808510638298,3.5282825255159262,A,2019-06-15,9.14285714285714
3,C,21.51808510638298,3.5282825255159262,B,2019-06-15,9.14285714285714
3,C,21.51808510638298,3.5282825255159262,C,2019-06-15,9.14285714285714
3,C,21.51808510638298,3.5282825255159262,D,2019-06-15,9.14285714285714
3,C,21.51808510638298,3.5282825255159262,E,2019-06-15,9.14285714285714
3,C,21.51808510638298,3.5282825255159262,F,2019-06-15,9.14285714285714
3,W,16.10612244897959,3.1397825980938667,A,2019-06-15,9.14285714285714
3,W,16.10612244897959,3.1397825980938667,B,2019-06-15,9.14285714285714
3,W,16.10612244897959,3.1397825980938667,C,2019-06-15,9.14285714285714
3,W,16.10612244897959,3.1397825980938667,D,2019-06-15,9.14285714285714
3,W,16.10612244897959,3.1397825980938667,E,2019-06-15,9.14285714285714
3,W,16.10612244897959,3.1397825980938667,F,2019-06-15,9.14285714285714
4,C,37.12234042553192,4.7052880796370244,A,2019-07-04,11.8571428571429
4,C,37.12234042553192,4.7052880796370244,B,2019-07-04,11.8571428571429
4,C,37.12234042553192,4.7052880796370244,C,2019-07-04,11.8571428571429
4,C,37.12234042553192,4.7052880796370244,D,2019-07-04,11.8571428571429
4,C,37.12234042553192,4.7052880796370244,E,2019-07-04,11.8571428571429
4,C,37.12234042553192,4.7052880796370244,F,2019-07-04,11.8571428571429
4,W,22.285714285714285,3.283643239630345,A,2019-07-04,11.8571428571429
4,W,22.285714285714285,3.283643239630345,B,2019-07-04,11.8571428571429
4,W,22.285714285714285,3.283643239630345,C,2019-07-04,11.8571428571429
4,W,22.285714285714285,3.283643239630345,D,2019-07-04,11.8571428571429
4,W,22.285714285714285,3.283643239630345,E,2019-07-04,11.8571428571429
4,W,22.285714285714285,3.283643239630345,F,2019-07-04,11.8571428571429
5,C,60.212765957446805,4.613953033965753,A,2019-07-18,13.8571428571429
5,C,60.212765957446805,4.613953033965753,B,2019-07-18,13.8571428571429
5,C,60.212765957446805,4.613953033965753,C,2019-07-18,13.8571428571429
5,C,60.212765957446805,4.613953033965753,D,2019-07-18,13.8571428571429
5,C,60.212765957446805,4.613953033965753,E,2019-07-18,13.8571428571429
5,C,60.212765957446805,4.613953033965753,F,2019-07-18,13.8571428571429
5,W,44.98979591836735,3.767123314793424,A,2019-07-18,13.8571428571429
5,W,44.98979591836735,3.767123314793424,B,2019-07-18,13.8571428571429
5,W,44.98979591836735,3.767123314793424,C,2019-07-18,13.8571428571429
5,W,44.98979591836735,3.767123314793424,D,2019-07-18,13.8571428571429
5,W,44.98979591836735,3.767123314793424,E,2019-07-18,13.8571428571429
