sp_abbrev,species_full
balanus,Balanus glandula
chthamalus,Chthamalus dalli
ulothrix,Ulothrix sp.
ulva,Ulva lactuca
pyropia,Pyropia sp.
fucus,Fucus distichus
lpdig,Lottia paradigitalis
ldig,Lottia digitalis
lscut,Lottia scutum
littscut,Littorina scutulata
littsit,Littorina sitkana
lpelta,Lottia pelta
mytilus,Mytilus trossulus
annelida,Annelida
pagurus,Pagurus hirsutiusculus
amphipod,Amphipoda
isopoda,Isopoda
onchidoris,Onchidoris bilamellata
lottrec,Lottia spp. recruits
leathesia,Leathesia difformis
emplectonema,Nemertea
scunge,Diatoms
red_alga,Savoiea robusta
brown_alga,Dilsea californica
petrocelis,Petrocelis
littorina_scutulata,Littorina scutulata
littorina_sitkana,Littorina sitkana
insecta,Insecta
amphipoda_1,Amphipoda
amphipoda_2,Amphipoda
lottia_paradigitalis,Lottia paradigitalis
lottia_digitalis,Lottia digitalis
lottia_pelta,Lottia pelta
copepoda,Copepoda
cyprid,Cirripedia larva
cirripedia_cyprid,Cirripedia larva
nemertean_1,Nemertea
isopoda_1,Gnorimosphaeroma oregonensis
gnorimosphaeroma,Gnorimosphaeroma oregonensis
worm_thing,Amphipoda larva
anthopleura_elegantissima,Anthopleura elegantissima
sabellidae,Polychaeta
bivalvia_1,Heterodonta
onchidoris_bilamellata,Onchidoris bilamellata
emplectonema_gracile,Nemertea
pagurus_hirsutiusculus,Pagurus hirsutiusculus
limpet_recruit,Lottia spp. recruits
polychaeta_2,Polychaeta
insecta_2,Insecta
oedoparena_larva,Oedoparena sp. larva
polychaeta_2,Polychaeta
amphipoda_2,Amphipoda
lottia_scutum,Lottia scutum
syllidae,Polychaeta
neostylidium_eschrichtii,Neostylidium eschrichtii
annelida_1,Annelida
flatworm,Notocomplana acticola
