original_block,original_no,original_angle,original_herb_trt,original_shore_level,new_block,new_no,new_angle,new_compass,new_shore_level,colour_y1,colour_y2,survived
B,1,13,"lsc, lpd",2.404,A,1,11,98,2.155,black,white,y
B,2,14,"lsc, ld",2.404,A,2,12,102,2.155,white,white,y
B,3,14,"lsi, ld",2.404,A,3,14,108,2.155,black,black,y
B,4,28,lsc,2.404,A,4,23,95,2.155,black,black,y
B,5,24,ld,2.404,A,5,25,85,2.155,black,white,y
B,6,23,"lsi, ld",2.404,A,6,24,89,2.155,black,white,y
B,7,23,lpd,2.404,A,7,23,89,2.155,white,white,y
B,8,28,"lsc, lsi, ld, lpd",2.404,A,8,28,89,2.155,white,black,y
B,9,21,lsc,2.404,A,9,22,85,2.155,white,white,y
B,10,24,lsi,2.404,A,10,22,80,2.155,black,white,y
B,11,23,ld,2.404,A,11,23,80,2.155,white,black,y
B,12,26,lsi,2.404,A,12,24,82,2.155,white,black,y
B,17,34,"lsc, ld",2.404,A,13,24,106,2.155,white,black,y
B,18,29,"lsi, lpd",2.404,A,14,26,95,2.155,black,black,y
B,19,32,lpd,2.404,A,15,32,103,2.155,black,black,y
B,20,33,"lsi, lpd",2.404,A,16,34,90,2.155,white,white,y
E,14,16,ld,2.18,B,1,17,75,2.543,black,white,y
E,10,12,lsc,2.18,B,2,18,79,2.543,black,black,y
E,18,7,"lsc, lsi, ld, lpd",2.18,B,3,17,85,2.543,white,black,y
E,19,7,lsi,2.18,B,4,21,81,2.543,white,white,y
E,13,17,NA,2.18,B,5,25,78,2.543,white,white,y
E,20,5,"lsc, ld",2.18,B,6,19,58,2.543,black,white,y
E,1,11,"lsc, lpd",2.18,B,7,10,75,2.543,black,black,y
E,2,1,lpd,2.18,B,8,16,73,2.543,black,white,y
E,11,9,ld,2.18,B,9,18,74,2.543,white,black,y
E,12,12,"lsi, lpd",2.18,B,10,17,75,2.543,black,NA,NA
E,3,8,"lsc, ld",2.18,B,11,14,67,2.543,white,NA,NA
E,16,14,"lsi, ld",2.18,B,12,14,61,2.543,black,black,y
E,15,16,lsc,2.18,B,13,12,60,2.543,white,white,y
E,6,12,"lsc, lsi, ld, lpd",2.18,B,14,7,58,2.543,black,black,y
E,17,8,"lsc, lpd",2.18,B,15,13,56,2.543,black,black,y
E,7,16,lsi,2.18,B,16,13,60,2.543,white,black,y
E,8,12,NA,2.18,C,1,17,65,2.551,black,black,y
E,5,9,"lsi, lpd",2.18,C,2,13,68,2.551,white,NA,y
E,9,11,"lsi, ld",2.18,C,3,13,60,2.551,white,white,y
