original_block,original_no,original_angle,original_herb_trt,original_shore_level,new_block,new_no,new_angle,new_compass,new_shore_level,colour_y1,colour_y2,survived,treatment,tile_id
B,1,13,"lsc, lpd",2.404,A,1,11,98,2.155,black,white,y,WC,1
B,2,14,"lsc, ld",2.404,A,2,12,102,2.155,white,white,y,CC,2
B,3,14,"lsi, ld",2.404,A,3,14,108,2.155,black,black,y,WW,3
B,4,28,lsc,2.404,A,4,23,95,2.155,black,black,y,WW,4
B,5,24,ld,2.404,A,5,25,85,2.155,black,white,y,WC,5
B,6,23,"lsi, ld",2.404,A,6,24,89,2.155,black,white,y,WC,6
B,7,23,lpd,2.404,A,7,23,89,2.155,white,white,y,CC,7
B,8,28,"lsc, lsi, ld, lpd",2.404,A,8,28,89,2.155,white,black,y,CW,8
B,9,21,lsc,2.404,A,9,22,85,2.155,white,white,y,CC,9
B,10,24,lsi,2.404,A,10,22,80,2.155,black,white,y,WC,10
B,11,23,ld,2.404,A,11,23,80,2.155,white,black,y,CW,11
B,12,26,lsi,2.404,A,12,24,82,2.155,white,black,y,CW,12
B,17,34,"lsc, ld",2.404,A,13,24,106,2.155,white,black,y,CW,13
B,18,29,"lsi, lpd",2.404,A,14,26,95,2.155,black,black,y,WW,14
B,19,32,lpd,2.404,A,15,32,103,2.155,black,black,y,WW,15
B,20,33,"lsi, lpd",2.404,A,16,34,90,2.155,white,white,y,CC,16
E,14,16,ld,2.18,B,1,17,75,2.543,black,white,y,WC,17
E,10,12,lsc,2.18,B,2,18,79,2.543,black,black,y,WW,18
E,18,7,"lsc, lsi, ld, lpd",2.18,B,3,17,85,2.543,white,black,y,CW,19
E,19,7,lsi,2.18,B,4,21,81,2.543,white,white,y,CC,20
E,13,17,NA,2.18,B,5,25,78,2.543,white,white,y,CC,21
E,20,5,"lsc, ld",2.18,B,6,19,58,2.543,black,white,y,WC,22
E,1,11,"lsc, lpd",2.18,B,7,10,75,2.543,black,black,y,WW,23
E,2,1,lpd,2.18,B,8,16,73,2.543,black,white,y,WC,24
E,11,9,ld,2.18,B,9,18,74,2.543,white,black,y,CW,25
E,12,12,"lsi, lpd",2.18,B,10,17,75,2.543,black,NA,NA,W,26
E,3,8,"lsc, ld",2.18,B,11,14,67,2.543,white,NA,NA,C,27
E,16,14,"lsi, ld",2.18,B,12,14,61,2.543,black,black,y,WW,28
E,15,16,lsc,2.18,B,13,12,60,2.543,white,white,y,CC,29
E,6,12,"lsc, lsi, ld, lpd",2.18,B,14,7,58,2.543,black,black,y,WW,30
E,17,8,"lsc, lpd",2.18,B,15,13,56,2.543,black,black,y,WW,31
E,7,16,lsi,2.18,B,16,13,60,2.543,white,black,y,CW,32
E,8,12,NA,2.18,C,1,17,65,2.551,black,black,y,WW,33
E,5,9,"lsi, lpd",2.18,C,2,13,68,2.551,white,NA,y,C,34
E,9,11,"lsi, ld",2.18,C,3,13,60,2.551,white,white,y,CC,35
C,7,19,"lsc, ld",2.105,C,4,11,55,2.551,black,white,y,WC,36
E,4,6,lpd,2.18,C,5,11,51,2.551,white,black,y,CW,37
C,4,18,"lsc, lpd",2.105,C,6,15,44,2.551,black,black,y,WW,38
D,8,29,lsc,2.256,C,7,13,75,2.551,black,white,y,WC,39
D,6,20,lpd,2.256,C,8,19,67,2.551,black,white,y,WC,40
C,6,15,"lsi, ld",2.105,C,9,18,65,2.551,white,white,y,CC,41
B,14,14,"lsc, lsi, ld, lpd",2.404,C,10,16,66,2.551,black,black,y,WW,42
B,13,16,NA,2.404,C,11,14,70,2.551,black,black,y,WW,43
A,18,29,"lsi, lpd",2.382,C,12,9,65,2.551,black,black,y,WW,44
D,19,28,lsc,2.256,C,13,17,55,2.551,white,white,y,CC,45
A,19,15,"lsc, lpd",2.382,C,14,15,67,2.551,white,black,y,CW,46
