taxon,sp_code,taxon_repaired,unified_code
amphipoda_1,AMSP1,Amphiphoda,AMSP
amphipoda_2,AMSP2,Amphiphoda,AMSP
amphipoda_larva,AMSPL,Amphiphoda,AMSP
anthopleura_elegantissima,ANEL,Anthopleura_elegantissima,ANEL
annelida_1,ANNE1,Annelida,ANNE1
arachnida,ARAC,Arachnida,ARAC
cirripedia_cyprid,CICY,Cyprid,CICY
copepoda,COPE,Copepoda,COPE
dynamenella_sheareri,DYSH,Dynamenella_sheareri,DYSH
emplectonema_gracile,EMGR,Emplectonema_gracile,EMGR
hymenoptera,HYME,Hymenoptera,HYME
insecta_3,INSE1,Insecta,INSE1
isopoda_2,ISOP2,Isopoda,ISOP2
lasaea_rubra,LARU,Lasaea_rubra,LARU
littorina_scutulata,LISC,Littorina_scutulata,LISC
littorina_sitkana,LISI,Littorina_sitkana,LISI
lottia_digitalis,LODI,Lottia_digitalis,LODI
lottia_paradigitalis,LOPA,Lottia_paradigitalis,LOPA
lottia_pelta,LOPE,Lottia_pelta,LOPE
lottia_scutum,LOSC,Lottia_scutum,LOSC
limpet_recruit,LOSP,Lottia_sp,LOSP
lottia_recruit,LOSP,Lottia_sp,LOSP
mytilus,MYSP,Mytilus_sp,MYSP
neostylidium_eschrichtii,NEES,Neostylidium_eschrichtii,NEES
nemertean_1,NEME1,Nemertea,NEME1
oedoparena,OEDO,Oedoparena_sp,OESP
oedoparena_larva,OESP,Oedoparena_sp,OESP
onchidoris_bilamellata,ONBI,Onchidoris_bilamellata,ONBI
pagurus_hirsutiusculus,PAHI,Pagurus_hirsutiusculus,PAHI
platyhelminthes,PLAT1,Platyhelminthes,PLAT1
polychaeta_1,POLY1,Polychaeta,POLY1
polychaeta_2,POLY2,Polychaeta,POLY2
sabellidae,SABE,Sabellidae,SABE
syllidae,SYLL,Syllidae,SYLL
