block,number,taxon,abund,notes
B,1,ampiphoda_1,3,
B,1,littorina_sitkana,11,
B,1,littorina_scutulata,3,
B,1,lottia_digitalis,1,
B,1,lottia_recruits,2,lottia paradigitalis recruits? Picture May 18
B,1,worm_thing,1,same as usual - picture May 18
A,3,all,0,
B,1,cyprid,2,
D,12,gnorimosphaeroma,5,
D,12,ampiphoda_1,8,
D,12,mytilus,8,
D,12,littorina_scutulata,23,
D,12,littorina_sitkana,4,
D,12,lottia_digitalis,1,
D,12,lottia_paradigitalis,13,
D,12,lottia_pelta,2,
D,12,lottia_recruits,11,
D,12,worm_thing,17,
D,12,copepoda,3,
D,12,syllidae,4,polychaete
D,12,cyprid,29,
D,12,isopoda_2,2,picture May 18
E,15,gnorimosphaeroma,1,
E,15,isopoda_2,1,
E,15,worm_thing,1,
C,11,worm_thing,3,
C,11,lottia_paradigitalis,1,
E,13,ampiphoda_1,2,
E,13,lottia_paradigitalis,4,
E,13,lottia_pelta,2,
E,13,worm_thing,3,
E,13,littorina_sitkana,4,
B,12,worm_thing,1,
E,13,cyprid,1,
A,1,mytilus,1,
A,1,lottia_paradigitalis,6,
A,1,gnorimosphaeroma,1,
A,1,worm_thing,1,
A,1,littorina_sitkana,1,
E,12,lottia_paradigitalis,2,
E,12,lottia_pelta,1,
E,12,worm_thing,1,
E,12,ampiphoda_1,1,
E,12,cyprid,1,
E,12,littorina_scutulata,1,
F,6,worm_thing,9,
F,6,ampiphoda_1,7,
E,11,lottia_paradigitalis,6,
E,11,lottia_digitalis,7,
E,11,lottia_pelta,6,
E,11,lottia_scutum,1,
E,11,littorina_scutulata,14,
E,11,littorina_sitkana,13,
E,11,worm_thing,2,
E,11,cyprid,1,
D,9,cyprid,16,
D,9,emplectonema_gracile,2,
D,9,ampiphoda_1,3,
D,9,lottia_paradigitalis,18,
D,9,lottia_pelta,4,
D,9,littorina_scutulata,4,
D,9,littorina_sitkana,4,
D,9,neostylidium_eschrichtii,1,
D,9,worm_thing,2,
D,9,mytilus,1,
D,8,cyprid,3,
D,8,lottia_digitalis,2,
D,8,lottia_paradigitalis,7,
D,8,lottia_pelta,8,
D,8,littorina_scutulata,7,
D,8,littorina_sitkana,2,
D,8,worm_thing,2,
F,5,worm_thing,5,
F,5,ampiphoda_1,4,
F,5,littorina_scutulata,1,
E,9,cyprid,39,
E,9,gnorimosphaeroma,11,
E,9,ampiphoda_1,34,
E,9,mytilus,34,
E,9,bivalvia_1,2,
E,9,littorina_scutulata,53,
E,9,littorina_sitkana,77,
E,9,lottia_paradigitalis,37,
E,9,lottia_pelta,4,
E,9,worm_thing,12,
E,9,syllidae,6,
A,15,cyprid,1,
A,13,cyprid,5,
A,13,isopoda_2,4,
A,13,lottia_paradigitalis,6,
A,13,lottia_pelta,1,
A,13,littorina_scutulata,4,
