block,number,taxon,abund,
F,15,amphipoda_1,17,"large eyespots, picture Nov. 6"
F,15,insecta,1,"ant, picture Nov. 6"
F,15,littorina_scutulata,4,
B,15,littorina_sitkana,1,
B,15,littorina_scutulata,6,
E,14,littorina_sitkana,18,
E,14,littorina_scutulata,34,
E,14,amphipoda_1,3,
C,8,amphipoda_1,7,
C,8,littorina_scutulata,3,
C,8,littorina_sitkana,24,
C,8,lottia_paradigitalis,5,
F,2,littorina_scutulata,3,
A,14,amphipoda_1,1,
A,14,polychaeta_1,1,
C,15,amphipoda_1,4,
C,15,copepoda,3,
C,15,cirripedia_cyprid,10,
C,15,amphipoda_2,1,red eye clear body
C,15,littorina_scutulata,14,
C,15,littorina_sitkana,60,
C,15,mytilus,3,
C,1,littorina_sitkana,4,
C,1,amphipoda_1,3,
D,11,lottia_paradigitalis,6,
D,11,mytilus,1,
D,11,littorina_sitkana,2,
D,11,littorina_scutulata,1,
D,11,amphipoda_1,3,
E,16,cirripedia_cyprid,3,
E,16,littorina_scutulata,11,
E,16,littorina_sitkana,3,
E,16,amphipoda_1,1,
E,16,insecta,1,"ant, picture Nov. 6"
E,16,mytilus,1,
B,3,littorina_scutulata,3,
B,3,littorina_sitkana,2,
B,3,amphipoda_1,1,
C,7,lottia_paradigitalis,7,
C,7,littorina_scutulata,8,
C,7,littorina_sitkana,29,
C,7,amphipoda_1,1,
C,7,cirripedia_cyprid,1,
D,16,littorina_scutulata,1,
C,6,lottia_paradigitalis,4,
C,6,littorina_scutulata,7,
C,6,cirripedia_cyprid,3,
A,11,cirripedia_cyprid,5,
A,11,copepoda,3,
A,11,amphipoda_1,8,
A,11,lottia_paradigitalis,4,
A,11,littorina_sitkana,16,
A,11,littorina_scutulata,27,
A,11,nemertean_1,1,
A,11,mytilus,2,
A,11,isopoda_1,1,usual suspect. Big eyes. Cute. Grey overlapping back plates.
B,13,cirripedia_cyprid,1,
B,13,lottia_paradigitalis,1,
B,13,mytilus,1,
B,13,littorina_sitkana,7,
B,13,littorina_scutulata,7,
B,13,amphipoda_1,2,
B,13,copepoda,1,
B,13,worm_thing,3,
A,5,lottia_pelta,1,
A,5,lottia_paradigitalis,4,
A,5,anthopleura_elegantissima,1,
A,5,copepoda,3,
A,5,mytilus,2,
A,5,amphipoda_1,8,
A,5,littorina_scutulata,2,
A,5,littorina_sitkana,2,
A,8,copepoda,1,
A,8,littorina_sitkana,13,
A,8,littorina_scutulata,6,
A,8,amphipoda_1,3,
E,8,cirripedia_cyprid,55,
E,8,lottia_paradigitalis,1,
E,8,amphipoda_1,9,
E,8,sabellidae,1,
E,8,isopoda_1,1,
E,8,littorina_sitkana,91,
E,8,littorina_scutulata,42,
E,8,mytilus,2,
E,8,bivalvia_1,1,pinkish small small clam
B,8,mytilus,3,
B,8,amphipoda_1,2,
B,8,littorina_scutulata,9,
B,8,littorina_sitkana,1,
C,5,lottia_digitalis,1,
C,5,lottia_paradigitalis,4,
C,5,littorina_scutulata,6,
C,5,littorina_sitkana,2,
C,5,amphipoda_1,3,
A,7,cirripedia_cyprid,3,
A,7,amphipoda_1,4,
A,7,littorina_scutulata,5,
A,7,lottia_paradigitalis,2,
A,4,cirripedia_cyprid,7,
A,4,amphipoda_1,1,
A,4,lottia_paradigitalis,1,
A,4,mytilus,1,
D,7,mytilus,1,
D,7,cirripedia_cyprid,3,
D,7,lottia_paradigitalis,1,
D,7,amphipoda_1,4,
F,10,cirripedia_cyprid,5,
F,10,amphipoda_1,5,
F,10,littorina_scutulata,3,
F,10,littorina_sitkana,1,
E,7,lottia_paradigitalis,1,
E,7,littorina_scutulata,11,
E,7,littorina_sitkana,6,
E,7,amphipoda_1,2,
E,7,cirripedia_cyprid,2,
D,10,lottia_paradigitalis,9,
D,10,littorina_scutulata,1,
D,10,littorina_sitkana,2,
C,3,lottia_paradigitalis,2,
C,3,littorina_scutulata,8,
C,3,littorina_sitkana,3,
C,3,cirripedia_cyprid,1,
D,14,lottia_paradigitalis,4,
D,14,littorina_scutulata,27,
D,14,amphipoda_1,5,
D,14,worm_thing,1,
D,14,littorina_sitkana,1,
D,14,cirripedia_cyprid,2,
D,14,copepoda,2,
A,16,mytilus,9,
A,16,cirripedia_cyprid,26,
A,16,worm_thing,5,
A,16,amphipoda_1,24,
A,16,lottia_paradigitalis,8,
A,16,littorina_scutulata,59,
A,16,littorina_sitkana,35,
A,16,isopoda_1,1,
A,16,onchidoris_bliamellata,1,
A,6,lottia_paradigitalis,3,
A,6,mytilus,1,
A,6,amphipoda_1,2,
A,6,littorina_scutulata,1,
C,16,cirripedia_cyprid,3,
C,16,mytilus,2,
C,16,amphipoda_1,3,
C,16,lottia_paradigitalis,2,
C,16,littorina_scutulata,11,
C,16,littorina_sitkana,81,
D,15,cirripedia_cyprid,4,
D,15,mytilus,6,
D,15,copepoda,1,
D,15,emplectonema_gracile,1,
D,15,lottia_paradigitalis,5,
D,15,pagurus_hirsutiusculus,1,
D,15,littorina_scutulata,59,
D,15,isopoda_1,3,
D,15,littorina_sitkana,11,
D,15,worm_thing,1,
D,15,amphipoda_1,29,
D,15,limpet_recruit,1,
F,4,cirripedia_cyprid,7,
F,4,mytilus,15,
F,4,lottia_paradigitalis,3,
F,4,emplectonema_gracile,1,
F,4,worm_thing,2,
F,4,isopoda_1,3,
F,4,amphipoda_1,26,
F,4,littorina_scutulata,57,
F,4,littorina_sitkana,76,
F,4,bivalvia_1,1,
D,6,cirripedia_cyprid,10,
D,6,mytilus,7,
D,6,polychaeta_2,2,"grey, short"
D,6,lottia_paradigitalis,2,
D,6,amphipoda_1,14,
D,6,littorina_scutulata,55,
D,6,littorina_sitkana,51,
D,6,oedoperna_larvae,2,
D,6,insecta_2,1,tick
