1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F000000051088821
Is Mission Active?  true
Mission Start:  Thu Jun 04 11:01:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1674
Total Samples:  11114
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Aug 16 00:00:00 PDT 2020
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
04/06/20 11:01:00 AM,C,27
04/06/20 12:01:00 PM,C,24.5
04/06/20 1:01:00 PM,C,23
04/06/20 2:01:00 PM,C,26
04/06/20 3:01:00 PM,C,11.5
04/06/20 4:01:00 PM,C,11
04/06/20 5:01:00 PM,C,11
04/06/20 6:01:00 PM,C,11.5
04/06/20 7:01:00 PM,C,11
04/06/20 8:01:00 PM,C,11.5
04/06/20 9:01:00 PM,C,11
04/06/20 10:01:00 PM,C,11
04/06/20 11:01:00 PM,C,11
05/06/20 12:01:00 AM,C,11.5
05/06/20 1:01:00 AM,C,11.5
05/06/20 2:01:00 AM,C,11.5
05/06/20 3:01:00 AM,C,11.5
05/06/20 4:01:00 AM,C,11.5
05/06/20 5:01:00 AM,C,11
05/06/20 6:01:00 AM,C,11
05/06/20 7:01:00 AM,C,11
05/06/20 8:01:00 AM,C,13.5
05/06/20 9:01:00 AM,C,16
05/06/20 10:01:00 AM,C,19
05/06/20 11:01:00 AM,C,24
05/06/20 12:01:00 PM,C,26.5
05/06/20 1:01:00 PM,C,36
05/06/20 2:01:00 PM,C,35
05/06/20 3:01:00 PM,C,27.5
05/06/20 4:01:00 PM,C,12
05/06/20 5:01:00 PM,C,12.5
05/06/20 6:01:00 PM,C,12
05/06/20 7:01:00 PM,C,11.5
05/06/20 8:01:00 PM,C,11.5
05/06/20 9:01:00 PM,C,11
05/06/20 10:01:00 PM,C,11
05/06/20 11:01:00 PM,C,11
06/06/20 12:01:00 AM,C,11.5
06/06/20 1:01:00 AM,C,11.5
06/06/20 2:01:00 AM,C,11.5
06/06/20 3:01:00 AM,C,11.5
06/06/20 4:01:00 AM,C,11.5
06/06/20 5:01:00 AM,C,11.5
06/06/20 6:01:00 AM,C,11
06/06/20 7:01:00 AM,C,11
06/06/20 8:01:00 AM,C,12
06/06/20 9:01:00 AM,C,16.5
06/06/20 10:01:00 AM,C,21.5
06/06/20 11:01:00 AM,C,18
06/06/20 12:01:00 PM,C,25
06/06/20 1:01:00 PM,C,29.5
06/06/20 2:01:00 PM,C,32
06/06/20 3:01:00 PM,C,22.5
06/06/20 4:01:00 PM,C,19
06/06/20 5:01:00 PM,C,12
06/06/20 6:01:00 PM,C,12
06/06/20 7:01:00 PM,C,11.5
06/06/20 8:01:00 PM,C,11
06/06/20 9:01:00 PM,C,11
06/06/20 10:01:00 PM,C,11
06/06/20 11:01:00 PM,C,10.5
07/06/20 12:01:00 AM,C,11
07/06/20 1:01:00 AM,C,11
07/06/20 2:01:00 AM,C,11.5
07/06/20 3:01:00 AM,C,11
07/06/20 4:01:00 AM,C,11.5
07/06/20 5:01:00 AM,C,11
07/06/20 6:01:00 AM,C,11
07/06/20 7:01:00 AM,C,11
07/06/20 8:01:00 AM,C,11
07/06/20 9:01:00 AM,C,17
07/06/20 10:01:00 AM,C,26
07/06/20 11:01:00 AM,C,27.5
07/06/20 12:01:00 PM,C,31
07/06/20 1:01:00 PM,C,34.5
07/06/20 2:01:00 PM,C,32
07/06/20 3:01:00 PM,C,32
07/06/20 4:01:00 PM,C,30
07/06/20 5:01:00 PM,C,15
07/06/20 6:01:00 PM,C,12.5
07/06/20 7:01:00 PM,C,12
07/06/20 8:01:00 PM,C,12
07/06/20 9:01:00 PM,C,11
07/06/20 10:01:00 PM,C,11
07/06/20 11:01:00 PM,C,11
08/06/20 12:01:00 AM,C,11
08/06/20 1:01:00 AM,C,11
08/06/20 2:01:00 AM,C,11.5
08/06/20 3:01:00 AM,C,11.5
08/06/20 4:01:00 AM,C,11.5
08/06/20 5:01:00 AM,C,11.5
08/06/20 6:01:00 AM,C,11
08/06/20 7:01:00 AM,C,11
08/06/20 8:01:00 AM,C,11
08/06/20 9:01:00 AM,C,11.5
08/06/20 10:01:00 AM,C,18
08/06/20 11:01:00 AM,C,27
08/06/20 12:01:00 PM,C,21.5
08/06/20 1:01:00 PM,C,26
08/06/20 2:01:00 PM,C,24.5
08/06/20 3:01:00 PM,C,22.5
08/06/20 4:01:00 PM,C,23.5
08/06/20 5:01:00 PM,C,20
08/06/20 6:01:00 PM,C,12
08/06/20 7:01:00 PM,C,11.5
08/06/20 8:01:00 PM,C,11.5
08/06/20 9:01:00 PM,C,11.5
08/06/20 10:01:00 PM,C,11
08/06/20 11:01:00 PM,C,11
09/06/20 12:01:00 AM,C,11
09/06/20 1:01:00 AM,C,11
09/06/20 2:01:00 AM,C,11.5
09/06/20 3:01:00 AM,C,11.5
09/06/20 4:01:00 AM,C,11.5
09/06/20 5:01:00 AM,C,11.5
09/06/20 6:01:00 AM,C,11.5
09/06/20 7:01:00 AM,C,11.5
09/06/20 8:01:00 AM,C,11.5
09/06/20 9:01:00 AM,C,11.5
09/06/20 10:01:00 AM,C,11.5
09/06/20 11:01:00 AM,C,12
09/06/20 12:01:00 PM,C,13.5
09/06/20 1:01:00 PM,C,14
09/06/20 2:01:00 PM,C,16
09/06/20 3:01:00 PM,C,16.5
09/06/20 4:01:00 PM,C,15
09/06/20 5:01:00 PM,C,15.5
09/06/20 6:01:00 PM,C,12.5
09/06/20 7:01:00 PM,C,11.5
09/06/20 8:01:00 PM,C,11.5
09/06/20 9:01:00 PM,C,11.5
09/06/20 10:01:00 PM,C,11
09/06/20 11:01:00 PM,C,11
10/06/20 12:01:00 AM,C,11
10/06/20 1:01:00 AM,C,11
10/06/20 2:01:00 AM,C,11
10/06/20 3:01:00 AM,C,11
10/06/20 4:01:00 AM,C,11.5
10/06/20 5:01:00 AM,C,11
10/06/20 6:01:00 AM,C,11
10/06/20 7:01:00 AM,C,11
10/06/20 8:01:00 AM,C,11
10/06/20 9:01:00 AM,C,11.5
10/06/20 10:01:00 AM,C,11.5
10/06/20 11:01:00 AM,C,18.5
10/06/20 12:01:00 PM,C,33
10/06/20 1:01:00 PM,C,31
10/06/20 2:01:00 PM,C,32.5
10/06/20 3:01:00 PM,C,28
10/06/20 4:01:00 PM,C,29
10/06/20 5:01:00 PM,C,29
10/06/20 6:01:00 PM,C,27
10/06/20 7:01:00 PM,C,15.5
10/06/20 8:01:00 PM,C,12
10/06/20 9:01:00 PM,C,12.5
10/06/20 10:01:00 PM,C,11.5
10/06/20 11:01:00 PM,C,11
11/06/20 12:01:00 AM,C,11
11/06/20 1:01:00 AM,C,11
11/06/20 2:01:00 AM,C,11
11/06/20 3:01:00 AM,C,11
11/06/20 4:01:00 AM,C,11.5
11/06/20 5:01:00 AM,C,11.5
11/06/20 6:01:00 AM,C,11.5
11/06/20 7:01:00 AM,C,11.5
11/06/20 8:01:00 AM,C,11.5
11/06/20 9:01:00 AM,C,11.5
11/06/20 10:01:00 AM,C,11.5
11/06/20 11:01:00 AM,C,12
11/06/20 12:01:00 PM,C,15
11/06/20 1:01:00 PM,C,23
11/06/20 2:01:00 PM,C,28
11/06/20 3:01:00 PM,C,28.5
11/06/20 4:01:00 PM,C,23.5
11/06/20 5:01:00 PM,C,23
11/06/20 6:01:00 PM,C,21
11/06/20 7:01:00 PM,C,13.5
11/06/20 8:01:00 PM,C,12
11/06/20 9:01:00 PM,C,12
11/06/20 10:01:00 PM,C,12
11/06/20 11:01:00 PM,C,11.5
12/06/20 12:01:00 AM,C,11
12/06/20 1:01:00 AM,C,11.5
12/06/20 2:01:00 AM,C,11.5
12/06/20 3:01:00 AM,C,11.5
12/06/20 4:01:00 AM,C,11.5
12/06/20 5:01:00 AM,C,11.5
12/06/20 6:01:00 AM,C,11.5
12/06/20 7:01:00 AM,C,11
12/06/20 8:01:00 AM,C,11
12/06/20 9:01:00 AM,C,11.5
12/06/20 10:01:00 AM,C,11
12/06/20 11:01:00 AM,C,11.5
12/06/20 12:01:00 PM,C,11.5
12/06/20 1:01:00 PM,C,14
12/06/20 2:01:00 PM,C,19
12/06/20 3:01:00 PM,C,24
12/06/20 4:01:00 PM,C,22
12/06/20 5:01:00 PM,C,18.5
12/06/20 6:01:00 PM,C,16
