1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 690000005101AC21
Is Mission Active?  true
Mission Start:  Thu Jun 06 13:52:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1676
Total Samples:  2994
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
06/06/19 1:52:00 PM,C,19.5
06/06/19 2:52:00 PM,C,26
06/06/19 3:52:00 PM,C,16
06/06/19 4:52:00 PM,C,16.5
06/06/19 5:52:00 PM,C,17
06/06/19 6:52:00 PM,C,11.5
06/06/19 7:52:00 PM,C,11
06/06/19 8:52:00 PM,C,10.5
06/06/19 9:52:00 PM,C,10.5
06/06/19 10:52:00 PM,C,10.5
06/06/19 11:52:00 PM,C,10.5
07/06/19 12:52:00 AM,C,11
07/06/19 1:52:00 AM,C,10.5
07/06/19 2:52:00 AM,C,10.5
07/06/19 3:52:00 AM,C,10.5
07/06/19 4:52:00 AM,C,11
07/06/19 5:52:00 AM,C,11
07/06/19 6:52:00 AM,C,10.5
07/06/19 7:52:00 AM,C,11
07/06/19 8:52:00 AM,C,11.5
07/06/19 9:52:00 AM,C,13.5
07/06/19 10:52:00 AM,C,16.5
07/06/19 11:52:00 AM,C,19.5
07/06/19 12:52:00 PM,C,18.5
07/06/19 1:52:00 PM,C,22
07/06/19 2:52:00 PM,C,25.5
07/06/19 3:52:00 PM,C,28.5
07/06/19 4:52:00 PM,C,22
07/06/19 5:52:00 PM,C,18
07/06/19 6:52:00 PM,C,14.5
07/06/19 7:52:00 PM,C,11
07/06/19 8:52:00 PM,C,11
07/06/19 9:52:00 PM,C,10.5
07/06/19 10:52:00 PM,C,11
07/06/19 11:52:00 PM,C,10.5
08/06/19 12:52:00 AM,C,10.5
08/06/19 1:52:00 AM,C,10.5
08/06/19 2:52:00 AM,C,10.5
08/06/19 3:52:00 AM,C,10.5
08/06/19 4:52:00 AM,C,11
08/06/19 5:52:00 AM,C,11
08/06/19 6:52:00 AM,C,11
08/06/19 7:52:00 AM,C,11
08/06/19 8:52:00 AM,C,11
08/06/19 9:52:00 AM,C,17.5
08/06/19 10:52:00 AM,C,21
08/06/19 11:52:00 AM,C,23.5
08/06/19 12:52:00 PM,C,31.5
08/06/19 1:52:00 PM,C,32
08/06/19 2:52:00 PM,C,32
08/06/19 3:52:00 PM,C,30
08/06/19 4:52:00 PM,C,27
08/06/19 5:52:00 PM,C,22
08/06/19 6:52:00 PM,C,17
08/06/19 7:52:00 PM,C,14
08/06/19 8:52:00 PM,C,11.5
08/06/19 9:52:00 PM,C,11.5
08/06/19 10:52:00 PM,C,11
08/06/19 11:52:00 PM,C,11
09/06/19 12:52:00 AM,C,11
09/06/19 1:52:00 AM,C,11
09/06/19 2:52:00 AM,C,10.5
09/06/19 3:52:00 AM,C,8.5
09/06/19 4:52:00 AM,C,8
09/06/19 5:52:00 AM,C,9
09/06/19 6:52:00 AM,C,14
09/06/19 7:52:00 AM,C,16
09/06/19 8:52:00 AM,C,13
09/06/19 9:52:00 AM,C,16.5
09/06/19 10:52:00 AM,C,18
09/06/19 11:52:00 AM,C,22.5
09/06/19 12:52:00 PM,C,21
09/06/19 1:52:00 PM,C,25
09/06/19 2:52:00 PM,C,23
09/06/19 3:52:00 PM,C,21.5
09/06/19 4:52:00 PM,C,24.5
09/06/19 5:52:00 PM,C,21.5
09/06/19 6:52:00 PM,C,18
09/06/19 7:52:00 PM,C,17
