1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 54000000511DD721
Is Mission Active?  true
Mission Start:  Thu May 09 15:01:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  647
Total Samples:  1293
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
09/05/19 3:01:00 PM,C,30.5
09/05/19 4:01:00 PM,C,30.5
09/05/19 5:01:00 PM,C,27.5
09/05/19 6:01:00 PM,C,21.5
09/05/19 7:01:00 PM,C,15.5
09/05/19 8:01:00 PM,C,11.5
09/05/19 9:01:00 PM,C,11
09/05/19 10:01:00 PM,C,11
09/05/19 11:01:00 PM,C,10.5
10/05/19 12:01:00 AM,C,10.5
10/05/19 1:01:00 AM,C,11
10/05/19 2:01:00 AM,C,10.5
10/05/19 3:01:00 AM,C,10.5
10/05/19 4:01:00 AM,C,10.5
10/05/19 5:01:00 AM,C,11
10/05/19 6:01:00 AM,C,11
10/05/19 7:01:00 AM,C,11
10/05/19 8:01:00 AM,C,11
10/05/19 9:01:00 AM,C,11
10/05/19 10:01:00 AM,C,11.5
10/05/19 11:01:00 AM,C,12
10/05/19 12:01:00 PM,C,24.5
10/05/19 1:01:00 PM,C,30
10/05/19 2:01:00 PM,C,32.5
10/05/19 3:01:00 PM,C,31.5
10/05/19 4:01:00 PM,C,29.5
10/05/19 5:01:00 PM,C,26.5
10/05/19 6:01:00 PM,C,20.5
10/05/19 7:01:00 PM,C,18
10/05/19 8:01:00 PM,C,11
10/05/19 9:01:00 PM,C,11
10/05/19 10:01:00 PM,C,11
10/05/19 11:01:00 PM,C,10
11/05/19 12:01:00 AM,C,10.5
11/05/19 1:01:00 AM,C,10.5
11/05/19 2:01:00 AM,C,11
11/05/19 3:01:00 AM,C,11
11/05/19 4:01:00 AM,C,11
11/05/19 5:01:00 AM,C,10.5
11/05/19 6:01:00 AM,C,11
11/05/19 7:01:00 AM,C,11
11/05/19 8:01:00 AM,C,11
11/05/19 9:01:00 AM,C,11
11/05/19 10:01:00 AM,C,11.5
11/05/19 11:01:00 AM,C,11.5
11/05/19 12:01:00 PM,C,12.5
11/05/19 1:01:00 PM,C,20
11/05/19 2:01:00 PM,C,25
11/05/19 3:01:00 PM,C,24.5
11/05/19 4:01:00 PM,C,22.5
11/05/19 5:01:00 PM,C,22
11/05/19 6:01:00 PM,C,19
11/05/19 7:01:00 PM,C,17
11/05/19 8:01:00 PM,C,14
11/05/19 9:01:00 PM,C,11.5
11/05/19 10:01:00 PM,C,11.5
11/05/19 11:01:00 PM,C,11
12/05/19 12:01:00 AM,C,10.5
12/05/19 1:01:00 AM,C,10.5
12/05/19 2:01:00 AM,C,11
12/05/19 3:01:00 AM,C,11
12/05/19 4:01:00 AM,C,10.5
12/05/19 5:01:00 AM,C,10.5
12/05/19 6:01:00 AM,C,10.5
12/05/19 7:01:00 AM,C,11
12/05/19 8:01:00 AM,C,11
12/05/19 9:01:00 AM,C,11
12/05/19 10:01:00 AM,C,11
12/05/19 11:01:00 AM,C,11
12/05/19 12:01:00 PM,C,11
12/05/19 1:01:00 PM,C,11
12/05/19 2:01:00 PM,C,15.5
12/05/19 3:01:00 PM,C,14.5
12/05/19 4:01:00 PM,C,15
12/05/19 5:01:00 PM,C,16.5
12/05/19 6:01:00 PM,C,14
12/05/19 7:01:00 PM,C,12.5
12/05/19 8:01:00 PM,C,11
12/05/19 9:01:00 PM,C,10.5
12/05/19 10:01:00 PM,C,11
12/05/19 11:01:00 PM,C,10.5
13/05/19 12:01:00 AM,C,10.5
13/05/19 1:01:00 AM,C,10.5
13/05/19 2:01:00 AM,C,10.5
13/05/19 3:01:00 AM,C,10.5
13/05/19 4:01:00 AM,C,10.5
13/05/19 5:01:00 AM,C,10.5
13/05/19 6:01:00 AM,C,10.5
13/05/19 7:01:00 AM,C,10.5
13/05/19 8:01:00 AM,C,11
13/05/19 9:01:00 AM,C,11
13/05/19 10:01:00 AM,C,11
13/05/19 11:01:00 AM,C,11
13/05/19 12:01:00 PM,C,11
13/05/19 1:01:00 PM,C,11.5
13/05/19 2:01:00 PM,C,11.5
13/05/19 3:01:00 PM,C,11.5
13/05/19 4:01:00 PM,C,12.5
13/05/19 5:01:00 PM,C,13.5
13/05/19 6:01:00 PM,C,13
13/05/19 7:01:00 PM,C,12.5
13/05/19 8:01:00 PM,C,11.5
13/05/19 9:01:00 PM,C,11
13/05/19 10:01:00 PM,C,10
13/05/19 11:01:00 PM,C,11
14/05/19 12:01:00 AM,C,11
14/05/19 1:01:00 AM,C,10.5
14/05/19 2:01:00 AM,C,10.5
14/05/19 3:01:00 AM,C,11
14/05/19 4:01:00 AM,C,11
14/05/19 5:01:00 AM,C,10.5
14/05/19 6:01:00 AM,C,10.5
14/05/19 7:01:00 AM,C,10.5
14/05/19 8:01:00 AM,C,10.5
14/05/19 9:01:00 AM,C,10.5
14/05/19 10:01:00 AM,C,11
14/05/19 11:01:00 AM,C,11.5
14/05/19 12:01:00 PM,C,11
14/05/19 1:01:00 PM,C,11
14/05/19 2:01:00 PM,C,11
14/05/19 3:01:00 PM,C,11
14/05/19 4:01:00 PM,C,11
14/05/19 5:01:00 PM,C,11.5
14/05/19 6:01:00 PM,C,11.5
14/05/19 7:01:00 PM,C,12.5
14/05/19 8:01:00 PM,C,12
14/05/19 9:01:00 PM,C,12
14/05/19 10:01:00 PM,C,11.5
14/05/19 11:01:00 PM,C,11
15/05/19 12:01:00 AM,C,11
15/05/19 1:01:00 AM,C,11
15/05/19 2:01:00 AM,C,10.5
15/05/19 3:01:00 AM,C,10.5
15/05/19 4:01:00 AM,C,10.5
15/05/19 5:01:00 AM,C,10.5
15/05/19 6:01:00 AM,C,10.5
15/05/19 7:01:00 AM,C,11.5
15/05/19 8:01:00 AM,C,14
15/05/19 9:01:00 AM,C,15.5
15/05/19 10:01:00 AM,C,19
15/05/19 11:01:00 AM,C,22.5
15/05/19 12:01:00 PM,C,20.5
15/05/19 1:01:00 PM,C,12.5
15/05/19 2:01:00 PM,C,12
15/05/19 3:01:00 PM,C,11.5
15/05/19 4:01:00 PM,C,11
15/05/19 5:01:00 PM,C,11
15/05/19 6:01:00 PM,C,11
15/05/19 7:01:00 PM,C,10.5
15/05/19 8:01:00 PM,C,11
15/05/19 9:01:00 PM,C,11.5
15/05/19 10:01:00 PM,C,11
15/05/19 11:01:00 PM,C,11.5
16/05/19 12:01:00 AM,C,11
16/05/19 1:01:00 AM,C,11.5
16/05/19 2:01:00 AM,C,11.5
16/05/19 3:01:00 AM,C,11
16/05/19 4:01:00 AM,C,10.5
16/05/19 5:01:00 AM,C,11
16/05/19 6:01:00 AM,C,11
16/05/19 7:01:00 AM,C,11
16/05/19 8:01:00 AM,C,14.5
16/05/19 9:01:00 AM,C,20.5
16/05/19 10:01:00 AM,C,19
16/05/19 11:01:00 AM,C,17.5
16/05/19 12:01:00 PM,C,17
16/05/19 1:01:00 PM,C,19.5
16/05/19 2:01:00 PM,C,12
16/05/19 3:01:00 PM,C,11.5
16/05/19 4:01:00 PM,C,11.5
16/05/19 5:01:00 PM,C,10.5
16/05/19 6:01:00 PM,C,11
16/05/19 7:01:00 PM,C,11
16/05/19 8:01:00 PM,C,11
16/05/19 9:01:00 PM,C,11
16/05/19 10:01:00 PM,C,11
16/05/19 11:01:00 PM,C,11
17/05/19 12:01:00 AM,C,11.5
17/05/19 1:01:00 AM,C,11
17/05/19 2:01:00 AM,C,11
17/05/19 3:01:00 AM,C,11
17/05/19 4:01:00 AM,C,11
17/05/19 5:01:00 AM,C,11
17/05/19 6:01:00 AM,C,10.5
17/05/19 7:01:00 AM,C,10.5
17/05/19 8:01:00 AM,C,10.5
17/05/19 9:01:00 AM,C,12.5
17/05/19 10:01:00 AM,C,15.5
17/05/19 11:01:00 AM,C,16
17/05/19 12:01:00 PM,C,22.5
17/05/19 1:01:00 PM,C,24.5
17/05/19 2:01:00 PM,C,15.5
17/05/19 3:01:00 PM,C,11.5
17/05/19 4:01:00 PM,C,11.5
17/05/19 5:01:00 PM,C,11
17/05/19 6:01:00 PM,C,11
17/05/19 7:01:00 PM,C,11
17/05/19 8:01:00 PM,C,11
17/05/19 9:01:00 PM,C,11
17/05/19 10:01:00 PM,C,11
17/05/19 11:01:00 PM,C,11
18/05/19 12:01:00 AM,C,11
18/05/19 1:01:00 AM,C,11
18/05/19 2:01:00 AM,C,11
18/05/19 3:01:00 AM,C,11
18/05/19 4:01:00 AM,C,11
18/05/19 5:01:00 AM,C,10.5
18/05/19 6:01:00 AM,C,10.5
18/05/19 7:01:00 AM,C,10.5
18/05/19 8:01:00 AM,C,12
18/05/19 9:01:00 AM,C,16
18/05/19 10:01:00 AM,C,21
18/05/19 11:01:00 AM,C,24.5
18/05/19 12:01:00 PM,C,31
18/05/19 1:01:00 PM,C,31.5
18/05/19 2:01:00 PM,C,26
18/05/19 3:01:00 PM,C,21.5
18/05/19 4:01:00 PM,C,12
18/05/19 5:01:00 PM,C,11.5
18/05/19 6:01:00 PM,C,11
18/05/19 7:01:00 PM,C,10.5
18/05/19 8:01:00 PM,C,10.5
18/05/19 9:01:00 PM,C,10.5
18/05/19 10:01:00 PM,C,10.5
18/05/19 11:01:00 PM,C,10.5
19/05/19 12:01:00 AM,C,10.5
19/05/19 1:01:00 AM,C,10.5
19/05/19 2:01:00 AM,C,10.5
19/05/19 3:01:00 AM,C,10.5
19/05/19 4:01:00 AM,C,10.5
19/05/19 5:01:00 AM,C,10.5
19/05/19 6:01:00 AM,C,10.5
19/05/19 7:01:00 AM,C,10.5
19/05/19 8:01:00 AM,C,11
19/05/19 9:01:00 AM,C,16.5
19/05/19 10:01:00 AM,C,24
19/05/19 11:01:00 AM,C,28.5
19/05/19 12:01:00 PM,C,30
19/05/19 1:01:00 PM,C,33
19/05/19 2:01:00 PM,C,33.5
19/05/19 3:01:00 PM,C,31
19/05/19 4:01:00 PM,C,12.5
19/05/19 5:01:00 PM,C,11.5
19/05/19 6:01:00 PM,C,11
19/05/19 7:01:00 PM,C,11
19/05/19 8:01:00 PM,C,11
19/05/19 9:01:00 PM,C,10.5
19/05/19 10:01:00 PM,C,11
19/05/19 11:01:00 PM,C,11
20/05/19 12:01:00 AM,C,11
20/05/19 1:01:00 AM,C,10.5
20/05/19 2:01:00 AM,C,10.5
20/05/19 3:01:00 AM,C,11
20/05/19 4:01:00 AM,C,11
20/05/19 5:01:00 AM,C,11
20/05/19 6:01:00 AM,C,11
20/05/19 7:01:00 AM,C,11
20/05/19 8:01:00 AM,C,11
20/05/19 9:01:00 AM,C,11
20/05/19 10:01:00 AM,C,12
20/05/19 11:01:00 AM,C,12.5
20/05/19 12:01:00 PM,C,12.5
20/05/19 1:01:00 PM,C,14
20/05/19 2:01:00 PM,C,12.5
20/05/19 3:01:00 PM,C,13
20/05/19 4:01:00 PM,C,12
20/05/19 5:01:00 PM,C,11
20/05/19 6:01:00 PM,C,11
20/05/19 7:01:00 PM,C,10.5
