1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D900000051176621
Is Mission Active?  true
Mission Start:  Thu May 09 15:10:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  646
Total Samples:  1292
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
09/05/19 3:10:00 PM,C,31.5
09/05/19 4:10:00 PM,C,30.5
09/05/19 5:10:00 PM,C,26.5
09/05/19 6:10:00 PM,C,20.5
09/05/19 7:10:00 PM,C,12
09/05/19 8:10:00 PM,C,11
09/05/19 9:10:00 PM,C,11
09/05/19 10:10:00 PM,C,10.5
09/05/19 11:10:00 PM,C,10.5
10/05/19 12:10:00 AM,C,10.5
10/05/19 1:10:00 AM,C,10.5
10/05/19 2:10:00 AM,C,10.5
10/05/19 3:10:00 AM,C,10.5
10/05/19 4:10:00 AM,C,10.5
10/05/19 5:10:00 AM,C,10.5
10/05/19 6:10:00 AM,C,10.5
10/05/19 7:10:00 AM,C,10.5
10/05/19 8:10:00 AM,C,11
10/05/19 9:10:00 AM,C,11
10/05/19 10:10:00 AM,C,11
10/05/19 11:10:00 AM,C,11.5
10/05/19 12:10:00 PM,C,27.5
10/05/19 1:10:00 PM,C,34.5
10/05/19 2:10:00 PM,C,35.5
10/05/19 3:10:00 PM,C,34
10/05/19 4:10:00 PM,C,30.5
10/05/19 5:10:00 PM,C,26.5
10/05/19 6:10:00 PM,C,21
10/05/19 7:10:00 PM,C,17
10/05/19 8:10:00 PM,C,11
10/05/19 9:10:00 PM,C,11
10/05/19 10:10:00 PM,C,11
10/05/19 11:10:00 PM,C,10
11/05/19 12:10:00 AM,C,10.5
11/05/19 1:10:00 AM,C,10.5
11/05/19 2:10:00 AM,C,10.5
11/05/19 3:10:00 AM,C,10.5
11/05/19 4:10:00 AM,C,10.5
11/05/19 5:10:00 AM,C,10.5
11/05/19 6:10:00 AM,C,10.5
11/05/19 7:10:00 AM,C,11
11/05/19 8:10:00 AM,C,11
11/05/19 9:10:00 AM,C,11
11/05/19 10:10:00 AM,C,11
11/05/19 11:10:00 AM,C,11
11/05/19 12:10:00 PM,C,12.5
11/05/19 1:10:00 PM,C,20.5
11/05/19 2:10:00 PM,C,27.5
11/05/19 3:10:00 PM,C,25
11/05/19 4:10:00 PM,C,22.5
11/05/19 5:10:00 PM,C,21.5
11/05/19 6:10:00 PM,C,18
11/05/19 7:10:00 PM,C,16.5
11/05/19 8:10:00 PM,C,13.5
11/05/19 9:10:00 PM,C,11.5
11/05/19 10:10:00 PM,C,11
11/05/19 11:10:00 PM,C,10.5
12/05/19 12:10:00 AM,C,10.5
12/05/19 1:10:00 AM,C,10.5
12/05/19 2:10:00 AM,C,10.5
12/05/19 3:10:00 AM,C,10.5
12/05/19 4:10:00 AM,C,10.5
12/05/19 5:10:00 AM,C,10.5
12/05/19 6:10:00 AM,C,10.5
12/05/19 7:10:00 AM,C,11
12/05/19 8:10:00 AM,C,10.5
12/05/19 9:10:00 AM,C,11
12/05/19 10:10:00 AM,C,10.5
12/05/19 11:10:00 AM,C,11
12/05/19 12:10:00 PM,C,10.5
12/05/19 1:10:00 PM,C,11
12/05/19 2:10:00 PM,C,15.5
12/05/19 3:10:00 PM,C,14.5
12/05/19 4:10:00 PM,C,15
12/05/19 5:10:00 PM,C,16.5
12/05/19 6:10:00 PM,C,12.5
12/05/19 7:10:00 PM,C,12
12/05/19 8:10:00 PM,C,10.5
12/05/19 9:10:00 PM,C,11
12/05/19 10:10:00 PM,C,11
12/05/19 11:10:00 PM,C,10.5
13/05/19 12:10:00 AM,C,10.5
13/05/19 1:10:00 AM,C,10.5
13/05/19 2:10:00 AM,C,10.5
13/05/19 3:10:00 AM,C,10.5
13/05/19 4:10:00 AM,C,10.5
13/05/19 5:10:00 AM,C,10.5
13/05/19 6:10:00 AM,C,10.5
13/05/19 7:10:00 AM,C,10.5
13/05/19 8:10:00 AM,C,11
13/05/19 9:10:00 AM,C,11
13/05/19 10:10:00 AM,C,10.5
13/05/19 11:10:00 AM,C,11
13/05/19 12:10:00 PM,C,11
13/05/19 1:10:00 PM,C,11
13/05/19 2:10:00 PM,C,11
13/05/19 3:10:00 PM,C,11.5
13/05/19 4:10:00 PM,C,12
13/05/19 5:10:00 PM,C,12.5
13/05/19 6:10:00 PM,C,12
13/05/19 7:10:00 PM,C,11.5
13/05/19 8:10:00 PM,C,11
13/05/19 9:10:00 PM,C,10.5
13/05/19 10:10:00 PM,C,11
13/05/19 11:10:00 PM,C,11
14/05/19 12:10:00 AM,C,11
14/05/19 1:10:00 AM,C,10.5
14/05/19 2:10:00 AM,C,10.5
14/05/19 3:10:00 AM,C,10.5
14/05/19 4:10:00 AM,C,10.5
14/05/19 5:10:00 AM,C,10.5
14/05/19 6:10:00 AM,C,10.5
14/05/19 7:10:00 AM,C,10.5
14/05/19 8:10:00 AM,C,10.5
14/05/19 9:10:00 AM,C,10.5
14/05/19 10:10:00 AM,C,11
14/05/19 11:10:00 AM,C,11
14/05/19 12:10:00 PM,C,11
14/05/19 1:10:00 PM,C,11
14/05/19 2:10:00 PM,C,11
14/05/19 3:10:00 PM,C,10.5
14/05/19 4:10:00 PM,C,10.5
14/05/19 5:10:00 PM,C,11
14/05/19 6:10:00 PM,C,11.5
14/05/19 7:10:00 PM,C,12
14/05/19 8:10:00 PM,C,11.5
14/05/19 9:10:00 PM,C,11.5
14/05/19 10:10:00 PM,C,11
14/05/19 11:10:00 PM,C,11
15/05/19 12:10:00 AM,C,11
15/05/19 1:10:00 AM,C,10.5
15/05/19 2:10:00 AM,C,10
15/05/19 3:10:00 AM,C,10.5
15/05/19 4:10:00 AM,C,10.5
15/05/19 5:10:00 AM,C,10.5
15/05/19 6:10:00 AM,C,10.5
15/05/19 7:10:00 AM,C,11.5
15/05/19 8:10:00 AM,C,13
15/05/19 9:10:00 AM,C,17.5
15/05/19 10:10:00 AM,C,25
15/05/19 11:10:00 AM,C,23.5
15/05/19 12:10:00 PM,C,21.5
15/05/19 1:10:00 PM,C,12
15/05/19 2:10:00 PM,C,12
15/05/19 3:10:00 PM,C,11
15/05/19 4:10:00 PM,C,11
15/05/19 5:10:00 PM,C,10.5
15/05/19 6:10:00 PM,C,11
15/05/19 7:10:00 PM,C,10.5
15/05/19 8:10:00 PM,C,11
15/05/19 9:10:00 PM,C,11
15/05/19 10:10:00 PM,C,11
15/05/19 11:10:00 PM,C,11
16/05/19 12:10:00 AM,C,11
16/05/19 1:10:00 AM,C,11
16/05/19 2:10:00 AM,C,11
16/05/19 3:10:00 AM,C,11
16/05/19 4:10:00 AM,C,10.5
16/05/19 5:10:00 AM,C,10.5
16/05/19 6:10:00 AM,C,10.5
16/05/19 7:10:00 AM,C,10.5
16/05/19 8:10:00 AM,C,15
16/05/19 9:10:00 AM,C,19
16/05/19 10:10:00 AM,C,21
16/05/19 11:10:00 AM,C,18
16/05/19 12:10:00 PM,C,19
16/05/19 1:10:00 PM,C,12.5
16/05/19 2:10:00 PM,C,12
16/05/19 3:10:00 PM,C,11
16/05/19 4:10:00 PM,C,11
16/05/19 5:10:00 PM,C,10.5
16/05/19 6:10:00 PM,C,11
16/05/19 7:10:00 PM,C,11
16/05/19 8:10:00 PM,C,11
16/05/19 9:10:00 PM,C,10.5
16/05/19 10:10:00 PM,C,10.5
16/05/19 11:10:00 PM,C,11
17/05/19 12:10:00 AM,C,11
17/05/19 1:10:00 AM,C,11
17/05/19 2:10:00 AM,C,11
17/05/19 3:10:00 AM,C,10.5
17/05/19 4:10:00 AM,C,10.5
17/05/19 5:10:00 AM,C,10.5
17/05/19 6:10:00 AM,C,10.5
17/05/19 7:10:00 AM,C,10.5
17/05/19 8:10:00 AM,C,11
17/05/19 9:10:00 AM,C,13
17/05/19 10:10:00 AM,C,16
17/05/19 11:10:00 AM,C,19
17/05/19 12:10:00 PM,C,24
17/05/19 1:10:00 PM,C,26.5
17/05/19 2:10:00 PM,C,13.5
17/05/19 3:10:00 PM,C,11.5
17/05/19 4:10:00 PM,C,11.5
17/05/19 5:10:00 PM,C,11
17/05/19 6:10:00 PM,C,11
17/05/19 7:10:00 PM,C,11
17/05/19 8:10:00 PM,C,11
17/05/19 9:10:00 PM,C,10.5
17/05/19 10:10:00 PM,C,10.5
17/05/19 11:10:00 PM,C,10.5
18/05/19 12:10:00 AM,C,10.5
18/05/19 1:10:00 AM,C,10.5
18/05/19 2:10:00 AM,C,10.5
18/05/19 3:10:00 AM,C,10.5
18/05/19 4:10:00 AM,C,10.5
18/05/19 5:10:00 AM,C,10.5
18/05/19 6:10:00 AM,C,10.5
18/05/19 7:10:00 AM,C,10.5
18/05/19 8:10:00 AM,C,12
18/05/19 9:10:00 AM,C,16
18/05/19 10:10:00 AM,C,20.5
18/05/19 11:10:00 AM,C,29
18/05/19 12:10:00 PM,C,33
18/05/19 1:10:00 PM,C,33.5
18/05/19 2:10:00 PM,C,28.5
18/05/19 3:10:00 PM,C,13
18/05/19 4:10:00 PM,C,11.5
18/05/19 5:10:00 PM,C,11.5
18/05/19 6:10:00 PM,C,11
18/05/19 7:10:00 PM,C,10.5
18/05/19 8:10:00 PM,C,10.5
18/05/19 9:10:00 PM,C,10.5
18/05/19 10:10:00 PM,C,10.5
18/05/19 11:10:00 PM,C,10.5
19/05/19 12:10:00 AM,C,10.5
19/05/19 1:10:00 AM,C,10.5
19/05/19 2:10:00 AM,C,10.5
19/05/19 3:10:00 AM,C,10.5
19/05/19 4:10:00 AM,C,10.5
19/05/19 5:10:00 AM,C,10.5
19/05/19 6:10:00 AM,C,10.5
19/05/19 7:10:00 AM,C,10.5
19/05/19 8:10:00 AM,C,10.5
19/05/19 9:10:00 AM,C,19
19/05/19 10:10:00 AM,C,23
19/05/19 11:10:00 AM,C,31.5
19/05/19 12:10:00 PM,C,32
19/05/19 1:10:00 PM,C,35.5
19/05/19 2:10:00 PM,C,35.5
19/05/19 3:10:00 PM,C,32
19/05/19 4:10:00 PM,C,11
19/05/19 5:10:00 PM,C,11.5
19/05/19 6:10:00 PM,C,11
19/05/19 7:10:00 PM,C,11
19/05/19 8:10:00 PM,C,10.5
19/05/19 9:10:00 PM,C,10.5
19/05/19 10:10:00 PM,C,10.5
19/05/19 11:10:00 PM,C,11
20/05/19 12:10:00 AM,C,10.5
20/05/19 1:10:00 AM,C,10.5
20/05/19 2:10:00 AM,C,10.5
20/05/19 3:10:00 AM,C,11
20/05/19 4:10:00 AM,C,11
20/05/19 5:10:00 AM,C,11
20/05/19 6:10:00 AM,C,11
20/05/19 7:10:00 AM,C,11
20/05/19 8:10:00 AM,C,11
20/05/19 9:10:00 AM,C,11
20/05/19 10:10:00 AM,C,12
20/05/19 11:10:00 AM,C,13
20/05/19 12:10:00 PM,C,12
20/05/19 1:10:00 PM,C,14
20/05/19 2:10:00 PM,C,12.5
20/05/19 3:10:00 PM,C,13
20/05/19 4:10:00 PM,C,11.5
20/05/19 5:10:00 PM,C,10.5
20/05/19 6:10:00 PM,C,10.5
20/05/19 7:10:00 PM,C,10.5
20/05/19 8:10:00 PM,C,10.5
20/05/19 9:10:00 PM,C,10.5
20/05/19 10:10:00 PM,C,10.5
20/05/19 11:10:00 PM,C,10.5
21/05/19 12:10:00 AM,C,10.5
21/05/19 1:10:00 AM,C,10.5
21/05/19 2:10:00 AM,C,10.5
21/05/19 3:10:00 AM,C,10.5
21/05/19 4:10:00 AM,C,10.5
21/05/19 5:10:00 AM,C,10.5
21/05/19 6:10:00 AM,C,10.5
21/05/19 7:10:00 AM,C,10
21/05/19 8:10:00 AM,C,10.5
21/05/19 9:10:00 AM,C,10.5
21/05/19 10:10:00 AM,C,16
21/05/19 11:10:00 AM,C,15.5
21/05/19 12:10:00 PM,C,19
21/05/19 1:10:00 PM,C,29
21/05/19 2:10:00 PM,C,28
