1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: A100000050FB0C21
Is Mission Active?  true
Mission Start:  Thu Aug 15 09:05:00 EDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1565
Total Samples:  3219
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
15/08/19 9:05:00 AM,C,23
15/08/19 10:05:00 AM,C,27
15/08/19 11:05:00 AM,C,29.5
15/08/19 12:05:00 PM,C,39.5
15/08/19 1:05:00 PM,C,41
15/08/19 2:05:00 PM,C,40.5
15/08/19 3:05:00 PM,C,37
15/08/19 4:05:00 PM,C,16
15/08/19 5:05:00 PM,C,13
15/08/19 6:05:00 PM,C,13
15/08/19 7:05:00 PM,C,13
15/08/19 8:05:00 PM,C,12.5
15/08/19 9:05:00 PM,C,12.5
15/08/19 10:05:00 PM,C,13
15/08/19 11:05:00 PM,C,13
16/08/19 12:05:00 AM,C,13
16/08/19 1:05:00 AM,C,13
16/08/19 2:05:00 AM,C,13
16/08/19 3:05:00 AM,C,13
16/08/19 4:05:00 AM,C,13
16/08/19 5:05:00 AM,C,13
16/08/19 6:05:00 AM,C,13
16/08/19 7:05:00 AM,C,13
16/08/19 8:05:00 AM,C,14
16/08/19 9:05:00 AM,C,21.5
16/08/19 10:05:00 AM,C,24.5
16/08/19 11:05:00 AM,C,32
16/08/19 12:05:00 PM,C,39
16/08/19 1:05:00 PM,C,42.5
16/08/19 2:05:00 PM,C,36
16/08/19 3:05:00 PM,C,28.5
16/08/19 4:05:00 PM,C,22
16/08/19 5:05:00 PM,C,14
16/08/19 6:05:00 PM,C,13
16/08/19 7:05:00 PM,C,12.5
16/08/19 8:05:00 PM,C,12.5
16/08/19 9:05:00 PM,C,13
16/08/19 10:05:00 PM,C,13
16/08/19 11:05:00 PM,C,13
17/08/19 12:05:00 AM,C,13
17/08/19 1:05:00 AM,C,13
17/08/19 2:05:00 AM,C,13
17/08/19 3:05:00 AM,C,13
17/08/19 4:05:00 AM,C,13
17/08/19 5:05:00 AM,C,13
17/08/19 6:05:00 AM,C,13.5
17/08/19 7:05:00 AM,C,13.5
17/08/19 8:05:00 AM,C,13.5
17/08/19 9:05:00 AM,C,16
17/08/19 10:05:00 AM,C,19
17/08/19 11:05:00 AM,C,21
17/08/19 12:05:00 PM,C,22
17/08/19 1:05:00 PM,C,24.5
17/08/19 2:05:00 PM,C,26.5
17/08/19 3:05:00 PM,C,30.5
17/08/19 4:05:00 PM,C,22
17/08/19 5:05:00 PM,C,14.5
17/08/19 6:05:00 PM,C,14.5
17/08/19 7:05:00 PM,C,14
17/08/19 8:05:00 PM,C,13
17/08/19 9:05:00 PM,C,13
17/08/19 10:05:00 PM,C,13
17/08/19 11:05:00 PM,C,13
18/08/19 12:05:00 AM,C,13.5
18/08/19 1:05:00 AM,C,11.5
18/08/19 2:05:00 AM,C,12
18/08/19 3:05:00 AM,C,13.5
18/08/19 4:05:00 AM,C,13.5
18/08/19 5:05:00 AM,C,13.5
18/08/19 6:05:00 AM,C,13.5
18/08/19 7:05:00 AM,C,13.5
18/08/19 8:05:00 AM,C,13.5
18/08/19 9:05:00 AM,C,13.5
18/08/19 10:05:00 AM,C,22.5
18/08/19 11:05:00 AM,C,26.5
18/08/19 12:05:00 PM,C,27.5
18/08/19 1:05:00 PM,C,39.5
18/08/19 2:05:00 PM,C,37.5
18/08/19 3:05:00 PM,C,36.5
18/08/19 4:05:00 PM,C,26.5
18/08/19 5:05:00 PM,C,14
18/08/19 6:05:00 PM,C,14
18/08/19 7:05:00 PM,C,14
18/08/19 8:05:00 PM,C,14
18/08/19 9:05:00 PM,C,13.5
18/08/19 10:05:00 PM,C,13.5
18/08/19 11:05:00 PM,C,13.5
19/08/19 12:05:00 AM,C,13.5
19/08/19 1:05:00 AM,C,12
19/08/19 2:05:00 AM,C,11.5
19/08/19 3:05:00 AM,C,11.5
19/08/19 4:05:00 AM,C,11.5
19/08/19 5:05:00 AM,C,13.5
19/08/19 6:05:00 AM,C,13.5
19/08/19 7:05:00 AM,C,13
19/08/19 8:05:00 AM,C,13.5
19/08/19 9:05:00 AM,C,13.5
19/08/19 10:05:00 AM,C,15.5
19/08/19 11:05:00 AM,C,25
19/08/19 12:05:00 PM,C,24
19/08/19 1:05:00 PM,C,28
19/08/19 2:05:00 PM,C,34
19/08/19 3:05:00 PM,C,36
19/08/19 4:05:00 PM,C,24.5
19/08/19 5:05:00 PM,C,17
19/08/19 6:05:00 PM,C,13.5
19/08/19 7:05:00 PM,C,13.5
19/08/19 8:05:00 PM,C,13.5
19/08/19 9:05:00 PM,C,13
19/08/19 10:05:00 PM,C,12.5
19/08/19 11:05:00 PM,C,13
20/08/19 12:05:00 AM,C,13
20/08/19 1:05:00 AM,C,11
20/08/19 2:05:00 AM,C,11
20/08/19 3:05:00 AM,C,11
20/08/19 4:05:00 AM,C,10.5
20/08/19 5:05:00 AM,C,12
20/08/19 6:05:00 AM,C,11.5
20/08/19 7:05:00 AM,C,13
20/08/19 8:05:00 AM,C,13
20/08/19 9:05:00 AM,C,13.5
20/08/19 10:05:00 AM,C,13.5
20/08/19 11:05:00 AM,C,18.5
20/08/19 12:05:00 PM,C,24.5
20/08/19 1:05:00 PM,C,24
20/08/19 2:05:00 PM,C,25.5
20/08/19 3:05:00 PM,C,22.5
20/08/19 4:05:00 PM,C,20
20/08/19 5:05:00 PM,C,20
20/08/19 6:05:00 PM,C,14
20/08/19 7:05:00 PM,C,14
20/08/19 8:05:00 PM,C,13.5
20/08/19 9:05:00 PM,C,14
20/08/19 10:05:00 PM,C,12.5
20/08/19 11:05:00 PM,C,12.5
21/08/19 12:05:00 AM,C,13
21/08/19 1:05:00 AM,C,13.5
21/08/19 2:05:00 AM,C,14
21/08/19 3:05:00 AM,C,14
21/08/19 4:05:00 AM,C,15.5
21/08/19 5:05:00 AM,C,15.5
21/08/19 6:05:00 AM,C,15.5
