1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D900000051086821
Is Mission Active?  true
Mission Start:  Wed Aug 14 13:05:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1586
Total Samples:  4560
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
14/08/19 1:05:00 PM,C,30
14/08/19 2:05:00 PM,C,31
14/08/19 3:05:00 PM,C,30.5
14/08/19 4:05:00 PM,C,27.5
14/08/19 5:05:00 PM,C,25
14/08/19 6:05:00 PM,C,24
14/08/19 7:05:00 PM,C,24
14/08/19 8:05:00 PM,C,22.5
14/08/19 9:05:00 PM,C,20.5
14/08/19 10:05:00 PM,C,19.5
14/08/19 11:05:00 PM,C,18.5
15/08/19 12:05:00 AM,C,17.5
15/08/19 1:05:00 AM,C,16.5
15/08/19 2:05:00 AM,C,15.5
15/08/19 3:05:00 AM,C,14.5
15/08/19 4:05:00 AM,C,13.5
15/08/19 5:05:00 AM,C,13
15/08/19 6:05:00 AM,C,12.5
15/08/19 7:05:00 AM,C,12.5
15/08/19 8:05:00 AM,C,18.5
15/08/19 9:05:00 AM,C,17.5
15/08/19 10:05:00 AM,C,20.5
15/08/19 11:05:00 AM,C,28
15/08/19 12:05:00 PM,C,34
15/08/19 1:05:00 PM,C,34.5
15/08/19 2:05:00 PM,C,35.5
15/08/19 3:05:00 PM,C,33
15/08/19 4:05:00 PM,C,18.5
15/08/19 5:05:00 PM,C,14
15/08/19 6:05:00 PM,C,13.5
15/08/19 7:05:00 PM,C,13.5
15/08/19 8:05:00 PM,C,13
15/08/19 9:05:00 PM,C,13
15/08/19 10:05:00 PM,C,13
15/08/19 11:05:00 PM,C,13
16/08/19 12:05:00 AM,C,13
16/08/19 1:05:00 AM,C,13
16/08/19 2:05:00 AM,C,13
16/08/19 3:05:00 AM,C,13
16/08/19 4:05:00 AM,C,13
16/08/19 5:05:00 AM,C,13
16/08/19 6:05:00 AM,C,13
16/08/19 7:05:00 AM,C,13
16/08/19 8:05:00 AM,C,14
16/08/19 9:05:00 AM,C,20
16/08/19 10:05:00 AM,C,23.5
16/08/19 11:05:00 AM,C,27.5
16/08/19 12:05:00 PM,C,30
16/08/19 1:05:00 PM,C,33
16/08/19 2:05:00 PM,C,30
16/08/19 3:05:00 PM,C,26
16/08/19 4:05:00 PM,C,26.5
16/08/19 5:05:00 PM,C,15
16/08/19 6:05:00 PM,C,14
16/08/19 7:05:00 PM,C,13
16/08/19 8:05:00 PM,C,12.5
16/08/19 9:05:00 PM,C,13
16/08/19 10:05:00 PM,C,13.5
16/08/19 11:05:00 PM,C,13
17/08/19 12:05:00 AM,C,13
17/08/19 1:05:00 AM,C,13
17/08/19 2:05:00 AM,C,13
17/08/19 3:05:00 AM,C,13
17/08/19 4:05:00 AM,C,13
17/08/19 5:05:00 AM,C,13
17/08/19 6:05:00 AM,C,13.5
17/08/19 7:05:00 AM,C,13
