1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D900000051176621
Is Mission Active?  true
Mission Start:  Wed Jun 05 16:05:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1678
Total Samples:  2970
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 4:05:00 PM,C,15.5
05/06/19 5:05:00 PM,C,18
05/06/19 6:05:00 PM,C,11.5
05/06/19 7:05:00 PM,C,11
05/06/19 8:05:00 PM,C,10.5
05/06/19 9:05:00 PM,C,10.5
05/06/19 10:05:00 PM,C,10.5
05/06/19 11:05:00 PM,C,11
06/06/19 12:05:00 AM,C,11
06/06/19 1:05:00 AM,C,10.5
06/06/19 2:05:00 AM,C,10.5
06/06/19 3:05:00 AM,C,11
06/06/19 4:05:00 AM,C,11
06/06/19 5:05:00 AM,C,11
06/06/19 6:05:00 AM,C,11
06/06/19 7:05:00 AM,C,11
06/06/19 8:05:00 AM,C,11
06/06/19 9:05:00 AM,C,12.5
06/06/19 10:05:00 AM,C,14.5
06/06/19 11:05:00 AM,C,27
06/06/19 12:05:00 PM,C,25.5
06/06/19 1:05:00 PM,C,24
06/06/19 2:05:00 PM,C,17.5
06/06/19 3:05:00 PM,C,15
06/06/19 4:05:00 PM,C,16.5
06/06/19 5:05:00 PM,C,15
06/06/19 6:05:00 PM,C,14
06/06/19 7:05:00 PM,C,11.5
06/06/19 8:05:00 PM,C,11
06/06/19 9:05:00 PM,C,11
06/06/19 10:05:00 PM,C,10.5
06/06/19 11:05:00 PM,C,10.5
07/06/19 12:05:00 AM,C,11
07/06/19 1:05:00 AM,C,10.5
07/06/19 2:05:00 AM,C,11
07/06/19 3:05:00 AM,C,10.5
07/06/19 4:05:00 AM,C,10.5
07/06/19 5:05:00 AM,C,11
07/06/19 6:05:00 AM,C,11
07/06/19 7:05:00 AM,C,11
07/06/19 8:05:00 AM,C,11
07/06/19 9:05:00 AM,C,11.5
07/06/19 10:05:00 AM,C,14.5
07/06/19 11:05:00 AM,C,18.5
07/06/19 12:05:00 PM,C,19
07/06/19 1:05:00 PM,C,18.5
07/06/19 2:05:00 PM,C,21
07/06/19 3:05:00 PM,C,23
07/06/19 4:05:00 PM,C,20.5
07/06/19 5:05:00 PM,C,17
07/06/19 6:05:00 PM,C,14
07/06/19 7:05:00 PM,C,12
07/06/19 8:05:00 PM,C,11.5
07/06/19 9:05:00 PM,C,10.5
07/06/19 10:05:00 PM,C,11
07/06/19 11:05:00 PM,C,10.5
08/06/19 12:05:00 AM,C,10.5
08/06/19 1:05:00 AM,C,10.5
08/06/19 2:05:00 AM,C,11
08/06/19 3:05:00 AM,C,10.5
08/06/19 4:05:00 AM,C,10.5
08/06/19 5:05:00 AM,C,11
08/06/19 6:05:00 AM,C,11
08/06/19 7:05:00 AM,C,11
08/06/19 8:05:00 AM,C,11.5
08/06/19 9:05:00 AM,C,11.5
08/06/19 10:05:00 AM,C,12.5
08/06/19 11:05:00 AM,C,21
08/06/19 12:05:00 PM,C,20.5
08/06/19 1:05:00 PM,C,27.5
08/06/19 2:05:00 PM,C,28.5
08/06/19 3:05:00 PM,C,26
08/06/19 4:05:00 PM,C,24
08/06/19 5:05:00 PM,C,21.5
08/06/19 6:05:00 PM,C,17.5
08/06/19 7:05:00 PM,C,14.5
08/06/19 8:05:00 PM,C,12
08/06/19 9:05:00 PM,C,12
08/06/19 10:05:00 PM,C,12
08/06/19 11:05:00 PM,C,11.5
09/06/19 12:05:00 AM,C,11
09/06/19 1:05:00 AM,C,11
09/06/19 2:05:00 AM,C,11
09/06/19 3:05:00 AM,C,11
09/06/19 4:05:00 AM,C,10.5
09/06/19 5:05:00 AM,C,8.5
09/06/19 6:05:00 AM,C,11
09/06/19 7:05:00 AM,C,15
09/06/19 8:05:00 AM,C,11.5
09/06/19 9:05:00 AM,C,12
09/06/19 10:05:00 AM,C,13.5
09/06/19 11:05:00 AM,C,15
09/06/19 12:05:00 PM,C,19
09/06/19 1:05:00 PM,C,23
09/06/19 2:05:00 PM,C,22
09/06/19 3:05:00 PM,C,20
09/06/19 4:05:00 PM,C,21.5
09/06/19 5:05:00 PM,C,23.5
09/06/19 6:05:00 PM,C,20
09/06/19 7:05:00 PM,C,17.5
09/06/19 8:05:00 PM,C,14
09/06/19 9:05:00 PM,C,12
09/06/19 10:05:00 PM,C,12
09/06/19 11:05:00 PM,C,11.5
10/06/19 12:05:00 AM,C,11
10/06/19 1:05:00 AM,C,11
10/06/19 2:05:00 AM,C,11
10/06/19 3:05:00 AM,C,11
10/06/19 4:05:00 AM,C,11
10/06/19 5:05:00 AM,C,9.5
10/06/19 6:05:00 AM,C,10.5
10/06/19 7:05:00 AM,C,12.5
10/06/19 8:05:00 AM,C,13
10/06/19 9:05:00 AM,C,14
10/06/19 10:05:00 AM,C,16.5
10/06/19 11:05:00 AM,C,21
10/06/19 12:05:00 PM,C,25
10/06/19 1:05:00 PM,C,24
10/06/19 2:05:00 PM,C,26.5
10/06/19 3:05:00 PM,C,25.5
10/06/19 4:05:00 PM,C,29
10/06/19 5:05:00 PM,C,26
10/06/19 6:05:00 PM,C,22
10/06/19 7:05:00 PM,C,17.5
10/06/19 8:05:00 PM,C,14.5
10/06/19 9:05:00 PM,C,13
10/06/19 10:05:00 PM,C,12
10/06/19 11:05:00 PM,C,12
11/06/19 12:05:00 AM,C,11.5
11/06/19 1:05:00 AM,C,11.5
11/06/19 2:05:00 AM,C,11
11/06/19 3:05:00 AM,C,11
11/06/19 4:05:00 AM,C,11
11/06/19 5:05:00 AM,C,10.5
11/06/19 6:05:00 AM,C,13.5
11/06/19 7:05:00 AM,C,17.5
11/06/19 8:05:00 AM,C,19
11/06/19 9:05:00 AM,C,22
11/06/19 10:05:00 AM,C,24.5
11/06/19 11:05:00 AM,C,24
11/06/19 12:05:00 PM,C,18.5
11/06/19 1:05:00 PM,C,20.5
11/06/19 2:05:00 PM,C,21
11/06/19 3:05:00 PM,C,26.5
11/06/19 4:05:00 PM,C,25.5
11/06/19 5:05:00 PM,C,24
11/06/19 6:05:00 PM,C,24
11/06/19 7:05:00 PM,C,21.5
11/06/19 8:05:00 PM,C,16
11/06/19 9:05:00 PM,C,14.5
11/06/19 10:05:00 PM,C,12.5
11/06/19 11:05:00 PM,C,12
12/06/19 12:05:00 AM,C,12
12/06/19 1:05:00 AM,C,12
12/06/19 2:05:00 AM,C,11.5
12/06/19 3:05:00 AM,C,12
12/06/19 4:05:00 AM,C,11.5
12/06/19 5:05:00 AM,C,11.5
12/06/19 6:05:00 AM,C,13
12/06/19 7:05:00 AM,C,18
12/06/19 8:05:00 AM,C,22
12/06/19 9:05:00 AM,C,30
12/06/19 10:05:00 AM,C,30.5
12/06/19 11:05:00 AM,C,29
12/06/19 12:05:00 PM,C,32.5
12/06/19 1:05:00 PM,C,14.5
12/06/19 2:05:00 PM,C,12.5
12/06/19 3:05:00 PM,C,13
12/06/19 4:05:00 PM,C,12.5
12/06/19 5:05:00 PM,C,14.5
12/06/19 6:05:00 PM,C,15.5
12/06/19 7:05:00 PM,C,16.5
12/06/19 8:05:00 PM,C,15
12/06/19 9:05:00 PM,C,14
12/06/19 10:05:00 PM,C,12.5
12/06/19 11:05:00 PM,C,12.5
13/06/19 12:05:00 AM,C,12.5
13/06/19 1:05:00 AM,C,12.5
13/06/19 2:05:00 AM,C,12.5
13/06/19 3:05:00 AM,C,13
13/06/19 4:05:00 AM,C,12.5
13/06/19 5:05:00 AM,C,12
13/06/19 6:05:00 AM,C,13.5
13/06/19 7:05:00 AM,C,17
13/06/19 8:05:00 AM,C,19
13/06/19 9:05:00 AM,C,25.5
13/06/19 10:05:00 AM,C,31.5
13/06/19 11:05:00 AM,C,31.5
13/06/19 12:05:00 PM,C,22
13/06/19 1:05:00 PM,C,19
13/06/19 2:05:00 PM,C,13
13/06/19 3:05:00 PM,C,12.5
13/06/19 4:05:00 PM,C,13
13/06/19 5:05:00 PM,C,12.5
13/06/19 6:05:00 PM,C,12
13/06/19 7:05:00 PM,C,12.5
13/06/19 8:05:00 PM,C,12.5
13/06/19 9:05:00 PM,C,12.5
13/06/19 10:05:00 PM,C,12.5
13/06/19 11:05:00 PM,C,12.5
14/06/19 12:05:00 AM,C,12.5
14/06/19 1:05:00 AM,C,12.5
14/06/19 2:05:00 AM,C,12
14/06/19 3:05:00 AM,C,12
14/06/19 4:05:00 AM,C,12
14/06/19 5:05:00 AM,C,12
14/06/19 6:05:00 AM,C,12
14/06/19 7:05:00 AM,C,13
14/06/19 8:05:00 AM,C,13.5
14/06/19 9:05:00 AM,C,15.5
14/06/19 10:05:00 AM,C,17.5
14/06/19 11:05:00 AM,C,23.5
14/06/19 12:05:00 PM,C,29
14/06/19 1:05:00 PM,C,22.5
14/06/19 2:05:00 PM,C,20
14/06/19 3:05:00 PM,C,13.5
14/06/19 4:05:00 PM,C,13
14/06/19 5:05:00 PM,C,12.5
14/06/19 6:05:00 PM,C,12.5
14/06/19 7:05:00 PM,C,12
14/06/19 8:05:00 PM,C,12
14/06/19 9:05:00 PM,C,12
14/06/19 10:05:00 PM,C,12.5
14/06/19 11:05:00 PM,C,13
15/06/19 12:05:00 AM,C,13
15/06/19 1:05:00 AM,C,12.5
15/06/19 2:05:00 AM,C,12.5
15/06/19 3:05:00 AM,C,12.5
15/06/19 4:05:00 AM,C,12.5
15/06/19 5:05:00 AM,C,12.5
15/06/19 6:05:00 AM,C,12.5
15/06/19 7:05:00 AM,C,15.5
15/06/19 8:05:00 AM,C,20.5
15/06/19 9:05:00 AM,C,23.5
15/06/19 10:05:00 AM,C,31.5
15/06/19 11:05:00 AM,C,32.5
15/06/19 12:05:00 PM,C,35
15/06/19 1:05:00 PM,C,37
