1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7A000000510D0E21
Is Mission Active?  true
Mission Start:  Thu Jun 04 13:02:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1822
Total Samples:  11847
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
04/06/20 1:02:00 PM,C,21.5
04/06/20 2:02:00 PM,C,25
04/06/20 3:02:00 PM,C,13.5
04/06/20 4:02:00 PM,C,11
04/06/20 5:02:00 PM,C,11.5
04/06/20 6:02:00 PM,C,11
04/06/20 7:02:00 PM,C,11
04/06/20 8:02:00 PM,C,11
04/06/20 9:02:00 PM,C,11.5
04/06/20 10:02:00 PM,C,11
04/06/20 11:02:00 PM,C,11
05/06/20 12:02:00 AM,C,11
05/06/20 1:02:00 AM,C,11
05/06/20 2:02:00 AM,C,11.5
05/06/20 3:02:00 AM,C,11
05/06/20 4:02:00 AM,C,11
05/06/20 5:02:00 AM,C,11
05/06/20 6:02:00 AM,C,11
05/06/20 7:02:00 AM,C,11
05/06/20 8:02:00 AM,C,13.5
05/06/20 9:02:00 AM,C,16
05/06/20 10:02:00 AM,C,18.5
05/06/20 11:02:00 AM,C,21.5
05/06/20 12:02:00 PM,C,25
05/06/20 1:02:00 PM,C,31
05/06/20 2:02:00 PM,C,31
05/06/20 3:02:00 PM,C,26
05/06/20 4:02:00 PM,C,11.5
05/06/20 5:02:00 PM,C,12
05/06/20 6:02:00 PM,C,11.5
05/06/20 7:02:00 PM,C,11
05/06/20 8:02:00 PM,C,11
05/06/20 9:02:00 PM,C,11
05/06/20 10:02:00 PM,C,10.5
05/06/20 11:02:00 PM,C,10.5
06/06/20 12:02:00 AM,C,11
06/06/20 1:02:00 AM,C,11
06/06/20 2:02:00 AM,C,11
06/06/20 3:02:00 AM,C,11
06/06/20 4:02:00 AM,C,11
06/06/20 5:02:00 AM,C,11
06/06/20 6:02:00 AM,C,11
06/06/20 7:02:00 AM,C,11
06/06/20 8:02:00 AM,C,14.5
06/06/20 9:02:00 AM,C,17
06/06/20 10:02:00 AM,C,19
06/06/20 11:02:00 AM,C,16.5
06/06/20 12:02:00 PM,C,23
06/06/20 1:02:00 PM,C,28
06/06/20 2:02:00 PM,C,30.5
06/06/20 3:02:00 PM,C,21.5
06/06/20 4:02:00 PM,C,21.5
06/06/20 5:02:00 PM,C,12
06/06/20 6:02:00 PM,C,11.5
06/06/20 7:02:00 PM,C,11.5
06/06/20 8:02:00 PM,C,11
06/06/20 9:02:00 PM,C,11
06/06/20 10:02:00 PM,C,10.5
06/06/20 11:02:00 PM,C,10.5
07/06/20 12:02:00 AM,C,11
07/06/20 1:02:00 AM,C,11
07/06/20 2:02:00 AM,C,11
07/06/20 3:02:00 AM,C,11
07/06/20 4:02:00 AM,C,11
07/06/20 5:02:00 AM,C,11
07/06/20 6:02:00 AM,C,10.5
07/06/20 7:02:00 AM,C,11
07/06/20 8:02:00 AM,C,11
07/06/20 9:02:00 AM,C,17
07/06/20 10:02:00 AM,C,24.5
07/06/20 11:02:00 AM,C,25.5
07/06/20 12:02:00 PM,C,28.5
07/06/20 1:02:00 PM,C,32
07/06/20 2:02:00 PM,C,31
07/06/20 3:02:00 PM,C,29.5
07/06/20 4:02:00 PM,C,28.5
07/06/20 5:02:00 PM,C,19.5
07/06/20 6:02:00 PM,C,11.5
07/06/20 7:02:00 PM,C,11.5
07/06/20 8:02:00 PM,C,11
07/06/20 9:02:00 PM,C,11
07/06/20 10:02:00 PM,C,11
07/06/20 11:02:00 PM,C,11
08/06/20 12:02:00 AM,C,10.5
08/06/20 1:02:00 AM,C,10.5
08/06/20 2:02:00 AM,C,11
08/06/20 3:02:00 AM,C,11
08/06/20 4:02:00 AM,C,11
08/06/20 5:02:00 AM,C,11
08/06/20 6:02:00 AM,C,11
08/06/20 7:02:00 AM,C,11
08/06/20 8:02:00 AM,C,11
08/06/20 9:02:00 AM,C,12
08/06/20 10:02:00 AM,C,18.5
08/06/20 11:02:00 AM,C,21
08/06/20 12:02:00 PM,C,20.5
08/06/20 1:02:00 PM,C,23.5
08/06/20 2:02:00 PM,C,23.5
08/06/20 3:02:00 PM,C,22.5
08/06/20 4:02:00 PM,C,22
08/06/20 5:02:00 PM,C,19.5
08/06/20 6:02:00 PM,C,11.5
08/06/20 7:02:00 PM,C,11.5
08/06/20 8:02:00 PM,C,11.5
08/06/20 9:02:00 PM,C,11
08/06/20 10:02:00 PM,C,11
08/06/20 11:02:00 PM,C,11
09/06/20 12:02:00 AM,C,10.5
09/06/20 1:02:00 AM,C,10.5
09/06/20 2:02:00 AM,C,11
09/06/20 3:02:00 AM,C,11
09/06/20 4:02:00 AM,C,11
09/06/20 5:02:00 AM,C,11.5
09/06/20 6:02:00 AM,C,11.5
09/06/20 7:02:00 AM,C,11.5
09/06/20 8:02:00 AM,C,11.5
09/06/20 9:02:00 AM,C,11
09/06/20 10:02:00 AM,C,11.5
09/06/20 11:02:00 AM,C,12.5
09/06/20 12:02:00 PM,C,13.5
09/06/20 1:02:00 PM,C,14
09/06/20 2:02:00 PM,C,15.5
09/06/20 3:02:00 PM,C,16.5
09/06/20 4:02:00 PM,C,15
09/06/20 5:02:00 PM,C,15.5
09/06/20 6:02:00 PM,C,14.5
