1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7A000000510D0E21
Is Mission Active?  true
Mission Start:  Sun Oct 20 10:01:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2264
Total Samples:  6820
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
20/10/19 10:01:00 AM,C,9.5
20/10/19 11:01:00 AM,C,10
20/10/19 12:01:00 PM,C,10.5
20/10/19 1:01:00 PM,C,10.5
20/10/19 2:01:00 PM,C,10.5
20/10/19 3:01:00 PM,C,10.5
20/10/19 4:01:00 PM,C,10.5
20/10/19 5:01:00 PM,C,10.5
20/10/19 6:01:00 PM,C,10.5
20/10/19 7:01:00 PM,C,10.5
20/10/19 8:01:00 PM,C,10.5
20/10/19 9:01:00 PM,C,10.5
20/10/19 10:01:00 PM,C,10.5
20/10/19 11:01:00 PM,C,10.5
21/10/19 12:01:00 AM,C,10.5
21/10/19 1:01:00 AM,C,10.5
21/10/19 2:01:00 AM,C,10.5
21/10/19 3:01:00 AM,C,9
21/10/19 4:01:00 AM,C,9
21/10/19 5:01:00 AM,C,9
21/10/19 6:01:00 AM,C,9
21/10/19 7:01:00 AM,C,9
21/10/19 8:01:00 AM,C,9.5
21/10/19 9:01:00 AM,C,10
21/10/19 10:01:00 AM,C,10
21/10/19 11:01:00 AM,C,10
21/10/19 12:01:00 PM,C,10.5
21/10/19 1:01:00 PM,C,10.5
21/10/19 2:01:00 PM,C,10.5
21/10/19 3:01:00 PM,C,10.5
21/10/19 4:01:00 PM,C,10.5
21/10/19 5:01:00 PM,C,10.5
21/10/19 6:01:00 PM,C,10.5
21/10/19 7:01:00 PM,C,10.5
21/10/19 8:01:00 PM,C,10.5
21/10/19 9:01:00 PM,C,10.5
21/10/19 10:01:00 PM,C,10.5
21/10/19 11:01:00 PM,C,10.5
22/10/19 12:01:00 AM,C,10.5
22/10/19 1:01:00 AM,C,10.5
22/10/19 2:01:00 AM,C,10.5
22/10/19 3:01:00 AM,C,10.5
22/10/19 4:01:00 AM,C,10
22/10/19 5:01:00 AM,C,10
22/10/19 6:01:00 AM,C,10
22/10/19 7:01:00 AM,C,10
22/10/19 8:01:00 AM,C,10
22/10/19 9:01:00 AM,C,9
22/10/19 10:01:00 AM,C,9.5
22/10/19 11:01:00 AM,C,8
22/10/19 12:01:00 PM,C,12.5
22/10/19 1:01:00 PM,C,11
22/10/19 2:01:00 PM,C,11
22/10/19 3:01:00 PM,C,11
22/10/19 4:01:00 PM,C,10.5
22/10/19 5:01:00 PM,C,10.5
22/10/19 6:01:00 PM,C,11
22/10/19 7:01:00 PM,C,11
22/10/19 8:01:00 PM,C,10.5
22/10/19 9:01:00 PM,C,10.5
22/10/19 10:01:00 PM,C,10.5
22/10/19 11:01:00 PM,C,10.5
23/10/19 12:01:00 AM,C,10.5
23/10/19 1:01:00 AM,C,10.5
23/10/19 2:01:00 AM,C,10.5
23/10/19 3:01:00 AM,C,10.5
23/10/19 4:01:00 AM,C,9
23/10/19 5:01:00 AM,C,7
23/10/19 6:01:00 AM,C,6.5
23/10/19 7:01:00 AM,C,6
23/10/19 8:01:00 AM,C,5.5
23/10/19 9:01:00 AM,C,5.5
23/10/19 10:01:00 AM,C,5.5
23/10/19 11:01:00 AM,C,6.5
23/10/19 12:01:00 PM,C,9
23/10/19 1:01:00 PM,C,11
23/10/19 2:01:00 PM,C,13.5
23/10/19 3:01:00 PM,C,11
23/10/19 4:01:00 PM,C,11
23/10/19 5:01:00 PM,C,10.5
23/10/19 6:01:00 PM,C,10.5
23/10/19 7:01:00 PM,C,10.5
23/10/19 8:01:00 PM,C,10.5
23/10/19 9:01:00 PM,C,10.5
23/10/19 10:01:00 PM,C,10
23/10/19 11:01:00 PM,C,9.5
24/10/19 12:01:00 AM,C,8.5
24/10/19 1:01:00 AM,C,10.5
24/10/19 2:01:00 AM,C,9.5
24/10/19 3:01:00 AM,C,9
24/10/19 4:01:00 AM,C,10
24/10/19 5:01:00 AM,C,10.5
24/10/19 6:01:00 AM,C,9.5
24/10/19 7:01:00 AM,C,9.5
24/10/19 8:01:00 AM,C,9
24/10/19 9:01:00 AM,C,9
24/10/19 10:01:00 AM,C,9
24/10/19 11:01:00 AM,C,9.5
24/10/19 12:01:00 PM,C,10
24/10/19 1:01:00 PM,C,11
24/10/19 2:01:00 PM,C,12
24/10/19 3:01:00 PM,C,11.5
24/10/19 4:01:00 PM,C,10.5
24/10/19 5:01:00 PM,C,10.5
24/10/19 6:01:00 PM,C,10.5
24/10/19 7:01:00 PM,C,10.5
24/10/19 8:01:00 PM,C,10.5
24/10/19 9:01:00 PM,C,10.5
24/10/19 10:01:00 PM,C,10.5
24/10/19 11:01:00 PM,C,10
25/10/19 12:01:00 AM,C,10
25/10/19 1:01:00 AM,C,9
25/10/19 2:01:00 AM,C,10
25/10/19 3:01:00 AM,C,10
25/10/19 4:01:00 AM,C,10.5
25/10/19 5:01:00 AM,C,10.5
25/10/19 6:01:00 AM,C,10.5
25/10/19 7:01:00 AM,C,10.5
25/10/19 8:01:00 AM,C,10.5
25/10/19 9:01:00 AM,C,10
25/10/19 10:01:00 AM,C,10.5
25/10/19 11:01:00 AM,C,10.5
