1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D900000051086821
Is Mission Active?  true
Mission Start:  Thu Jun 06 18:00:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1651
Total Samples:  2974
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
06/06/19 6:00:00 PM,C,17
06/06/19 7:00:00 PM,C,15
06/06/19 8:00:00 PM,C,13.5
06/06/19 9:00:00 PM,C,13
06/06/19 10:00:00 PM,C,12
06/06/19 11:00:00 PM,C,11
07/06/19 12:00:00 AM,C,11
07/06/19 1:00:00 AM,C,10
07/06/19 2:00:00 AM,C,10
07/06/19 3:00:00 AM,C,10
07/06/19 4:00:00 AM,C,9.5
07/06/19 5:00:00 AM,C,9.5
07/06/19 6:00:00 AM,C,9.5
07/06/19 7:00:00 AM,C,10.5
07/06/19 8:00:00 AM,C,12.5
07/06/19 9:00:00 AM,C,15.5
07/06/19 10:00:00 AM,C,18.5
07/06/19 11:00:00 AM,C,21.5
07/06/19 12:00:00 PM,C,22
07/06/19 1:00:00 PM,C,22
07/06/19 2:00:00 PM,C,24
07/06/19 3:00:00 PM,C,27
07/06/19 4:00:00 PM,C,23.5
07/06/19 5:00:00 PM,C,20
07/06/19 6:00:00 PM,C,18
07/06/19 7:00:00 PM,C,12
07/06/19 8:00:00 PM,C,11.5
07/06/19 9:00:00 PM,C,10.5
07/06/19 10:00:00 PM,C,11
07/06/19 11:00:00 PM,C,11
08/06/19 12:00:00 AM,C,11
08/06/19 1:00:00 AM,C,11
08/06/19 2:00:00 AM,C,11
08/06/19 3:00:00 AM,C,11
08/06/19 4:00:00 AM,C,10.5
08/06/19 5:00:00 AM,C,11
08/06/19 6:00:00 AM,C,11
08/06/19 7:00:00 AM,C,11
08/06/19 8:00:00 AM,C,11.5
08/06/19 9:00:00 AM,C,11.5
08/06/19 10:00:00 AM,C,12
08/06/19 11:00:00 AM,C,22.5
08/06/19 12:00:00 PM,C,30
08/06/19 1:00:00 PM,C,32.5
08/06/19 2:00:00 PM,C,33.5
08/06/19 3:00:00 PM,C,31
08/06/19 4:00:00 PM,C,29
08/06/19 5:00:00 PM,C,25.5
08/06/19 6:00:00 PM,C,21.5
08/06/19 7:00:00 PM,C,17.5
08/06/19 8:00:00 PM,C,12.5
08/06/19 9:00:00 PM,C,12
08/06/19 10:00:00 PM,C,12
08/06/19 11:00:00 PM,C,11.5
09/06/19 12:00:00 AM,C,11.5
09/06/19 1:00:00 AM,C,11
09/06/19 2:00:00 AM,C,11
09/06/19 3:00:00 AM,C,11
