1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1800000050F20121
Is Mission Active?  true
Mission Start:  Wed Jun 05 18:26:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1674
Total Samples:  2962
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 6:26:00 PM,C,20.5
05/06/19 7:26:00 PM,C,19
05/06/19 8:26:00 PM,C,18
05/06/19 9:26:00 PM,C,17
05/06/19 10:26:00 PM,C,16.5
05/06/19 11:26:00 PM,C,15.5
06/06/19 12:26:00 AM,C,16
06/06/19 1:26:00 AM,C,16
06/06/19 2:26:00 AM,C,15.5
06/06/19 3:26:00 AM,C,15.5
06/06/19 4:26:00 AM,C,15
06/06/19 5:26:00 AM,C,14.5
06/06/19 6:26:00 AM,C,14.5
06/06/19 7:26:00 AM,C,15
06/06/19 8:26:00 AM,C,14.5
06/06/19 9:26:00 AM,C,15.5
06/06/19 10:26:00 AM,C,15.5
06/06/19 11:26:00 AM,C,23
06/06/19 12:26:00 PM,C,31.5
06/06/19 1:26:00 PM,C,18
06/06/19 2:26:00 PM,C,13.5
06/06/19 3:26:00 PM,C,15.5
06/06/19 4:26:00 PM,C,22.5
06/06/19 5:26:00 PM,C,17
06/06/19 6:26:00 PM,C,12
06/06/19 7:26:00 PM,C,11.5
06/06/19 8:26:00 PM,C,11.5
06/06/19 9:26:00 PM,C,11
06/06/19 10:26:00 PM,C,11
06/06/19 11:26:00 PM,C,11
07/06/19 12:26:00 AM,C,11
07/06/19 1:26:00 AM,C,11
07/06/19 2:26:00 AM,C,11
07/06/19 3:26:00 AM,C,11
07/06/19 4:26:00 AM,C,11
07/06/19 5:26:00 AM,C,11.5
07/06/19 6:26:00 AM,C,11.5
07/06/19 7:26:00 AM,C,11
07/06/19 8:26:00 AM,C,11.5
07/06/19 9:26:00 AM,C,11.5
07/06/19 10:26:00 AM,C,13
07/06/19 11:26:00 AM,C,28
07/06/19 12:26:00 PM,C,19
07/06/19 1:26:00 PM,C,21.5
07/06/19 2:26:00 PM,C,23.5
07/06/19 3:26:00 PM,C,25
07/06/19 4:26:00 PM,C,19
07/06/19 5:26:00 PM,C,17.5
07/06/19 6:26:00 PM,C,13.5
07/06/19 7:26:00 PM,C,11.5
07/06/19 8:26:00 PM,C,11.5
07/06/19 9:26:00 PM,C,11.5
07/06/19 10:26:00 PM,C,11.5
07/06/19 11:26:00 PM,C,11.5
08/06/19 12:26:00 AM,C,11
08/06/19 1:26:00 AM,C,11
08/06/19 2:26:00 AM,C,11
08/06/19 3:26:00 AM,C,11
08/06/19 4:26:00 AM,C,11.5
08/06/19 5:26:00 AM,C,11.5
08/06/19 6:26:00 AM,C,11
08/06/19 7:26:00 AM,C,11.5
08/06/19 8:26:00 AM,C,11.5
08/06/19 9:26:00 AM,C,12
08/06/19 10:26:00 AM,C,12.5
08/06/19 11:26:00 AM,C,15
08/06/19 12:26:00 PM,C,27.5
08/06/19 1:26:00 PM,C,28
08/06/19 2:26:00 PM,C,28
08/06/19 3:26:00 PM,C,27.5
08/06/19 4:26:00 PM,C,25
08/06/19 5:26:00 PM,C,24
08/06/19 6:26:00 PM,C,19.5
08/06/19 7:26:00 PM,C,15
08/06/19 8:26:00 PM,C,12
08/06/19 9:26:00 PM,C,12
08/06/19 10:26:00 PM,C,12
08/06/19 11:26:00 PM,C,11.5
09/06/19 12:26:00 AM,C,11.5
09/06/19 1:26:00 AM,C,11.5
09/06/19 2:26:00 AM,C,11.5
09/06/19 3:26:00 AM,C,11
09/06/19 4:26:00 AM,C,11
09/06/19 5:26:00 AM,C,11
09/06/19 6:26:00 AM,C,11.5
09/06/19 7:26:00 AM,C,12
09/06/19 8:26:00 AM,C,12
09/06/19 9:26:00 AM,C,12
09/06/19 10:26:00 AM,C,12.5
09/06/19 11:26:00 AM,C,14
09/06/19 12:26:00 PM,C,16
09/06/19 1:26:00 PM,C,25
09/06/19 2:26:00 PM,C,24.5
09/06/19 3:26:00 PM,C,20
09/06/19 4:26:00 PM,C,25.5
09/06/19 5:26:00 PM,C,24.5
09/06/19 6:26:00 PM,C,19.5
09/06/19 7:26:00 PM,C,17.5
09/06/19 8:26:00 PM,C,12.5
09/06/19 9:26:00 PM,C,12
09/06/19 10:26:00 PM,C,12
09/06/19 11:26:00 PM,C,12
10/06/19 12:26:00 AM,C,11.5
10/06/19 1:26:00 AM,C,11.5
10/06/19 2:26:00 AM,C,11
10/06/19 3:26:00 AM,C,11
10/06/19 4:26:00 AM,C,11
10/06/19 5:26:00 AM,C,10.5
10/06/19 6:26:00 AM,C,11.5
10/06/19 7:26:00 AM,C,12
10/06/19 8:26:00 AM,C,12
10/06/19 9:26:00 AM,C,15
10/06/19 10:26:00 AM,C,13.5
10/06/19 11:26:00 AM,C,13.5
10/06/19 12:26:00 PM,C,14.5
10/06/19 1:26:00 PM,C,25.5
10/06/19 2:26:00 PM,C,21.5
10/06/19 3:26:00 PM,C,30
10/06/19 4:26:00 PM,C,30
10/06/19 5:26:00 PM,C,26
10/06/19 6:26:00 PM,C,21.5
10/06/19 7:26:00 PM,C,17.5
10/06/19 8:26:00 PM,C,14
10/06/19 9:26:00 PM,C,12.5
10/06/19 10:26:00 PM,C,12.5
10/06/19 11:26:00 PM,C,12
11/06/19 12:26:00 AM,C,12
11/06/19 1:26:00 AM,C,12
11/06/19 2:26:00 AM,C,11.5
11/06/19 3:26:00 AM,C,11.5
11/06/19 4:26:00 AM,C,11.5
11/06/19 5:26:00 AM,C,11.5
11/06/19 6:26:00 AM,C,13.5
11/06/19 7:26:00 AM,C,17.5
11/06/19 8:26:00 AM,C,19
11/06/19 9:26:00 AM,C,27.5
11/06/19 10:26:00 AM,C,19.5
11/06/19 11:26:00 AM,C,22
11/06/19 12:26:00 PM,C,14
11/06/19 1:26:00 PM,C,14.5
11/06/19 2:26:00 PM,C,20.5
11/06/19 3:26:00 PM,C,31
11/06/19 4:26:00 PM,C,23.5
11/06/19 5:26:00 PM,C,28
11/06/19 6:26:00 PM,C,23.5
11/06/19 7:26:00 PM,C,20.5
11/06/19 8:26:00 PM,C,14
11/06/19 9:26:00 PM,C,12.5
11/06/19 10:26:00 PM,C,12.5
11/06/19 11:26:00 PM,C,12.5
12/06/19 12:26:00 AM,C,12.5
12/06/19 1:26:00 AM,C,12.5
12/06/19 2:26:00 AM,C,12
12/06/19 3:26:00 AM,C,12
12/06/19 4:26:00 AM,C,12
12/06/19 5:26:00 AM,C,12
12/06/19 6:26:00 AM,C,14
12/06/19 7:26:00 AM,C,18
12/06/19 8:26:00 AM,C,26.5
12/06/19 9:26:00 AM,C,30
12/06/19 10:26:00 AM,C,33
12/06/19 11:26:00 AM,C,29
12/06/19 12:26:00 PM,C,14
12/06/19 1:26:00 PM,C,13
12/06/19 2:26:00 PM,C,13
12/06/19 3:26:00 PM,C,13
12/06/19 4:26:00 PM,C,13
12/06/19 5:26:00 PM,C,14
12/06/19 6:26:00 PM,C,13
12/06/19 7:26:00 PM,C,13.5
12/06/19 8:26:00 PM,C,13
12/06/19 9:26:00 PM,C,13
12/06/19 10:26:00 PM,C,13
12/06/19 11:26:00 PM,C,13
13/06/19 12:26:00 AM,C,13
13/06/19 1:26:00 AM,C,12.5
13/06/19 2:26:00 AM,C,13
13/06/19 3:26:00 AM,C,13
13/06/19 4:26:00 AM,C,12.5
13/06/19 5:26:00 AM,C,12.5
13/06/19 6:26:00 AM,C,13.5
13/06/19 7:26:00 AM,C,16
13/06/19 8:26:00 AM,C,21
13/06/19 9:26:00 AM,C,26.5
13/06/19 10:26:00 AM,C,32
13/06/19 11:26:00 AM,C,24
13/06/19 12:26:00 PM,C,22.5
13/06/19 1:26:00 PM,C,13.5
13/06/19 2:26:00 PM,C,13
13/06/19 3:26:00 PM,C,13
13/06/19 4:26:00 PM,C,12.5
13/06/19 5:26:00 PM,C,12.5
13/06/19 6:26:00 PM,C,12.5
13/06/19 7:26:00 PM,C,13
13/06/19 8:26:00 PM,C,12.5
13/06/19 9:26:00 PM,C,12.5
13/06/19 10:26:00 PM,C,12.5
13/06/19 11:26:00 PM,C,13
14/06/19 12:26:00 AM,C,12.5
14/06/19 1:26:00 AM,C,12.5
14/06/19 2:26:00 AM,C,12.5
14/06/19 3:26:00 AM,C,12.5
14/06/19 4:26:00 AM,C,12
14/06/19 5:26:00 AM,C,12
14/06/19 6:26:00 AM,C,12
14/06/19 7:26:00 AM,C,13
14/06/19 8:26:00 AM,C,14
14/06/19 9:26:00 AM,C,18
14/06/19 10:26:00 AM,C,20.5
14/06/19 11:26:00 AM,C,29.5
14/06/19 12:26:00 PM,C,31
14/06/19 1:26:00 PM,C,28
14/06/19 2:26:00 PM,C,14
14/06/19 3:26:00 PM,C,13
14/06/19 4:26:00 PM,C,13.5
14/06/19 5:26:00 PM,C,12
14/06/19 6:26:00 PM,C,12
14/06/19 7:26:00 PM,C,12
14/06/19 8:26:00 PM,C,12
14/06/19 9:26:00 PM,C,12.5
14/06/19 10:26:00 PM,C,13
14/06/19 11:26:00 PM,C,13
15/06/19 12:26:00 AM,C,13
15/06/19 1:26:00 AM,C,13
15/06/19 2:26:00 AM,C,13
15/06/19 3:26:00 AM,C,13
15/06/19 4:26:00 AM,C,13
15/06/19 5:26:00 AM,C,12.5
15/06/19 6:26:00 AM,C,13
15/06/19 7:26:00 AM,C,15
15/06/19 8:26:00 AM,C,21.5
15/06/19 9:26:00 AM,C,27
15/06/19 10:26:00 AM,C,31
15/06/19 11:26:00 AM,C,32.5
15/06/19 12:26:00 PM,C,37
15/06/19 1:26:00 PM,C,36.5
15/06/19 2:26:00 PM,C,20
15/06/19 3:26:00 PM,C,14
15/06/19 4:26:00 PM,C,13.5
15/06/19 5:26:00 PM,C,13
15/06/19 6:26:00 PM,C,13
15/06/19 7:26:00 PM,C,12.5
15/06/19 8:26:00 PM,C,12.5
15/06/19 9:26:00 PM,C,12.5
15/06/19 10:26:00 PM,C,12.5
15/06/19 11:26:00 PM,C,12.5
16/06/19 12:26:00 AM,C,12.5
16/06/19 1:26:00 AM,C,12.5
16/06/19 2:26:00 AM,C,13
16/06/19 3:26:00 AM,C,13
16/06/19 4:26:00 AM,C,13
16/06/19 5:26:00 AM,C,13
16/06/19 6:26:00 AM,C,13
16/06/19 7:26:00 AM,C,14.5
16/06/19 8:26:00 AM,C,14.5
16/06/19 9:26:00 AM,C,24.5
16/06/19 10:26:00 AM,C,30
16/06/19 11:26:00 AM,C,34.5
16/06/19 12:26:00 PM,C,35
16/06/19 1:26:00 PM,C,34.5
16/06/19 2:26:00 PM,C,27
16/06/19 3:26:00 PM,C,15.5
16/06/19 4:26:00 PM,C,13.5
16/06/19 5:26:00 PM,C,13.5
16/06/19 6:26:00 PM,C,12.5
16/06/19 7:26:00 PM,C,12
16/06/19 8:26:00 PM,C,12
16/06/19 9:26:00 PM,C,12
16/06/19 10:26:00 PM,C,12
16/06/19 11:26:00 PM,C,12
17/06/19 12:26:00 AM,C,12.5
17/06/19 1:26:00 AM,C,12.5
17/06/19 2:26:00 AM,C,12.5
17/06/19 3:26:00 AM,C,12.5
17/06/19 4:26:00 AM,C,12.5
17/06/19 5:26:00 AM,C,12.5
17/06/19 6:26:00 AM,C,12.5
17/06/19 7:26:00 AM,C,13
17/06/19 8:26:00 AM,C,17
17/06/19 9:26:00 AM,C,24.5
17/06/19 10:26:00 AM,C,28.5
17/06/19 11:26:00 AM,C,31
17/06/19 12:26:00 PM,C,31
17/06/19 1:26:00 PM,C,33
17/06/19 2:26:00 PM,C,33
17/06/19 3:26:00 PM,C,33.5
17/06/19 4:26:00 PM,C,13.5
17/06/19 5:26:00 PM,C,13
17/06/19 6:26:00 PM,C,13.5
17/06/19 7:26:00 PM,C,12
17/06/19 8:26:00 PM,C,12.5
17/06/19 9:26:00 PM,C,12.5
17/06/19 10:26:00 PM,C,12.5
17/06/19 11:26:00 PM,C,12
18/06/19 12:26:00 AM,C,12.5
18/06/19 1:26:00 AM,C,12.5
18/06/19 2:26:00 AM,C,12.5
18/06/19 3:26:00 AM,C,12.5
18/06/19 4:26:00 AM,C,12.5
18/06/19 5:26:00 AM,C,12.5
18/06/19 6:26:00 AM,C,12.5
18/06/19 7:26:00 AM,C,12.5
18/06/19 8:26:00 AM,C,15
18/06/19 9:26:00 AM,C,21
18/06/19 10:26:00 AM,C,24
18/06/19 11:26:00 AM,C,31.5
18/06/19 12:26:00 PM,C,35.5
18/06/19 1:26:00 PM,C,34
18/06/19 2:26:00 PM,C,35
18/06/19 3:26:00 PM,C,34.5
18/06/19 4:26:00 PM,C,30
18/06/19 5:26:00 PM,C,12.5
18/06/19 6:26:00 PM,C,13
18/06/19 7:26:00 PM,C,13
18/06/19 8:26:00 PM,C,12.5
18/06/19 9:26:00 PM,C,13
18/06/19 10:26:00 PM,C,13
18/06/19 11:26:00 PM,C,13
19/06/19 12:26:00 AM,C,12.5
19/06/19 1:26:00 AM,C,12.5
19/06/19 2:26:00 AM,C,13
19/06/19 3:26:00 AM,C,13
19/06/19 4:26:00 AM,C,13
19/06/19 5:26:00 AM,C,13
19/06/19 6:26:00 AM,C,12.5
19/06/19 7:26:00 AM,C,12.5
19/06/19 8:26:00 AM,C,13
19/06/19 9:26:00 AM,C,19
19/06/19 10:26:00 AM,C,27
19/06/19 11:26:00 AM,C,27.5
19/06/19 12:26:00 PM,C,33
19/06/19 1:26:00 PM,C,20.5
19/06/19 2:26:00 PM,C,30.5
19/06/19 3:26:00 PM,C,21.5
19/06/19 4:26:00 PM,C,23
19/06/19 5:26:00 PM,C,14
19/06/19 6:26:00 PM,C,13.5
19/06/19 7:26:00 PM,C,13
19/06/19 8:26:00 PM,C,12.5
19/06/19 9:26:00 PM,C,12.5
19/06/19 10:26:00 PM,C,12.5
19/06/19 11:26:00 PM,C,13
20/06/19 12:26:00 AM,C,12.5
20/06/19 1:26:00 AM,C,12.5
20/06/19 2:26:00 AM,C,13
20/06/19 3:26:00 AM,C,12.5
20/06/19 4:26:00 AM,C,13
20/06/19 5:26:00 AM,C,13
20/06/19 6:26:00 AM,C,13
20/06/19 7:26:00 AM,C,13
20/06/19 8:26:00 AM,C,13
20/06/19 9:26:00 AM,C,14
20/06/19 10:26:00 AM,C,27
20/06/19 11:26:00 AM,C,33.5
20/06/19 12:26:00 PM,C,35.5
20/06/19 1:26:00 PM,C,31.5
20/06/19 2:26:00 PM,C,31.5
20/06/19 3:26:00 PM,C,29
20/06/19 4:26:00 PM,C,26
20/06/19 5:26:00 PM,C,18.5
20/06/19 6:26:00 PM,C,14
20/06/19 7:26:00 PM,C,13
20/06/19 8:26:00 PM,C,13.5
20/06/19 9:26:00 PM,C,13
20/06/19 10:26:00 PM,C,13
20/06/19 11:26:00 PM,C,13
21/06/19 12:26:00 AM,C,13
21/06/19 1:26:00 AM,C,13
21/06/19 2:26:00 AM,C,13
21/06/19 3:26:00 AM,C,13
21/06/19 4:26:00 AM,C,13
21/06/19 5:26:00 AM,C,13
21/06/19 6:26:00 AM,C,13
21/06/19 7:26:00 AM,C,13.5
21/06/19 8:26:00 AM,C,13.5
21/06/19 9:26:00 AM,C,14
21/06/19 10:26:00 AM,C,18
21/06/19 11:26:00 AM,C,22.5
21/06/19 12:26:00 PM,C,29.5
21/06/19 1:26:00 PM,C,29.5
21/06/19 2:26:00 PM,C,31.5
21/06/19 3:26:00 PM,C,31
21/06/19 4:26:00 PM,C,30
21/06/19 5:26:00 PM,C,25.5
21/06/19 6:26:00 PM,C,15.5
21/06/19 7:26:00 PM,C,15
21/06/19 8:26:00 PM,C,14.5
21/06/19 9:26:00 PM,C,13.5
21/06/19 10:26:00 PM,C,13.5
21/06/19 11:26:00 PM,C,14
22/06/19 12:26:00 AM,C,13.5
22/06/19 1:26:00 AM,C,13.5
22/06/19 2:26:00 AM,C,13.5
22/06/19 3:26:00 AM,C,13.5
22/06/19 4:26:00 AM,C,13
22/06/19 5:26:00 AM,C,13
22/06/19 6:26:00 AM,C,13.5
22/06/19 7:26:00 AM,C,13.5
22/06/19 8:26:00 AM,C,14
22/06/19 9:26:00 AM,C,14
22/06/19 10:26:00 AM,C,13.5
22/06/19 11:26:00 AM,C,17.5
22/06/19 12:26:00 PM,C,28.5
22/06/19 1:26:00 PM,C,29.5
22/06/19 2:26:00 PM,C,30.5
22/06/19 3:26:00 PM,C,29
22/06/19 4:26:00 PM,C,28
22/06/19 5:26:00 PM,C,25.5
22/06/19 6:26:00 PM,C,14.5
22/06/19 7:26:00 PM,C,13.5
22/06/19 8:26:00 PM,C,14
22/06/19 9:26:00 PM,C,13
22/06/19 10:26:00 PM,C,13.5
22/06/19 11:26:00 PM,C,13.5
23/06/19 12:26:00 AM,C,13.5
23/06/19 1:26:00 AM,C,13.5
23/06/19 2:26:00 AM,C,13
23/06/19 3:26:00 AM,C,13.5
23/06/19 4:26:00 AM,C,13.5
23/06/19 5:26:00 AM,C,13.5
23/06/19 6:26:00 AM,C,13.5
23/06/19 7:26:00 AM,C,13.5
23/06/19 8:26:00 AM,C,13
23/06/19 9:26:00 AM,C,13.5
23/06/19 10:26:00 AM,C,13.5
23/06/19 11:26:00 AM,C,17
23/06/19 12:26:00 PM,C,23
23/06/19 1:26:00 PM,C,22.5
23/06/19 2:26:00 PM,C,20.5
23/06/19 3:26:00 PM,C,22
23/06/19 4:26:00 PM,C,21.5
23/06/19 5:26:00 PM,C,23.5
23/06/19 6:26:00 PM,C,16
23/06/19 7:26:00 PM,C,14.5
23/06/19 8:26:00 PM,C,14.5
23/06/19 9:26:00 PM,C,14
23/06/19 10:26:00 PM,C,13.5
23/06/19 11:26:00 PM,C,13.5
24/06/19 12:26:00 AM,C,13
24/06/19 1:26:00 AM,C,13
24/06/19 2:26:00 AM,C,13
24/06/19 3:26:00 AM,C,13
24/06/19 4:26:00 AM,C,13
24/06/19 5:26:00 AM,C,13
24/06/19 6:26:00 AM,C,13
24/06/19 7:26:00 AM,C,13.5
24/06/19 8:26:00 AM,C,13.5
24/06/19 9:26:00 AM,C,14
24/06/19 10:26:00 AM,C,14
24/06/19 11:26:00 AM,C,16
24/06/19 12:26:00 PM,C,17.5
24/06/19 1:26:00 PM,C,24.5
24/06/19 2:26:00 PM,C,22.5
24/06/19 3:26:00 PM,C,25.5
24/06/19 4:26:00 PM,C,22.5
24/06/19 5:26:00 PM,C,23
24/06/19 6:26:00 PM,C,16.5
24/06/19 7:26:00 PM,C,15.5
24/06/19 8:26:00 PM,C,15.5
24/06/19 9:26:00 PM,C,15.5
24/06/19 10:26:00 PM,C,14.5
24/06/19 11:26:00 PM,C,14.5
25/06/19 12:26:00 AM,C,14
25/06/19 1:26:00 AM,C,14
25/06/19 2:26:00 AM,C,14
25/06/19 3:26:00 AM,C,13.5
25/06/19 4:26:00 AM,C,13.5
25/06/19 5:26:00 AM,C,11.5
25/06/19 6:26:00 AM,C,12.5
25/06/19 7:26:00 AM,C,15
25/06/19 8:26:00 AM,C,17
25/06/19 9:26:00 AM,C,21.5
25/06/19 10:26:00 AM,C,16
25/06/19 11:26:00 AM,C,15.5
25/06/19 12:26:00 PM,C,16
