1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 710000005117A721
Is Mission Active?  true
Mission Start:  Wed Jun 05 18:42:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1674
Total Samples:  2972
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 6:42:00 PM,C,20.5
05/06/19 7:42:00 PM,C,19
05/06/19 8:42:00 PM,C,17
05/06/19 9:42:00 PM,C,16.5
05/06/19 10:42:00 PM,C,16.5
05/06/19 11:42:00 PM,C,15
06/06/19 12:42:00 AM,C,15.5
06/06/19 1:42:00 AM,C,15
06/06/19 2:42:00 AM,C,15
06/06/19 3:42:00 AM,C,14.5
06/06/19 4:42:00 AM,C,14.5
06/06/19 5:42:00 AM,C,14
06/06/19 6:42:00 AM,C,14
06/06/19 7:42:00 AM,C,15
06/06/19 8:42:00 AM,C,15
06/06/19 9:42:00 AM,C,15
06/06/19 10:42:00 AM,C,17.5
06/06/19 11:42:00 AM,C,19
06/06/19 12:42:00 PM,C,21
06/06/19 1:42:00 PM,C,17.5
06/06/19 2:42:00 PM,C,12.5
06/06/19 3:42:00 PM,C,17
06/06/19 4:42:00 PM,C,16
06/06/19 5:42:00 PM,C,13
06/06/19 6:42:00 PM,C,11.5
06/06/19 7:42:00 PM,C,10.5
06/06/19 8:42:00 PM,C,10.5
06/06/19 9:42:00 PM,C,10.5
06/06/19 10:42:00 PM,C,10.5
06/06/19 11:42:00 PM,C,10.5
07/06/19 12:42:00 AM,C,11
07/06/19 1:42:00 AM,C,10.5
07/06/19 2:42:00 AM,C,10.5
07/06/19 3:42:00 AM,C,10.5
07/06/19 4:42:00 AM,C,11
07/06/19 5:42:00 AM,C,11
07/06/19 6:42:00 AM,C,11
07/06/19 7:42:00 AM,C,11
07/06/19 8:42:00 AM,C,11
07/06/19 9:42:00 AM,C,11
07/06/19 10:42:00 AM,C,13.5
07/06/19 11:42:00 AM,C,24
07/06/19 12:42:00 PM,C,16.5
07/06/19 1:42:00 PM,C,17.5
07/06/19 2:42:00 PM,C,19.5
07/06/19 3:42:00 PM,C,20.5
07/06/19 4:42:00 PM,C,17.5
07/06/19 5:42:00 PM,C,15.5
07/06/19 6:42:00 PM,C,11.5
07/06/19 7:42:00 PM,C,11
07/06/19 8:42:00 PM,C,10.5
07/06/19 9:42:00 PM,C,10.5
07/06/19 10:42:00 PM,C,11
07/06/19 11:42:00 PM,C,11
08/06/19 12:42:00 AM,C,10.5
08/06/19 1:42:00 AM,C,10.5
08/06/19 2:42:00 AM,C,10.5
08/06/19 3:42:00 AM,C,10.5
08/06/19 4:42:00 AM,C,11
08/06/19 5:42:00 AM,C,11
08/06/19 6:42:00 AM,C,11
08/06/19 7:42:00 AM,C,11
08/06/19 8:42:00 AM,C,11
08/06/19 9:42:00 AM,C,11.5
08/06/19 10:42:00 AM,C,12
08/06/19 11:42:00 AM,C,17
08/06/19 12:42:00 PM,C,24.5
08/06/19 1:42:00 PM,C,24
08/06/19 2:42:00 PM,C,23.5
08/06/19 3:42:00 PM,C,22.5
08/06/19 4:42:00 PM,C,21.5
08/06/19 5:42:00 PM,C,19
08/06/19 6:42:00 PM,C,17.5
08/06/19 7:42:00 PM,C,12
08/06/19 8:42:00 PM,C,12
08/06/19 9:42:00 PM,C,11.5
08/06/19 10:42:00 PM,C,11.5
08/06/19 11:42:00 PM,C,11
09/06/19 12:42:00 AM,C,11
09/06/19 1:42:00 AM,C,11
09/06/19 2:42:00 AM,C,11
09/06/19 3:42:00 AM,C,10.5
09/06/19 4:42:00 AM,C,10.5
09/06/19 5:42:00 AM,C,11
09/06/19 6:42:00 AM,C,11
09/06/19 7:42:00 AM,C,11.5
09/06/19 8:42:00 AM,C,11.5
09/06/19 9:42:00 AM,C,11.5
09/06/19 10:42:00 AM,C,12
09/06/19 11:42:00 AM,C,12.5
09/06/19 12:42:00 PM,C,17
09/06/19 1:42:00 PM,C,23.5
09/06/19 2:42:00 PM,C,20.5
09/06/19 3:42:00 PM,C,19
09/06/19 4:42:00 PM,C,21.5
09/06/19 5:42:00 PM,C,20
09/06/19 6:42:00 PM,C,17.5
09/06/19 7:42:00 PM,C,16
09/06/19 8:42:00 PM,C,12
09/06/19 9:42:00 PM,C,12
09/06/19 10:42:00 PM,C,11.5
09/06/19 11:42:00 PM,C,11
10/06/19 12:42:00 AM,C,11
10/06/19 1:42:00 AM,C,11
10/06/19 2:42:00 AM,C,10.5
10/06/19 3:42:00 AM,C,10.5
10/06/19 4:42:00 AM,C,10.5
10/06/19 5:42:00 AM,C,10.5
10/06/19 6:42:00 AM,C,11.5
10/06/19 7:42:00 AM,C,11.5
10/06/19 8:42:00 AM,C,12
10/06/19 9:42:00 AM,C,12.5
10/06/19 10:42:00 AM,C,13
10/06/19 11:42:00 AM,C,13.5
10/06/19 12:42:00 PM,C,13.5
10/06/19 1:42:00 PM,C,21
10/06/19 2:42:00 PM,C,20
