1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EF0000005108EC21
Is Mission Active?  true
Mission Start:  Wed Jun 05 18:13:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1674
Total Samples:  2972
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 6:13:00 PM,C,19.5
05/06/19 7:13:00 PM,C,19
05/06/19 8:13:00 PM,C,17
05/06/19 9:13:00 PM,C,16
05/06/19 10:13:00 PM,C,15
05/06/19 11:13:00 PM,C,14
06/06/19 12:13:00 AM,C,14.5
06/06/19 1:13:00 AM,C,14.5
06/06/19 2:13:00 AM,C,14.5
06/06/19 3:13:00 AM,C,14
06/06/19 4:13:00 AM,C,13.5
06/06/19 5:13:00 AM,C,12.5
06/06/19 6:13:00 AM,C,13.5
06/06/19 7:13:00 AM,C,14.5
06/06/19 8:13:00 AM,C,13.5
06/06/19 9:13:00 AM,C,16.5
06/06/19 10:13:00 AM,C,16
06/06/19 11:13:00 AM,C,22
06/06/19 12:13:00 PM,C,23.5
06/06/19 1:13:00 PM,C,19
06/06/19 2:13:00 PM,C,16.5
06/06/19 3:13:00 PM,C,18.5
06/06/19 4:13:00 PM,C,21
06/06/19 5:13:00 PM,C,17.5
06/06/19 6:13:00 PM,C,12
06/06/19 7:13:00 PM,C,11.5
06/06/19 8:13:00 PM,C,11
06/06/19 9:13:00 PM,C,11
06/06/19 10:13:00 PM,C,11
06/06/19 11:13:00 PM,C,11
07/06/19 12:13:00 AM,C,11
07/06/19 1:13:00 AM,C,11
07/06/19 2:13:00 AM,C,11
07/06/19 3:13:00 AM,C,10.5
07/06/19 4:13:00 AM,C,11
07/06/19 5:13:00 AM,C,11.5
07/06/19 6:13:00 AM,C,11.5
07/06/19 7:13:00 AM,C,11
07/06/19 8:13:00 AM,C,11.5
07/06/19 9:13:00 AM,C,11.5
07/06/19 10:13:00 AM,C,12
07/06/19 11:13:00 AM,C,19
07/06/19 12:13:00 PM,C,17
07/06/19 1:13:00 PM,C,19
07/06/19 2:13:00 PM,C,23
07/06/19 3:13:00 PM,C,22.5
07/06/19 4:13:00 PM,C,18.5
07/06/19 5:13:00 PM,C,16
07/06/19 6:13:00 PM,C,15
07/06/19 7:13:00 PM,C,12
07/06/19 8:13:00 PM,C,11.5
07/06/19 9:13:00 PM,C,11
07/06/19 10:13:00 PM,C,11
07/06/19 11:13:00 PM,C,11
08/06/19 12:13:00 AM,C,11
08/06/19 1:13:00 AM,C,11
08/06/19 2:13:00 AM,C,11
08/06/19 3:13:00 AM,C,11
08/06/19 4:13:00 AM,C,11
08/06/19 5:13:00 AM,C,11.5
08/06/19 6:13:00 AM,C,11.5
08/06/19 7:13:00 AM,C,11.5
08/06/19 8:13:00 AM,C,11.5
08/06/19 9:13:00 AM,C,11.5
08/06/19 10:13:00 AM,C,12
08/06/19 11:13:00 AM,C,14
08/06/19 12:13:00 PM,C,21.5
08/06/19 1:13:00 PM,C,26.5
08/06/19 2:13:00 PM,C,27.5
08/06/19 3:13:00 PM,C,25
08/06/19 4:13:00 PM,C,23
08/06/19 5:13:00 PM,C,21
08/06/19 6:13:00 PM,C,18
08/06/19 7:13:00 PM,C,15
08/06/19 8:13:00 PM,C,12
08/06/19 9:13:00 PM,C,12
