1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7A000000510D0E21
Is Mission Active?  true
Mission Start:  Wed Jun 05 18:27:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1674
Total Samples:  2972
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 6:27:00 PM,C,20.5
05/06/19 7:27:00 PM,C,19
05/06/19 8:27:00 PM,C,18
05/06/19 9:27:00 PM,C,17
05/06/19 10:27:00 PM,C,16.5
05/06/19 11:27:00 PM,C,15.5
06/06/19 12:27:00 AM,C,15
06/06/19 1:27:00 AM,C,15
06/06/19 2:27:00 AM,C,15
06/06/19 3:27:00 AM,C,14.5
06/06/19 4:27:00 AM,C,14
06/06/19 5:27:00 AM,C,14
06/06/19 6:27:00 AM,C,14
06/06/19 7:27:00 AM,C,14.5
06/06/19 8:27:00 AM,C,14
06/06/19 9:27:00 AM,C,15.5
06/06/19 10:27:00 AM,C,15.5
06/06/19 11:27:00 AM,C,23
06/06/19 12:27:00 PM,C,21
06/06/19 1:27:00 PM,C,21.5
06/06/19 2:27:00 PM,C,14
06/06/19 3:27:00 PM,C,18
06/06/19 4:27:00 PM,C,21
06/06/19 5:27:00 PM,C,24
06/06/19 6:27:00 PM,C,11.5
06/06/19 7:27:00 PM,C,10.5
06/06/19 8:27:00 PM,C,10.5
06/06/19 9:27:00 PM,C,10.5
06/06/19 10:27:00 PM,C,10.5
06/06/19 11:27:00 PM,C,10.5
07/06/19 12:27:00 AM,C,10.5
07/06/19 1:27:00 AM,C,10.5
07/06/19 2:27:00 AM,C,10.5
07/06/19 3:27:00 AM,C,10.5
07/06/19 4:27:00 AM,C,10.5
07/06/19 5:27:00 AM,C,11
07/06/19 6:27:00 AM,C,10.5
07/06/19 7:27:00 AM,C,10.5
07/06/19 8:27:00 AM,C,11
07/06/19 9:27:00 AM,C,11
07/06/19 10:27:00 AM,C,12.5
07/06/19 11:27:00 AM,C,28
07/06/19 12:27:00 PM,C,18
07/06/19 1:27:00 PM,C,21
07/06/19 2:27:00 PM,C,22.5
07/06/19 3:27:00 PM,C,23
07/06/19 4:27:00 PM,C,17
07/06/19 5:27:00 PM,C,15.5
07/06/19 6:27:00 PM,C,12
07/06/19 7:27:00 PM,C,11
07/06/19 8:27:00 PM,C,11
07/06/19 9:27:00 PM,C,10.5
07/06/19 10:27:00 PM,C,10.5
07/06/19 11:27:00 PM,C,10.5
08/06/19 12:27:00 AM,C,10.5
08/06/19 1:27:00 AM,C,10.5
08/06/19 2:27:00 AM,C,10.5
08/06/19 3:27:00 AM,C,10.5
08/06/19 4:27:00 AM,C,11
08/06/19 5:27:00 AM,C,11
08/06/19 6:27:00 AM,C,10.5
08/06/19 7:27:00 AM,C,11
08/06/19 8:27:00 AM,C,11
08/06/19 9:27:00 AM,C,11
08/06/19 10:27:00 AM,C,11.5
08/06/19 11:27:00 AM,C,14
08/06/19 12:27:00 PM,C,26
08/06/19 1:27:00 PM,C,27.5
08/06/19 2:27:00 PM,C,26.5
08/06/19 3:27:00 PM,C,25.5
08/06/19 4:27:00 PM,C,21.5
08/06/19 5:27:00 PM,C,20
08/06/19 6:27:00 PM,C,17
08/06/19 7:27:00 PM,C,12
08/06/19 8:27:00 PM,C,11.5
08/06/19 9:27:00 PM,C,11.5
08/06/19 10:27:00 PM,C,11.5
08/06/19 11:27:00 PM,C,11
09/06/19 12:27:00 AM,C,10.5
09/06/19 1:27:00 AM,C,10.5
09/06/19 2:27:00 AM,C,10.5
09/06/19 3:27:00 AM,C,10.5
09/06/19 4:27:00 AM,C,10.5
09/06/19 5:27:00 AM,C,10.5
09/06/19 6:27:00 AM,C,11.5
09/06/19 7:27:00 AM,C,11.5
09/06/19 8:27:00 AM,C,11
09/06/19 9:27:00 AM,C,11.5
09/06/19 10:27:00 AM,C,12
09/06/19 11:27:00 AM,C,13
09/06/19 12:27:00 PM,C,16
09/06/19 1:27:00 PM,C,27.5
09/06/19 2:27:00 PM,C,24
09/06/19 3:27:00 PM,C,20
09/06/19 4:27:00 PM,C,24
09/06/19 5:27:00 PM,C,22.5
09/06/19 6:27:00 PM,C,18
09/06/19 7:27:00 PM,C,16.5
09/06/19 8:27:00 PM,C,11.5
09/06/19 9:27:00 PM,C,11.5
09/06/19 10:27:00 PM,C,11
09/06/19 11:27:00 PM,C,11
10/06/19 12:27:00 AM,C,11
10/06/19 1:27:00 AM,C,10.5
10/06/19 2:27:00 AM,C,10.5
10/06/19 3:27:00 AM,C,10.5
10/06/19 4:27:00 AM,C,10.5
10/06/19 5:27:00 AM,C,9.5
10/06/19 6:27:00 AM,C,11
10/06/19 7:27:00 AM,C,11.5
10/06/19 8:27:00 AM,C,11.5
10/06/19 9:27:00 AM,C,14
10/06/19 10:27:00 AM,C,13.5
10/06/19 11:27:00 AM,C,14.5
10/06/19 12:27:00 PM,C,12.5
10/06/19 1:27:00 PM,C,22
10/06/19 2:27:00 PM,C,21.5
10/06/19 3:27:00 PM,C,28
10/06/19 4:27:00 PM,C,27.5
10/06/19 5:27:00 PM,C,23.5
10/06/19 6:27:00 PM,C,19
10/06/19 7:27:00 PM,C,15.5
10/06/19 8:27:00 PM,C,12.5
10/06/19 9:27:00 PM,C,12
10/06/19 10:27:00 PM,C,12
10/06/19 11:27:00 PM,C,11.5
11/06/19 12:27:00 AM,C,11.5
11/06/19 1:27:00 AM,C,11
11/06/19 2:27:00 AM,C,11
11/06/19 3:27:00 AM,C,10.5
11/06/19 4:27:00 AM,C,11
11/06/19 5:27:00 AM,C,10.5
11/06/19 6:27:00 AM,C,14.5
11/06/19 7:27:00 AM,C,19.5
11/06/19 8:27:00 AM,C,19
11/06/19 9:27:00 AM,C,27
11/06/19 10:27:00 AM,C,16.5
11/06/19 11:27:00 AM,C,20
11/06/19 12:27:00 PM,C,13.5
11/06/19 1:27:00 PM,C,15.5
11/06/19 2:27:00 PM,C,19
11/06/19 3:27:00 PM,C,28.5
11/06/19 4:27:00 PM,C,22
11/06/19 5:27:00 PM,C,25
11/06/19 6:27:00 PM,C,22.5
11/06/19 7:27:00 PM,C,20
11/06/19 8:27:00 PM,C,14.5
11/06/19 9:27:00 PM,C,12
11/06/19 10:27:00 PM,C,12
11/06/19 11:27:00 PM,C,11.5
12/06/19 12:27:00 AM,C,11.5
12/06/19 1:27:00 AM,C,11.5
12/06/19 2:27:00 AM,C,11.5
12/06/19 3:27:00 AM,C,11.5
12/06/19 4:27:00 AM,C,11.5
12/06/19 5:27:00 AM,C,11.5
12/06/19 6:27:00 AM,C,14
12/06/19 7:27:00 AM,C,20.5
12/06/19 8:27:00 AM,C,27
12/06/19 9:27:00 AM,C,30.5
12/06/19 10:27:00 AM,C,32.5
12/06/19 11:27:00 AM,C,32.5
12/06/19 12:27:00 PM,C,14
12/06/19 1:27:00 PM,C,12.5
12/06/19 2:27:00 PM,C,12.5
12/06/19 3:27:00 PM,C,12
12/06/19 4:27:00 PM,C,12.5
12/06/19 5:27:00 PM,C,14.5
12/06/19 6:27:00 PM,C,12.5
12/06/19 7:27:00 PM,C,12.5
12/06/19 8:27:00 PM,C,12.5
12/06/19 9:27:00 PM,C,12.5
12/06/19 10:27:00 PM,C,12.5
12/06/19 11:27:00 PM,C,12
13/06/19 12:27:00 AM,C,12
13/06/19 1:27:00 AM,C,12
13/06/19 2:27:00 AM,C,12.5
13/06/19 3:27:00 AM,C,12.5
13/06/19 4:27:00 AM,C,12
13/06/19 5:27:00 AM,C,12
13/06/19 6:27:00 AM,C,14.5
13/06/19 7:27:00 AM,C,18.5
13/06/19 8:27:00 AM,C,23
13/06/19 9:27:00 AM,C,28
13/06/19 10:27:00 AM,C,33.5
13/06/19 11:27:00 AM,C,26
13/06/19 12:27:00 PM,C,20
13/06/19 1:27:00 PM,C,13
13/06/19 2:27:00 PM,C,12.5
13/06/19 3:27:00 PM,C,12
13/06/19 4:27:00 PM,C,12
13/06/19 5:27:00 PM,C,12
13/06/19 6:27:00 PM,C,12
13/06/19 7:27:00 PM,C,12
13/06/19 8:27:00 PM,C,12
13/06/19 9:27:00 PM,C,12
13/06/19 10:27:00 PM,C,12
13/06/19 11:27:00 PM,C,12.5
14/06/19 12:27:00 AM,C,12
14/06/19 1:27:00 AM,C,12
14/06/19 2:27:00 AM,C,12
14/06/19 3:27:00 AM,C,12
14/06/19 4:27:00 AM,C,11.5
14/06/19 5:27:00 AM,C,11.5
14/06/19 6:27:00 AM,C,12
14/06/19 7:27:00 AM,C,12.5
14/06/19 8:27:00 AM,C,13.5
14/06/19 9:27:00 AM,C,18
14/06/19 10:27:00 AM,C,20
14/06/19 11:27:00 AM,C,30.5
14/06/19 12:27:00 PM,C,31
14/06/19 1:27:00 PM,C,27
14/06/19 2:27:00 PM,C,13.5
14/06/19 3:27:00 PM,C,12.5
14/06/19 4:27:00 PM,C,12.5
14/06/19 5:27:00 PM,C,11.5
14/06/19 6:27:00 PM,C,11.5
14/06/19 7:27:00 PM,C,11.5
14/06/19 8:27:00 PM,C,11.5
14/06/19 9:27:00 PM,C,12
14/06/19 10:27:00 PM,C,12
14/06/19 11:27:00 PM,C,12.5
15/06/19 12:27:00 AM,C,12
15/06/19 1:27:00 AM,C,12.5
15/06/19 2:27:00 AM,C,12.5
15/06/19 3:27:00 AM,C,12.5
15/06/19 4:27:00 AM,C,12.5
15/06/19 5:27:00 AM,C,12
15/06/19 6:27:00 AM,C,12
15/06/19 7:27:00 AM,C,16.5
15/06/19 8:27:00 AM,C,24.5
15/06/19 9:27:00 AM,C,29
15/06/19 10:27:00 AM,C,31.5
15/06/19 11:27:00 AM,C,32
15/06/19 12:27:00 PM,C,37.5
15/06/19 1:27:00 PM,C,37.5
15/06/19 2:27:00 PM,C,15.5
15/06/19 3:27:00 PM,C,13.5
15/06/19 4:27:00 PM,C,13
15/06/19 5:27:00 PM,C,12.5
15/06/19 6:27:00 PM,C,12
15/06/19 7:27:00 PM,C,12
15/06/19 8:27:00 PM,C,12
15/06/19 9:27:00 PM,C,12
15/06/19 10:27:00 PM,C,12
15/06/19 11:27:00 PM,C,12
16/06/19 12:27:00 AM,C,12
16/06/19 1:27:00 AM,C,12
16/06/19 2:27:00 AM,C,12.5
16/06/19 3:27:00 AM,C,12.5
16/06/19 4:27:00 AM,C,12.5
16/06/19 5:27:00 AM,C,12.5
16/06/19 6:27:00 AM,C,12.5
16/06/19 7:27:00 AM,C,14.5
16/06/19 8:27:00 AM,C,14.5
16/06/19 9:27:00 AM,C,25.5
16/06/19 10:27:00 AM,C,31
16/06/19 11:27:00 AM,C,35
16/06/19 12:27:00 PM,C,35
16/06/19 1:27:00 PM,C,31
16/06/19 2:27:00 PM,C,27
16/06/19 3:27:00 PM,C,14
16/06/19 4:27:00 PM,C,12.5
16/06/19 5:27:00 PM,C,13
16/06/19 6:27:00 PM,C,12
16/06/19 7:27:00 PM,C,11.5
16/06/19 8:27:00 PM,C,11.5
16/06/19 9:27:00 PM,C,11.5
16/06/19 10:27:00 PM,C,11.5
16/06/19 11:27:00 PM,C,11.5
17/06/19 12:27:00 AM,C,11.5
17/06/19 1:27:00 AM,C,12
17/06/19 2:27:00 AM,C,12
17/06/19 3:27:00 AM,C,12
17/06/19 4:27:00 AM,C,12
17/06/19 5:27:00 AM,C,12
17/06/19 6:27:00 AM,C,11.5
17/06/19 7:27:00 AM,C,13
17/06/19 8:27:00 AM,C,17
17/06/19 9:27:00 AM,C,25.5
17/06/19 10:27:00 AM,C,30
17/06/19 11:27:00 AM,C,30.5
17/06/19 12:27:00 PM,C,31.5
17/06/19 1:27:00 PM,C,33.5
17/06/19 2:27:00 PM,C,33
17/06/19 3:27:00 PM,C,32.5
17/06/19 4:27:00 PM,C,13
17/06/19 5:27:00 PM,C,12.5
17/06/19 6:27:00 PM,C,12.5
17/06/19 7:27:00 PM,C,11.5
17/06/19 8:27:00 PM,C,12
17/06/19 9:27:00 PM,C,12
17/06/19 10:27:00 PM,C,12
17/06/19 11:27:00 PM,C,11.5
18/06/19 12:27:00 AM,C,11.5
18/06/19 1:27:00 AM,C,12
18/06/19 2:27:00 AM,C,12
18/06/19 3:27:00 AM,C,12
18/06/19 4:27:00 AM,C,12
18/06/19 5:27:00 AM,C,12
18/06/19 6:27:00 AM,C,12
18/06/19 7:27:00 AM,C,11.5
18/06/19 8:27:00 AM,C,14.5
18/06/19 9:27:00 AM,C,21
18/06/19 10:27:00 AM,C,23
18/06/19 11:27:00 AM,C,31
18/06/19 12:27:00 PM,C,32
18/06/19 1:27:00 PM,C,32
18/06/19 2:27:00 PM,C,32
18/06/19 3:27:00 PM,C,32.5
18/06/19 4:27:00 PM,C,24.5
18/06/19 5:27:00 PM,C,11.5
18/06/19 6:27:00 PM,C,12
18/06/19 7:27:00 PM,C,12.5
18/06/19 8:27:00 PM,C,11.5
18/06/19 9:27:00 PM,C,12
18/06/19 10:27:00 PM,C,12
18/06/19 11:27:00 PM,C,12
19/06/19 12:27:00 AM,C,12
19/06/19 1:27:00 AM,C,12
19/06/19 2:27:00 AM,C,12.5
19/06/19 3:27:00 AM,C,12.5
19/06/19 4:27:00 AM,C,12.5
19/06/19 5:27:00 AM,C,12.5
19/06/19 6:27:00 AM,C,12
19/06/19 7:27:00 AM,C,12
19/06/19 8:27:00 AM,C,12.5
19/06/19 9:27:00 AM,C,19.5
19/06/19 10:27:00 AM,C,27
19/06/19 11:27:00 AM,C,26
19/06/19 12:27:00 PM,C,29.5
19/06/19 1:27:00 PM,C,19
19/06/19 2:27:00 PM,C,26
19/06/19 3:27:00 PM,C,21
19/06/19 4:27:00 PM,C,21
19/06/19 5:27:00 PM,C,13.5
