1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7A000000510D0E21
Is Mission Active?  true
Mission Start:  Wed Aug 14 13:05:00 EDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1584
Total Samples:  4556
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
14/08/19 1:05:00 PM,C,37.5
14/08/19 2:05:00 PM,C,37.5
14/08/19 3:05:00 PM,C,22
14/08/19 4:05:00 PM,C,13.5
14/08/19 5:05:00 PM,C,13.5
14/08/19 6:05:00 PM,C,12.5
14/08/19 7:05:00 PM,C,12.5
14/08/19 8:05:00 PM,C,13
14/08/19 9:05:00 PM,C,13
14/08/19 10:05:00 PM,C,12.5
14/08/19 11:05:00 PM,C,13
15/08/19 12:05:00 AM,C,13
15/08/19 1:05:00 AM,C,13
15/08/19 2:05:00 AM,C,13
15/08/19 3:05:00 AM,C,13
15/08/19 4:05:00 AM,C,13
15/08/19 5:05:00 AM,C,13
15/08/19 6:05:00 AM,C,13
15/08/19 7:05:00 AM,C,13
15/08/19 8:05:00 AM,C,16
15/08/19 9:05:00 AM,C,23
15/08/19 10:05:00 AM,C,28
15/08/19 11:05:00 AM,C,38
15/08/19 12:05:00 PM,C,37.5
15/08/19 1:05:00 PM,C,38.5
15/08/19 2:05:00 PM,C,38.5
15/08/19 3:05:00 PM,C,33.5
15/08/19 4:05:00 PM,C,13.5
15/08/19 5:05:00 PM,C,12.5
15/08/19 6:05:00 PM,C,13
15/08/19 7:05:00 PM,C,12.5
15/08/19 8:05:00 PM,C,12.5
15/08/19 9:05:00 PM,C,12
15/08/19 10:05:00 PM,C,12.5
15/08/19 11:05:00 PM,C,12.5
16/08/19 12:05:00 AM,C,12.5
16/08/19 1:05:00 AM,C,12.5
16/08/19 2:05:00 AM,C,12.5
16/08/19 3:05:00 AM,C,12.5
16/08/19 4:05:00 AM,C,12.5
16/08/19 5:05:00 AM,C,12.5
16/08/19 6:05:00 AM,C,12.5
16/08/19 7:05:00 AM,C,12.5
16/08/19 8:05:00 AM,C,12.5
16/08/19 9:05:00 AM,C,19
16/08/19 10:05:00 AM,C,22
16/08/19 11:05:00 AM,C,33.5
16/08/19 12:05:00 PM,C,35
16/08/19 1:05:00 PM,C,38.5
16/08/19 2:05:00 PM,C,32
16/08/19 3:05:00 PM,C,26
16/08/19 4:05:00 PM,C,16
16/08/19 5:05:00 PM,C,13.5
16/08/19 6:05:00 PM,C,12.5
16/08/19 7:05:00 PM,C,12
16/08/19 8:05:00 PM,C,12.5
16/08/19 9:05:00 PM,C,12.5
16/08/19 10:05:00 PM,C,13
16/08/19 11:05:00 PM,C,12.5
17/08/19 12:05:00 AM,C,12.5
17/08/19 1:05:00 AM,C,12.5
17/08/19 2:05:00 AM,C,13
17/08/19 3:05:00 AM,C,12.5
17/08/19 4:05:00 AM,C,12.5
17/08/19 5:05:00 AM,C,12.5
17/08/19 6:05:00 AM,C,13
17/08/19 7:05:00 AM,C,13
17/08/19 8:05:00 AM,C,12.5
