1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6F00000050E7A621
Is Mission Active?  true
Mission Start:  Thu Aug 15 13:06:00 EDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1560
Total Samples:  4559
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
15/08/19 1:06:00 PM,C,36.5
15/08/19 2:06:00 PM,C,36
15/08/19 3:06:00 PM,C,31.5
15/08/19 4:06:00 PM,C,14
15/08/19 5:06:00 PM,C,13
15/08/19 6:06:00 PM,C,12.5
15/08/19 7:06:00 PM,C,12.5
15/08/19 8:06:00 PM,C,12.5
15/08/19 9:06:00 PM,C,13
15/08/19 10:06:00 PM,C,13
15/08/19 11:06:00 PM,C,13
16/08/19 12:06:00 AM,C,13
16/08/19 1:06:00 AM,C,13
16/08/19 2:06:00 AM,C,13
16/08/19 3:06:00 AM,C,13
16/08/19 4:06:00 AM,C,13
16/08/19 5:06:00 AM,C,13
16/08/19 6:06:00 AM,C,13
16/08/19 7:06:00 AM,C,13
16/08/19 8:06:00 AM,C,13.5
16/08/19 9:06:00 AM,C,21.5
16/08/19 10:06:00 AM,C,23.5
16/08/19 11:06:00 AM,C,27.5
16/08/19 12:06:00 PM,C,36
16/08/19 1:06:00 PM,C,38.5
16/08/19 2:06:00 PM,C,32.5
16/08/19 3:06:00 PM,C,26
16/08/19 4:06:00 PM,C,18
16/08/19 5:06:00 PM,C,14
16/08/19 6:06:00 PM,C,13
16/08/19 7:06:00 PM,C,12.5
16/08/19 8:06:00 PM,C,12.5
16/08/19 9:06:00 PM,C,13
16/08/19 10:06:00 PM,C,13
16/08/19 11:06:00 PM,C,13
17/08/19 12:06:00 AM,C,13
17/08/19 1:06:00 AM,C,13
17/08/19 2:06:00 AM,C,13
17/08/19 3:06:00 AM,C,13
17/08/19 4:06:00 AM,C,13
17/08/19 5:06:00 AM,C,13
17/08/19 6:06:00 AM,C,13
17/08/19 7:06:00 AM,C,13.5
17/08/19 8:06:00 AM,C,13
17/08/19 9:06:00 AM,C,15
17/08/19 10:06:00 AM,C,17
17/08/19 11:06:00 AM,C,20
17/08/19 12:06:00 PM,C,20.5
17/08/19 1:06:00 PM,C,23
17/08/19 2:06:00 PM,C,21.5
17/08/19 3:06:00 PM,C,24.5
17/08/19 4:06:00 PM,C,20
17/08/19 5:06:00 PM,C,14.5
17/08/19 6:06:00 PM,C,14.5
17/08/19 7:06:00 PM,C,13.5
17/08/19 8:06:00 PM,C,13
17/08/19 9:06:00 PM,C,12.5
17/08/19 10:06:00 PM,C,13
17/08/19 11:06:00 PM,C,13
18/08/19 12:06:00 AM,C,13
18/08/19 1:06:00 AM,C,13
18/08/19 2:06:00 AM,C,12
18/08/19 3:06:00 AM,C,13.5
18/08/19 4:06:00 AM,C,13.5
18/08/19 5:06:00 AM,C,13.5
18/08/19 6:06:00 AM,C,13.5
18/08/19 7:06:00 AM,C,13.5
18/08/19 8:06:00 AM,C,13.5
18/08/19 9:06:00 AM,C,13.5
18/08/19 10:06:00 AM,C,20
18/08/19 11:06:00 AM,C,25
18/08/19 12:06:00 PM,C,24.5
18/08/19 1:06:00 PM,C,29
18/08/19 2:06:00 PM,C,32
18/08/19 3:06:00 PM,C,23.5
18/08/19 4:06:00 PM,C,18.5
18/08/19 5:06:00 PM,C,14
18/08/19 6:06:00 PM,C,14
18/08/19 7:06:00 PM,C,14
18/08/19 8:06:00 PM,C,13.5
18/08/19 9:06:00 PM,C,13
18/08/19 10:06:00 PM,C,13.5
18/08/19 11:06:00 PM,C,13
19/08/19 12:06:00 AM,C,13.5
19/08/19 1:06:00 AM,C,12.5
19/08/19 2:06:00 AM,C,11.5
19/08/19 3:06:00 AM,C,12
19/08/19 4:06:00 AM,C,13
19/08/19 5:06:00 AM,C,13.5
19/08/19 6:06:00 AM,C,13
19/08/19 7:06:00 AM,C,13
19/08/19 8:06:00 AM,C,13.5
19/08/19 9:06:00 AM,C,13.5
19/08/19 10:06:00 AM,C,14
19/08/19 11:06:00 AM,C,22.5
19/08/19 12:06:00 PM,C,22.5
19/08/19 1:06:00 PM,C,26
19/08/19 2:06:00 PM,C,24.5
19/08/19 3:06:00 PM,C,23
19/08/19 4:06:00 PM,C,21
19/08/19 5:06:00 PM,C,14.5
19/08/19 6:06:00 PM,C,13
19/08/19 7:06:00 PM,C,13.5
19/08/19 8:06:00 PM,C,13.5
19/08/19 9:06:00 PM,C,13
19/08/19 10:06:00 PM,C,12.5
19/08/19 11:06:00 PM,C,13
20/08/19 12:06:00 AM,C,13
20/08/19 1:06:00 AM,C,11
20/08/19 2:06:00 AM,C,10.5
20/08/19 3:06:00 AM,C,10.5
20/08/19 4:06:00 AM,C,10.5
20/08/19 5:06:00 AM,C,11.5
20/08/19 6:06:00 AM,C,12.5
20/08/19 7:06:00 AM,C,13
20/08/19 8:06:00 AM,C,13
20/08/19 9:06:00 AM,C,13.5
20/08/19 10:06:00 AM,C,13.5
20/08/19 11:06:00 AM,C,16
20/08/19 12:06:00 PM,C,24.5
20/08/19 1:06:00 PM,C,22.5
20/08/19 2:06:00 PM,C,23
20/08/19 3:06:00 PM,C,20.5
20/08/19 4:06:00 PM,C,18.5
20/08/19 5:06:00 PM,C,18
20/08/19 6:06:00 PM,C,14
20/08/19 7:06:00 PM,C,13.5
20/08/19 8:06:00 PM,C,13.5
20/08/19 9:06:00 PM,C,13.5
20/08/19 10:06:00 PM,C,12.5
20/08/19 11:06:00 PM,C,12.5
21/08/19 12:06:00 AM,C,12.5
21/08/19 1:06:00 AM,C,13
21/08/19 2:06:00 AM,C,13.5
21/08/19 3:06:00 AM,C,14
21/08/19 4:06:00 AM,C,14
21/08/19 5:06:00 AM,C,14
21/08/19 6:06:00 AM,C,14
21/08/19 7:06:00 AM,C,15
21/08/19 8:06:00 AM,C,13
21/08/19 9:06:00 AM,C,13
21/08/19 10:06:00 AM,C,13
21/08/19 11:06:00 AM,C,13
21/08/19 12:06:00 PM,C,13
21/08/19 1:06:00 PM,C,15
21/08/19 2:06:00 PM,C,17
21/08/19 3:06:00 PM,C,17
21/08/19 4:06:00 PM,C,16
21/08/19 5:06:00 PM,C,14
21/08/19 6:06:00 PM,C,14
21/08/19 7:06:00 PM,C,14
21/08/19 8:06:00 PM,C,14
21/08/19 9:06:00 PM,C,13
21/08/19 10:06:00 PM,C,13
21/08/19 11:06:00 PM,C,12.5
22/08/19 12:06:00 AM,C,13
22/08/19 1:06:00 AM,C,13
22/08/19 2:06:00 AM,C,11.5
22/08/19 3:06:00 AM,C,11.5
22/08/19 4:06:00 AM,C,11.5
22/08/19 5:06:00 AM,C,11.5
22/08/19 6:06:00 AM,C,11.5
22/08/19 7:06:00 AM,C,16
22/08/19 8:06:00 AM,C,17
22/08/19 9:06:00 AM,C,15
22/08/19 10:06:00 AM,C,12.5
22/08/19 11:06:00 AM,C,13
22/08/19 12:06:00 PM,C,13
22/08/19 1:06:00 PM,C,13
22/08/19 2:06:00 PM,C,14
22/08/19 3:06:00 PM,C,14.5
22/08/19 4:06:00 PM,C,14
22/08/19 5:06:00 PM,C,15
22/08/19 6:06:00 PM,C,15
22/08/19 7:06:00 PM,C,15
22/08/19 8:06:00 PM,C,15
22/08/19 9:06:00 PM,C,14
22/08/19 10:06:00 PM,C,14
22/08/19 11:06:00 PM,C,14
23/08/19 12:06:00 AM,C,13.5
23/08/19 1:06:00 AM,C,13.5
23/08/19 2:06:00 AM,C,12.5
23/08/19 3:06:00 AM,C,12
23/08/19 4:06:00 AM,C,11.5
23/08/19 5:06:00 AM,C,11.5
23/08/19 6:06:00 AM,C,12
23/08/19 7:06:00 AM,C,13
23/08/19 8:06:00 AM,C,13
23/08/19 9:06:00 AM,C,14.5
