1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 690000005101AC21
Is Mission Active?  true
Mission Start:  Thu Aug 15 10:05:00 EDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1563
Total Samples:  4557
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
15/08/19 10:05:00 AM,C,23
15/08/19 11:05:00 AM,C,25
15/08/19 12:05:00 PM,C,31
15/08/19 1:05:00 PM,C,34.5
15/08/19 2:05:00 PM,C,35
15/08/19 3:05:00 PM,C,34.5
15/08/19 4:05:00 PM,C,22
15/08/19 5:05:00 PM,C,13
15/08/19 6:05:00 PM,C,13
15/08/19 7:05:00 PM,C,12.5
15/08/19 8:05:00 PM,C,12
15/08/19 9:05:00 PM,C,12
15/08/19 10:05:00 PM,C,12.5
15/08/19 11:05:00 PM,C,12.5
16/08/19 12:05:00 AM,C,12.5
16/08/19 1:05:00 AM,C,12.5
16/08/19 2:05:00 AM,C,12.5
16/08/19 3:05:00 AM,C,12.5
16/08/19 4:05:00 AM,C,12.5
16/08/19 5:05:00 AM,C,12.5
16/08/19 6:05:00 AM,C,12.5
16/08/19 7:05:00 AM,C,12.5
16/08/19 8:05:00 AM,C,14.5
16/08/19 9:05:00 AM,C,19
16/08/19 10:05:00 AM,C,21
16/08/19 11:05:00 AM,C,23.5
16/08/19 12:05:00 PM,C,30
16/08/19 1:05:00 PM,C,34
16/08/19 2:05:00 PM,C,30.5
16/08/19 3:05:00 PM,C,26
16/08/19 4:05:00 PM,C,25.5
16/08/19 5:05:00 PM,C,14
16/08/19 6:05:00 PM,C,12.5
16/08/19 7:05:00 PM,C,12.5
16/08/19 8:05:00 PM,C,12
16/08/19 9:05:00 PM,C,12.5
16/08/19 10:05:00 PM,C,12.5
16/08/19 11:05:00 PM,C,12.5
17/08/19 12:05:00 AM,C,12.5
17/08/19 1:05:00 AM,C,12.5
17/08/19 2:05:00 AM,C,13
17/08/19 3:05:00 AM,C,13
17/08/19 4:05:00 AM,C,13
17/08/19 5:05:00 AM,C,12.5
17/08/19 6:05:00 AM,C,13
17/08/19 7:05:00 AM,C,13
17/08/19 8:05:00 AM,C,13
17/08/19 9:05:00 AM,C,15
17/08/19 10:05:00 AM,C,17.5
17/08/19 11:05:00 AM,C,19
17/08/19 12:05:00 PM,C,20
17/08/19 1:05:00 PM,C,22
17/08/19 2:05:00 PM,C,23.5
17/08/19 3:05:00 PM,C,26
17/08/19 4:05:00 PM,C,27
17/08/19 5:05:00 PM,C,15
17/08/19 6:05:00 PM,C,14
17/08/19 7:05:00 PM,C,13.5
17/08/19 8:05:00 PM,C,13
17/08/19 9:05:00 PM,C,12.5
17/08/19 10:05:00 PM,C,12.5
17/08/19 11:05:00 PM,C,12.5
18/08/19 12:05:00 AM,C,12
18/08/19 1:05:00 AM,C,11.5
18/08/19 2:05:00 AM,C,11.5
18/08/19 3:05:00 AM,C,12.5
18/08/19 4:05:00 AM,C,12.5
18/08/19 5:05:00 AM,C,13
18/08/19 6:05:00 AM,C,13
18/08/19 7:05:00 AM,C,13
18/08/19 8:05:00 AM,C,13
18/08/19 9:05:00 AM,C,14.5
18/08/19 10:05:00 AM,C,20
18/08/19 11:05:00 AM,C,23
18/08/19 12:05:00 PM,C,24
18/08/19 1:05:00 PM,C,32
18/08/19 2:05:00 PM,C,32.5
18/08/19 3:05:00 PM,C,31
18/08/19 4:05:00 PM,C,28
18/08/19 5:05:00 PM,C,15
18/08/19 6:05:00 PM,C,14
18/08/19 7:05:00 PM,C,13.5
18/08/19 8:05:00 PM,C,13.5
18/08/19 9:05:00 PM,C,13
18/08/19 10:05:00 PM,C,13
18/08/19 11:05:00 PM,C,13
19/08/19 12:05:00 AM,C,13
19/08/19 1:05:00 AM,C,11.5
19/08/19 2:05:00 AM,C,11.5
19/08/19 3:05:00 AM,C,11.5
19/08/19 4:05:00 AM,C,11.5
19/08/19 5:05:00 AM,C,13
19/08/19 6:05:00 AM,C,13
19/08/19 7:05:00 AM,C,13
19/08/19 8:05:00 AM,C,13
19/08/19 9:05:00 AM,C,13
19/08/19 10:05:00 AM,C,16
19/08/19 11:05:00 AM,C,22
19/08/19 12:05:00 PM,C,22
19/08/19 1:05:00 PM,C,30
19/08/19 2:05:00 PM,C,31.5
19/08/19 3:05:00 PM,C,31
19/08/19 4:05:00 PM,C,24
19/08/19 5:05:00 PM,C,25.5
19/08/19 6:05:00 PM,C,13
19/08/19 7:05:00 PM,C,13
19/08/19 8:05:00 PM,C,13
19/08/19 9:05:00 PM,C,12.5
19/08/19 10:05:00 PM,C,12.5
19/08/19 11:05:00 PM,C,12.5
20/08/19 12:05:00 AM,C,12
20/08/19 1:05:00 AM,C,11
20/08/19 2:05:00 AM,C,11
20/08/19 3:05:00 AM,C,11
20/08/19 4:05:00 AM,C,10.5
20/08/19 5:05:00 AM,C,11
20/08/19 6:05:00 AM,C,10.5
20/08/19 7:05:00 AM,C,13
20/08/19 8:05:00 AM,C,13
20/08/19 9:05:00 AM,C,13
20/08/19 10:05:00 AM,C,13.5
20/08/19 11:05:00 AM,C,18.5
20/08/19 12:05:00 PM,C,23
20/08/19 1:05:00 PM,C,22.5
20/08/19 2:05:00 PM,C,27.5
20/08/19 3:05:00 PM,C,21.5
20/08/19 4:05:00 PM,C,20.5
20/08/19 5:05:00 PM,C,19.5
20/08/19 6:05:00 PM,C,13.5
20/08/19 7:05:00 PM,C,13.5
20/08/19 8:05:00 PM,C,13.5
20/08/19 9:05:00 PM,C,13.5
20/08/19 10:05:00 PM,C,12.5
20/08/19 11:05:00 PM,C,12
21/08/19 12:05:00 AM,C,12.5
21/08/19 1:05:00 AM,C,13
21/08/19 2:05:00 AM,C,13.5
21/08/19 3:05:00 AM,C,13.5
