1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: BA000000510FCA21
Is Mission Active?  true
Mission Start:  Wed Jun 05 18:10:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1695
Total Samples:  2993
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 6:10:00 PM,C,19.5
05/06/19 7:10:00 PM,C,20
05/06/19 8:10:00 PM,C,19
05/06/19 9:10:00 PM,C,18
05/06/19 10:10:00 PM,C,17.5
05/06/19 11:10:00 PM,C,16.5
06/06/19 12:10:00 AM,C,16
06/06/19 1:10:00 AM,C,15.5
06/06/19 2:10:00 AM,C,15.5
06/06/19 3:10:00 AM,C,15
06/06/19 4:10:00 AM,C,14.5
06/06/19 5:10:00 AM,C,14.5
06/06/19 6:10:00 AM,C,14.5
06/06/19 7:10:00 AM,C,14.5
06/06/19 8:10:00 AM,C,13.5
06/06/19 9:10:00 AM,C,15
06/06/19 10:10:00 AM,C,15.5
06/06/19 11:10:00 AM,C,23.5
06/06/19 12:10:00 PM,C,20
06/06/19 1:10:00 PM,C,20
06/06/19 2:10:00 PM,C,18
06/06/19 3:10:00 PM,C,18.5
06/06/19 4:10:00 PM,C,23
06/06/19 5:10:00 PM,C,18
06/06/19 6:10:00 PM,C,15
06/06/19 7:10:00 PM,C,11.5
06/06/19 8:10:00 PM,C,11
06/06/19 9:10:00 PM,C,11
06/06/19 10:10:00 PM,C,10.5
06/06/19 11:10:00 PM,C,11
07/06/19 12:10:00 AM,C,11
07/06/19 1:10:00 AM,C,11
07/06/19 2:10:00 AM,C,11
07/06/19 3:10:00 AM,C,11
07/06/19 4:10:00 AM,C,10.5
07/06/19 5:10:00 AM,C,11
07/06/19 6:10:00 AM,C,11
07/06/19 7:10:00 AM,C,11
07/06/19 8:10:00 AM,C,11.5
07/06/19 9:10:00 AM,C,12
07/06/19 10:10:00 AM,C,15.5
07/06/19 11:10:00 AM,C,24
07/06/19 12:10:00 PM,C,22.5
07/06/19 1:10:00 PM,C,23
07/06/19 2:10:00 PM,C,28
07/06/19 3:10:00 PM,C,27.5
07/06/19 4:10:00 PM,C,23.5
07/06/19 5:10:00 PM,C,18
07/06/19 6:10:00 PM,C,15
07/06/19 7:10:00 PM,C,12
07/06/19 8:10:00 PM,C,11.5
07/06/19 9:10:00 PM,C,10.5
07/06/19 10:10:00 PM,C,11
07/06/19 11:10:00 PM,C,11
08/06/19 12:10:00 AM,C,10.5
08/06/19 1:10:00 AM,C,11
08/06/19 2:10:00 AM,C,11
08/06/19 3:10:00 AM,C,11
08/06/19 4:10:00 AM,C,11
08/06/19 5:10:00 AM,C,11
08/06/19 6:10:00 AM,C,11
08/06/19 7:10:00 AM,C,11
08/06/19 8:10:00 AM,C,11.5
08/06/19 9:10:00 AM,C,11.5
08/06/19 10:10:00 AM,C,20
08/06/19 11:10:00 AM,C,29
08/06/19 12:10:00 PM,C,32.5
08/06/19 1:10:00 PM,C,32.5
08/06/19 2:10:00 PM,C,32.5
08/06/19 3:10:00 PM,C,30.5
08/06/19 4:10:00 PM,C,28
08/06/19 5:10:00 PM,C,24
08/06/19 6:10:00 PM,C,18.5
08/06/19 7:10:00 PM,C,15
08/06/19 8:10:00 PM,C,11.5
08/06/19 9:10:00 PM,C,12
08/06/19 10:10:00 PM,C,11.5
08/06/19 11:10:00 PM,C,11.5
09/06/19 12:10:00 AM,C,11
09/06/19 1:10:00 AM,C,11
09/06/19 2:10:00 AM,C,11
09/06/19 3:10:00 AM,C,11
09/06/19 4:10:00 AM,C,8
09/06/19 5:10:00 AM,C,7.5
09/06/19 6:10:00 AM,C,10
09/06/19 7:10:00 AM,C,16.5
09/06/19 8:10:00 AM,C,13.5
09/06/19 9:10:00 AM,C,15
09/06/19 10:10:00 AM,C,12
