1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: CC0000002225C421
Is Mission Active?  true
Mission Start:  Sat Mar 14 18:01:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1983
Total Samples:  2767926
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Jun 07 00:00:00 PDT 2020
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
14/03/20 6:01:00 PM,C,4.5
14/03/20 7:01:00 PM,C,3
14/03/20 8:01:00 PM,C,7.5
14/03/20 9:01:00 PM,C,7.5
14/03/20 10:01:00 PM,C,7.5
14/03/20 11:01:00 PM,C,7.5
15/03/20 12:01:00 AM,C,7.5
15/03/20 1:01:00 AM,C,7.5
15/03/20 2:01:00 AM,C,7.5
15/03/20 3:01:00 AM,C,7.5
15/03/20 4:01:00 AM,C,7.5
15/03/20 5:01:00 AM,C,7.5
15/03/20 6:01:00 AM,C,7.5
15/03/20 7:01:00 AM,C,7.5
15/03/20 8:01:00 AM,C,7.5
15/03/20 9:01:00 AM,C,7.5
15/03/20 10:01:00 AM,C,7.5
15/03/20 11:01:00 AM,C,8
15/03/20 12:01:00 PM,C,8
15/03/20 1:01:00 PM,C,9
15/03/20 2:01:00 PM,C,11.5
15/03/20 3:01:00 PM,C,11
15/03/20 4:01:00 PM,C,6
15/03/20 5:01:00 PM,C,5
15/03/20 6:01:00 PM,C,4
15/03/20 7:01:00 PM,C,3
15/03/20 8:01:00 PM,C,2
15/03/20 9:01:00 PM,C,1.5
15/03/20 10:01:00 PM,C,7
15/03/20 11:01:00 PM,C,7.5
16/03/20 12:01:00 AM,C,7.5
16/03/20 1:01:00 AM,C,7.5
16/03/20 2:01:00 AM,C,7.5
16/03/20 3:01:00 AM,C,7.5
16/03/20 4:01:00 AM,C,7.5
16/03/20 5:01:00 AM,C,7.5
16/03/20 6:01:00 AM,C,7.5
16/03/20 7:01:00 AM,C,7.5
16/03/20 8:01:00 AM,C,7.5
16/03/20 9:01:00 AM,C,7.5
16/03/20 10:01:00 AM,C,8
16/03/20 11:01:00 AM,C,8
16/03/20 12:01:00 PM,C,8
16/03/20 1:01:00 PM,C,11
16/03/20 2:01:00 PM,C,14
16/03/20 3:01:00 PM,C,12
16/03/20 4:01:00 PM,C,8.5
16/03/20 5:01:00 PM,C,7
16/03/20 6:01:00 PM,C,5.5
16/03/20 7:01:00 PM,C,4
16/03/20 8:01:00 PM,C,2.5
16/03/20 9:01:00 PM,C,2
16/03/20 10:01:00 PM,C,1.5
16/03/20 11:01:00 PM,C,5.5
17/03/20 12:01:00 AM,C,7.5
17/03/20 1:01:00 AM,C,7.5
17/03/20 2:01:00 AM,C,8
17/03/20 3:01:00 AM,C,8
17/03/20 4:01:00 AM,C,8
17/03/20 5:01:00 AM,C,7.5
17/03/20 6:01:00 AM,C,7.5
17/03/20 7:01:00 AM,C,7.5
17/03/20 8:01:00 AM,C,7.5
17/03/20 9:01:00 AM,C,8
17/03/20 10:01:00 AM,C,8
17/03/20 11:01:00 AM,C,8
17/03/20 12:01:00 PM,C,8
17/03/20 1:01:00 PM,C,8
17/03/20 2:01:00 PM,C,12
17/03/20 3:01:00 PM,C,12
17/03/20 4:01:00 PM,C,9.5
17/03/20 5:01:00 PM,C,7.5
17/03/20 6:01:00 PM,C,6.5
17/03/20 7:01:00 PM,C,4.5
17/03/20 8:01:00 PM,C,3
17/03/20 9:01:00 PM,C,2.5
17/03/20 10:01:00 PM,C,2
17/03/20 11:01:00 PM,C,2.5
18/03/20 12:01:00 AM,C,7.5
18/03/20 1:01:00 AM,C,7.5
18/03/20 2:01:00 AM,C,7.5
18/03/20 3:01:00 AM,C,8
18/03/20 4:01:00 AM,C,8
18/03/20 5:01:00 AM,C,7.5
18/03/20 6:01:00 AM,C,7.5
18/03/20 7:01:00 AM,C,7.5
18/03/20 8:01:00 AM,C,7.5
18/03/20 9:01:00 AM,C,8
18/03/20 10:01:00 AM,C,8
18/03/20 11:01:00 AM,C,8.5
18/03/20 12:01:00 PM,C,8.5
18/03/20 1:01:00 PM,C,8.5
18/03/20 2:01:00 PM,C,8.5
18/03/20 3:01:00 PM,C,12.5
18/03/20 4:01:00 PM,C,9.5
18/03/20 5:01:00 PM,C,7.5
18/03/20 6:01:00 PM,C,6.5
18/03/20 7:01:00 PM,C,5
18/03/20 8:01:00 PM,C,3.5
18/03/20 9:01:00 PM,C,3
18/03/20 10:01:00 PM,C,3
18/03/20 11:01:00 PM,C,3
19/03/20 12:01:00 AM,C,2.5
19/03/20 1:01:00 AM,C,7.5
19/03/20 2:01:00 AM,C,8
19/03/20 3:01:00 AM,C,7.5
19/03/20 4:01:00 AM,C,8
19/03/20 5:01:00 AM,C,8
19/03/20 6:01:00 AM,C,8
19/03/20 7:01:00 AM,C,8
19/03/20 8:01:00 AM,C,8
19/03/20 9:01:00 AM,C,8
19/03/20 10:01:00 AM,C,8
19/03/20 11:01:00 AM,C,8
19/03/20 12:01:00 PM,C,8.5
19/03/20 1:01:00 PM,C,8.5
19/03/20 2:01:00 PM,C,8.5
19/03/20 3:01:00 PM,C,8.5
19/03/20 4:01:00 PM,C,8.5
19/03/20 5:01:00 PM,C,8
19/03/20 6:01:00 PM,C,6
19/03/20 7:01:00 PM,C,5
19/03/20 8:01:00 PM,C,3.5
19/03/20 9:01:00 PM,C,3
19/03/20 10:01:00 PM,C,3
19/03/20 11:01:00 PM,C,2.5
20/03/20 12:01:00 AM,C,2
20/03/20 1:01:00 AM,C,1.5
20/03/20 2:01:00 AM,C,7.5
20/03/20 3:01:00 AM,C,8
20/03/20 4:01:00 AM,C,7.5
20/03/20 5:01:00 AM,C,8
20/03/20 6:01:00 AM,C,8
20/03/20 7:01:00 AM,C,8
20/03/20 8:01:00 AM,C,8
20/03/20 9:01:00 AM,C,8
20/03/20 10:01:00 AM,C,11.5
20/03/20 11:01:00 AM,C,13
20/03/20 12:01:00 PM,C,9
20/03/20 1:01:00 PM,C,9
20/03/20 2:01:00 PM,C,9
20/03/20 3:01:00 PM,C,8.5
20/03/20 4:01:00 PM,C,8.5
20/03/20 5:01:00 PM,C,8
20/03/20 6:01:00 PM,C,7
20/03/20 7:01:00 PM,C,5.5
20/03/20 8:01:00 PM,C,4.5
20/03/20 9:01:00 PM,C,4
20/03/20 10:01:00 PM,C,3.5
20/03/20 11:01:00 PM,C,3.5
21/03/20 12:01:00 AM,C,3
21/03/20 1:01:00 AM,C,2.5
21/03/20 2:01:00 AM,C,5
21/03/20 3:01:00 AM,C,8
21/03/20 4:01:00 AM,C,8
21/03/20 5:01:00 AM,C,8
21/03/20 6:01:00 AM,C,8
21/03/20 7:01:00 AM,C,8
21/03/20 8:01:00 AM,C,8
21/03/20 9:01:00 AM,C,8.5
21/03/20 10:01:00 AM,C,14
21/03/20 11:01:00 AM,C,15
21/03/20 12:01:00 PM,C,14.5
21/03/20 1:01:00 PM,C,9.5
21/03/20 2:01:00 PM,C,9
21/03/20 3:01:00 PM,C,9
21/03/20 4:01:00 PM,C,8.5
21/03/20 5:01:00 PM,C,8
21/03/20 6:01:00 PM,C,7
21/03/20 7:01:00 PM,C,6
21/03/20 8:01:00 PM,C,4
21/03/20 9:01:00 PM,C,3.5
21/03/20 10:01:00 PM,C,3.5
21/03/20 11:01:00 PM,C,3
22/03/20 12:01:00 AM,C,3
22/03/20 1:01:00 AM,C,2.5
22/03/20 2:01:00 AM,C,2.5
22/03/20 3:01:00 AM,C,7.5
22/03/20 4:01:00 AM,C,8
22/03/20 5:01:00 AM,C,8
22/03/20 6:01:00 AM,C,8
22/03/20 7:01:00 AM,C,8
22/03/20 8:01:00 AM,C,8
22/03/20 9:01:00 AM,C,8
22/03/20 10:01:00 AM,C,8
22/03/20 11:01:00 AM,C,8.5
22/03/20 12:01:00 PM,C,9.5
22/03/20 1:01:00 PM,C,8.5
22/03/20 2:01:00 PM,C,8.5
22/03/20 3:01:00 PM,C,8
22/03/20 4:01:00 PM,C,8.5
22/03/20 5:01:00 PM,C,8.5
22/03/20 6:01:00 PM,C,8
22/03/20 7:01:00 PM,C,8
22/03/20 8:01:00 PM,C,6
22/03/20 9:01:00 PM,C,5
22/03/20 10:01:00 PM,C,5
22/03/20 11:01:00 PM,C,5
23/03/20 12:01:00 AM,C,5
23/03/20 1:01:00 AM,C,4
23/03/20 2:01:00 AM,C,4
23/03/20 3:01:00 AM,C,7.5
23/03/20 4:01:00 AM,C,8
23/03/20 5:01:00 AM,C,8
23/03/20 6:01:00 AM,C,8
23/03/20 7:01:00 AM,C,8
23/03/20 8:01:00 AM,C,8
23/03/20 9:01:00 AM,C,8
23/03/20 10:01:00 AM,C,9.5
23/03/20 11:01:00 AM,C,15.5
23/03/20 12:01:00 PM,C,19.5
23/03/20 1:01:00 PM,C,15.5
23/03/20 2:01:00 PM,C,11
23/03/20 3:01:00 PM,C,8.5
23/03/20 4:01:00 PM,C,8.5
23/03/20 5:01:00 PM,C,8.5
23/03/20 6:01:00 PM,C,8
23/03/20 7:01:00 PM,C,8
23/03/20 8:01:00 PM,C,8
23/03/20 9:01:00 PM,C,6
23/03/20 10:01:00 PM,C,6
23/03/20 11:01:00 PM,C,5.5
24/03/20 12:01:00 AM,C,4.5
24/03/20 1:01:00 AM,C,3
24/03/20 2:01:00 AM,C,3
24/03/20 3:01:00 AM,C,4.5
24/03/20 4:01:00 AM,C,8
24/03/20 5:01:00 AM,C,8
24/03/20 6:01:00 AM,C,8
24/03/20 7:01:00 AM,C,8
