1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1100000050FA0021
Is Mission Active?  true
Mission Start:  Wed Aug 19 09:02:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  621
Total Samples:  11125
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
19/08/20 9:02:00 AM,C,20
19/08/20 10:02:00 AM,C,24.5
19/08/20 11:02:00 AM,C,25.5
19/08/20 12:02:00 PM,C,26.5
19/08/20 1:02:00 PM,C,27.5
19/08/20 2:02:00 PM,C,26.5
19/08/20 3:02:00 PM,C,25
19/08/20 4:02:00 PM,C,23
19/08/20 5:02:00 PM,C,13.5
19/08/20 6:02:00 PM,C,14
19/08/20 7:02:00 PM,C,13
19/08/20 8:02:00 PM,C,12.5
19/08/20 9:02:00 PM,C,12.5
19/08/20 10:02:00 PM,C,12.5
19/08/20 11:02:00 PM,C,12.5
20/08/20 12:02:00 AM,C,13
20/08/20 1:02:00 AM,C,13.5
20/08/20 2:02:00 AM,C,13
20/08/20 3:02:00 AM,C,13
20/08/20 4:02:00 AM,C,12.5
20/08/20 5:02:00 AM,C,13
20/08/20 6:02:00 AM,C,13
20/08/20 7:02:00 AM,C,12.5
20/08/20 8:02:00 AM,C,13
20/08/20 9:02:00 AM,C,16.5
20/08/20 10:02:00 AM,C,16.5
20/08/20 11:02:00 AM,C,18.5
20/08/20 12:02:00 PM,C,20.5
20/08/20 1:02:00 PM,C,23.5
20/08/20 2:02:00 PM,C,23
20/08/20 3:02:00 PM,C,22
20/08/20 4:02:00 PM,C,19
20/08/20 5:02:00 PM,C,13
20/08/20 6:02:00 PM,C,13.5
20/08/20 7:02:00 PM,C,13
20/08/20 8:02:00 PM,C,12.5
20/08/20 9:02:00 PM,C,12.5
20/08/20 10:02:00 PM,C,12.5
20/08/20 11:02:00 PM,C,12.5
21/08/20 12:02:00 AM,C,13
21/08/20 1:02:00 AM,C,13.5
21/08/20 2:02:00 AM,C,13.5
21/08/20 3:02:00 AM,C,12.5
21/08/20 4:02:00 AM,C,12.5
21/08/20 5:02:00 AM,C,12.5
