1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8D00000050F6FA21
Is Mission Active?  true
Mission Start:  Wed Jun 05 20:03:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1694
Total Samples:  2993
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 8:03:00 PM,C,17
05/06/19 9:03:00 PM,C,16.5
05/06/19 10:03:00 PM,C,16
05/06/19 11:03:00 PM,C,16
06/06/19 12:03:00 AM,C,15.5
06/06/19 1:03:00 AM,C,15
06/06/19 2:03:00 AM,C,15
06/06/19 3:03:00 AM,C,15
06/06/19 4:03:00 AM,C,14.5
06/06/19 5:03:00 AM,C,14
06/06/19 6:03:00 AM,C,14.5
06/06/19 7:03:00 AM,C,14
06/06/19 8:03:00 AM,C,13.5
06/06/19 9:03:00 AM,C,14.5
06/06/19 10:03:00 AM,C,14.5
06/06/19 11:03:00 AM,C,20.5
06/06/19 12:03:00 PM,C,19
06/06/19 1:03:00 PM,C,31
06/06/19 2:03:00 PM,C,18
06/06/19 3:03:00 PM,C,15
06/06/19 4:03:00 PM,C,17.5
06/06/19 5:03:00 PM,C,16
06/06/19 6:03:00 PM,C,17.5
06/06/19 7:03:00 PM,C,11.5
06/06/19 8:03:00 PM,C,11
06/06/19 9:03:00 PM,C,10.5
06/06/19 10:03:00 PM,C,10.5
06/06/19 11:03:00 PM,C,10.5
07/06/19 12:03:00 AM,C,10.5
07/06/19 1:03:00 AM,C,10.5
07/06/19 2:03:00 AM,C,10.5
07/06/19 3:03:00 AM,C,10.5
07/06/19 4:03:00 AM,C,10.5
07/06/19 5:03:00 AM,C,11
07/06/19 6:03:00 AM,C,11
07/06/19 7:03:00 AM,C,10.5
07/06/19 8:03:00 AM,C,11
07/06/19 9:03:00 AM,C,11.5
07/06/19 10:03:00 AM,C,15
07/06/19 11:03:00 AM,C,19
07/06/19 12:03:00 PM,C,23.5
07/06/19 1:03:00 PM,C,21.5
07/06/19 2:03:00 PM,C,24.5
07/06/19 3:03:00 PM,C,26
07/06/19 4:03:00 PM,C,24
07/06/19 5:03:00 PM,C,19
07/06/19 6:03:00 PM,C,16
07/06/19 7:03:00 PM,C,12.5
07/06/19 8:03:00 PM,C,11
07/06/19 9:03:00 PM,C,10.5
07/06/19 10:03:00 PM,C,10.5
07/06/19 11:03:00 PM,C,10.5
08/06/19 12:03:00 AM,C,10.5
08/06/19 1:03:00 AM,C,10.5
08/06/19 2:03:00 AM,C,10.5
08/06/19 3:03:00 AM,C,10.5
08/06/19 4:03:00 AM,C,10.5
08/06/19 5:03:00 AM,C,11
08/06/19 6:03:00 AM,C,11
08/06/19 7:03:00 AM,C,11
08/06/19 8:03:00 AM,C,11
08/06/19 9:03:00 AM,C,11
08/06/19 10:03:00 AM,C,14.5
08/06/19 11:03:00 AM,C,30
08/06/19 12:03:00 PM,C,32
08/06/19 1:03:00 PM,C,33.5
08/06/19 2:03:00 PM,C,33.5
08/06/19 3:03:00 PM,C,30.5
08/06/19 4:03:00 PM,C,28
08/06/19 5:03:00 PM,C,23.5
08/06/19 6:03:00 PM,C,18.5
08/06/19 7:03:00 PM,C,15
08/06/19 8:03:00 PM,C,12
08/06/19 9:03:00 PM,C,11.5
08/06/19 10:03:00 PM,C,11.5
08/06/19 11:03:00 PM,C,11
09/06/19 12:03:00 AM,C,11
09/06/19 1:03:00 AM,C,10.5
09/06/19 2:03:00 AM,C,10.5
09/06/19 3:03:00 AM,C,10.5
09/06/19 4:03:00 AM,C,8
09/06/19 5:03:00 AM,C,7
09/06/19 6:03:00 AM,C,9
09/06/19 7:03:00 AM,C,14.5
09/06/19 8:03:00 AM,C,12.5
09/06/19 9:03:00 AM,C,14.5
09/06/19 10:03:00 AM,C,16
09/06/19 11:03:00 AM,C,19.5
09/06/19 12:03:00 PM,C,27.5
09/06/19 1:03:00 PM,C,30
09/06/19 2:03:00 PM,C,30
09/06/19 3:03:00 PM,C,22
09/06/19 4:03:00 PM,C,22
09/06/19 5:03:00 PM,C,24.5
09/06/19 6:03:00 PM,C,20.5
09/06/19 7:03:00 PM,C,17
09/06/19 8:03:00 PM,C,16
09/06/19 9:03:00 PM,C,12
09/06/19 10:03:00 PM,C,11.5
09/06/19 11:03:00 PM,C,11
10/06/19 12:03:00 AM,C,11
10/06/19 1:03:00 AM,C,11
10/06/19 2:03:00 AM,C,10.5
10/06/19 3:03:00 AM,C,10.5
10/06/19 4:03:00 AM,C,9.5
10/06/19 5:03:00 AM,C,9
10/06/19 6:03:00 AM,C,10
10/06/19 7:03:00 AM,C,12.5
10/06/19 8:03:00 AM,C,14
10/06/19 9:03:00 AM,C,14
10/06/19 10:03:00 AM,C,18
10/06/19 11:03:00 AM,C,32
10/06/19 12:03:00 PM,C,31.5
10/06/19 1:03:00 PM,C,34.5
10/06/19 2:03:00 PM,C,32.5
10/06/19 3:03:00 PM,C,32
10/06/19 4:03:00 PM,C,31.5
10/06/19 5:03:00 PM,C,27
10/06/19 6:03:00 PM,C,22
10/06/19 7:03:00 PM,C,16.5
10/06/19 8:03:00 PM,C,15.5
10/06/19 9:03:00 PM,C,13.5
10/06/19 10:03:00 PM,C,12
10/06/19 11:03:00 PM,C,11.5
11/06/19 12:03:00 AM,C,11.5
11/06/19 1:03:00 AM,C,11
11/06/19 2:03:00 AM,C,11
11/06/19 3:03:00 AM,C,11
11/06/19 4:03:00 AM,C,10
11/06/19 5:03:00 AM,C,10
11/06/19 6:03:00 AM,C,12.5
11/06/19 7:03:00 AM,C,17
11/06/19 8:03:00 AM,C,23
11/06/19 9:03:00 AM,C,27.5
11/06/19 10:03:00 AM,C,32
11/06/19 11:03:00 AM,C,33
11/06/19 12:03:00 PM,C,32
11/06/19 1:03:00 PM,C,32
11/06/19 2:03:00 PM,C,32.5
11/06/19 3:03:00 PM,C,32
11/06/19 4:03:00 PM,C,31
11/06/19 5:03:00 PM,C,28.5
11/06/19 6:03:00 PM,C,24
11/06/19 7:03:00 PM,C,20.5
11/06/19 8:03:00 PM,C,18
11/06/19 9:03:00 PM,C,17
11/06/19 10:03:00 PM,C,12
11/06/19 11:03:00 PM,C,12
12/06/19 12:03:00 AM,C,11.5
12/06/19 1:03:00 AM,C,11.5
12/06/19 2:03:00 AM,C,11.5
12/06/19 3:03:00 AM,C,11.5
12/06/19 4:03:00 AM,C,11.5
12/06/19 5:03:00 AM,C,11
12/06/19 6:03:00 AM,C,12.5
12/06/19 7:03:00 AM,C,18
12/06/19 8:03:00 AM,C,26
12/06/19 9:03:00 AM,C,31
12/06/19 10:03:00 AM,C,33
12/06/19 11:03:00 AM,C,33.5
12/06/19 12:03:00 PM,C,37.5
12/06/19 1:03:00 PM,C,18.5
12/06/19 2:03:00 PM,C,17
12/06/19 3:03:00 PM,C,15
12/06/19 4:03:00 PM,C,12.5
12/06/19 5:03:00 PM,C,19
12/06/19 6:03:00 PM,C,18.5
12/06/19 7:03:00 PM,C,16.5
12/06/19 8:03:00 PM,C,16
12/06/19 9:03:00 PM,C,15
12/06/19 10:03:00 PM,C,12.5
12/06/19 11:03:00 PM,C,12.5
13/06/19 12:03:00 AM,C,12.5
13/06/19 1:03:00 AM,C,12
13/06/19 2:03:00 AM,C,12.5
13/06/19 3:03:00 AM,C,12.5
13/06/19 4:03:00 AM,C,12
13/06/19 5:03:00 AM,C,12
13/06/19 6:03:00 AM,C,12.5
13/06/19 7:03:00 AM,C,17
13/06/19 8:03:00 AM,C,23.5
13/06/19 9:03:00 AM,C,28.5
13/06/19 10:03:00 AM,C,34.5
13/06/19 11:03:00 AM,C,35.5
13/06/19 12:03:00 PM,C,33
13/06/19 1:03:00 PM,C,31
13/06/19 2:03:00 PM,C,13.5
13/06/19 3:03:00 PM,C,12.5
13/06/19 4:03:00 PM,C,12.5
13/06/19 5:03:00 PM,C,12.5
13/06/19 6:03:00 PM,C,12
13/06/19 7:03:00 PM,C,12
13/06/19 8:03:00 PM,C,12
13/06/19 9:03:00 PM,C,12
13/06/19 10:03:00 PM,C,12
13/06/19 11:03:00 PM,C,12
14/06/19 12:03:00 AM,C,12
14/06/19 1:03:00 AM,C,12
14/06/19 2:03:00 AM,C,12
14/06/19 3:03:00 AM,C,12
14/06/19 4:03:00 AM,C,11.5
14/06/19 5:03:00 AM,C,11.5
14/06/19 6:03:00 AM,C,11
14/06/19 7:03:00 AM,C,13
14/06/19 8:03:00 AM,C,14.5
14/06/19 9:03:00 AM,C,16.5
14/06/19 10:03:00 AM,C,21.5
14/06/19 11:03:00 AM,C,28.5
14/06/19 12:03:00 PM,C,32.5
14/06/19 1:03:00 PM,C,33
14/06/19 2:03:00 PM,C,26
14/06/19 3:03:00 PM,C,13.5
14/06/19 4:03:00 PM,C,12.5
14/06/19 5:03:00 PM,C,12
14/06/19 6:03:00 PM,C,11.5
14/06/19 7:03:00 PM,C,11.5
14/06/19 8:03:00 PM,C,12
14/06/19 9:03:00 PM,C,11.5
14/06/19 10:03:00 PM,C,12
14/06/19 11:03:00 PM,C,12.5
15/06/19 12:03:00 AM,C,12.5
15/06/19 1:03:00 AM,C,12.5
15/06/19 2:03:00 AM,C,12
