1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EA0000002BC03E21
Is Mission Active?  true
Mission Start:  Thu Jun 04 15:01:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1819
Total Samples:  61630
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Aug 23 00:00:00 PDT 2020
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
04/06/20 3:01:00 PM,C,24
04/06/20 4:01:00 PM,C,11
04/06/20 5:01:00 PM,C,10.5
04/06/20 6:01:00 PM,C,10.5
04/06/20 7:01:00 PM,C,10.5
04/06/20 8:01:00 PM,C,10.5
04/06/20 9:01:00 PM,C,11
04/06/20 10:01:00 PM,C,10.5
04/06/20 11:01:00 PM,C,10.5
05/06/20 12:01:00 AM,C,11
05/06/20 1:01:00 AM,C,11
05/06/20 2:01:00 AM,C,11
05/06/20 3:01:00 AM,C,11
05/06/20 4:01:00 AM,C,11
05/06/20 5:01:00 AM,C,10.5
05/06/20 6:01:00 AM,C,10.5
05/06/20 7:01:00 AM,C,10.5
05/06/20 8:01:00 AM,C,15
05/06/20 9:01:00 AM,C,16.5
05/06/20 10:01:00 AM,C,18.5
05/06/20 11:01:00 AM,C,22
05/06/20 12:01:00 PM,C,24
05/06/20 1:01:00 PM,C,31
05/06/20 2:01:00 PM,C,29.5
05/06/20 3:01:00 PM,C,27
05/06/20 4:01:00 PM,C,16.5
05/06/20 5:01:00 PM,C,11.5
05/06/20 6:01:00 PM,C,11
05/06/20 7:01:00 PM,C,11
05/06/20 8:01:00 PM,C,10.5
05/06/20 9:01:00 PM,C,10.5
05/06/20 10:01:00 PM,C,10.5
05/06/20 11:01:00 PM,C,10.5
06/06/20 12:01:00 AM,C,10.5
06/06/20 1:01:00 AM,C,11
06/06/20 2:01:00 AM,C,11
06/06/20 3:01:00 AM,C,11
06/06/20 4:01:00 AM,C,11
06/06/20 5:01:00 AM,C,11
06/06/20 6:01:00 AM,C,11
06/06/20 7:01:00 AM,C,10.5
06/06/20 8:01:00 AM,C,15.5
06/06/20 9:01:00 AM,C,17.5
06/06/20 10:01:00 AM,C,21.5
06/06/20 11:01:00 AM,C,18
06/06/20 12:01:00 PM,C,26.5
06/06/20 1:01:00 PM,C,29
06/06/20 2:01:00 PM,C,29.5
06/06/20 3:01:00 PM,C,19
06/06/20 4:01:00 PM,C,24.5
06/06/20 5:01:00 PM,C,11.5
06/06/20 6:01:00 PM,C,11.5
06/06/20 7:01:00 PM,C,11
06/06/20 8:01:00 PM,C,10.5
06/06/20 9:01:00 PM,C,10.5
06/06/20 10:01:00 PM,C,10.5
06/06/20 11:01:00 PM,C,10
07/06/20 12:01:00 AM,C,10.5
07/06/20 1:01:00 AM,C,10.5
07/06/20 2:01:00 AM,C,11
07/06/20 3:01:00 AM,C,10.5
07/06/20 4:01:00 AM,C,10.5
07/06/20 5:01:00 AM,C,10.5
07/06/20 6:01:00 AM,C,10.5
07/06/20 7:01:00 AM,C,10.5
07/06/20 8:01:00 AM,C,14.5
07/06/20 9:01:00 AM,C,18
07/06/20 10:01:00 AM,C,25.5
07/06/20 11:01:00 AM,C,26
07/06/20 12:01:00 PM,C,29
07/06/20 1:01:00 PM,C,31.5
07/06/20 2:01:00 PM,C,30
07/06/20 3:01:00 PM,C,28
07/06/20 4:01:00 PM,C,27.5
07/06/20 5:01:00 PM,C,20.5
07/06/20 6:01:00 PM,C,11.5
07/06/20 7:01:00 PM,C,11.5
07/06/20 8:01:00 PM,C,10.5
07/06/20 9:01:00 PM,C,11
07/06/20 10:01:00 PM,C,10.5
07/06/20 11:01:00 PM,C,10.5
08/06/20 12:01:00 AM,C,10.5
08/06/20 1:01:00 AM,C,10.5
08/06/20 2:01:00 AM,C,10.5
08/06/20 3:01:00 AM,C,10.5
08/06/20 4:01:00 AM,C,10.5
08/06/20 5:01:00 AM,C,10.5
08/06/20 6:01:00 AM,C,10.5
08/06/20 7:01:00 AM,C,10.5
08/06/20 8:01:00 AM,C,11
08/06/20 9:01:00 AM,C,14.5
08/06/20 10:01:00 AM,C,23
08/06/20 11:01:00 AM,C,26.5
08/06/20 12:01:00 PM,C,24.5
08/06/20 1:01:00 PM,C,27
08/06/20 2:01:00 PM,C,23
08/06/20 3:01:00 PM,C,21
08/06/20 4:01:00 PM,C,23
08/06/20 5:01:00 PM,C,19.5
08/06/20 6:01:00 PM,C,15
08/06/20 7:01:00 PM,C,11.5
08/06/20 8:01:00 PM,C,11
08/06/20 9:01:00 PM,C,10.5
08/06/20 10:01:00 PM,C,10.5
08/06/20 11:01:00 PM,C,10.5
09/06/20 12:01:00 AM,C,10.5
09/06/20 1:01:00 AM,C,10.5
09/06/20 2:01:00 AM,C,11
09/06/20 3:01:00 AM,C,11
09/06/20 4:01:00 AM,C,11
09/06/20 5:01:00 AM,C,11
09/06/20 6:01:00 AM,C,11
09/06/20 7:01:00 AM,C,11
09/06/20 8:01:00 AM,C,11
09/06/20 9:01:00 AM,C,11
