1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 690000005101AC21
Is Mission Active?  true
Mission Start:  Sat Mar 14 18:02:00 PDT 2020
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1964
Total Samples:  10026
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
14/03/20 6:02:00 PM,C,4
14/03/20 7:02:00 PM,C,6
14/03/20 8:02:00 PM,C,7
14/03/20 9:02:00 PM,C,7
14/03/20 10:02:00 PM,C,7.5
14/03/20 11:02:00 PM,C,7.5
15/03/20 12:02:00 AM,C,7.5
15/03/20 1:02:00 AM,C,7.5
15/03/20 2:02:00 AM,C,7.5
15/03/20 3:02:00 AM,C,7.5
15/03/20 4:02:00 AM,C,7.5
15/03/20 5:02:00 AM,C,7
15/03/20 6:02:00 AM,C,7
15/03/20 7:02:00 AM,C,7
15/03/20 8:02:00 AM,C,7
15/03/20 9:02:00 AM,C,7
15/03/20 10:02:00 AM,C,7.5
15/03/20 11:02:00 AM,C,7.5
15/03/20 12:02:00 PM,C,7.5
15/03/20 1:02:00 PM,C,7.5
15/03/20 2:02:00 PM,C,6
15/03/20 3:02:00 PM,C,6.5
15/03/20 4:02:00 PM,C,5.5
15/03/20 5:02:00 PM,C,4
15/03/20 6:02:00 PM,C,3
15/03/20 7:02:00 PM,C,2.5
15/03/20 8:02:00 PM,C,1.5
15/03/20 9:02:00 PM,C,1
15/03/20 10:02:00 PM,C,7.5
15/03/20 11:02:00 PM,C,7.5
16/03/20 12:02:00 AM,C,7.5
16/03/20 1:02:00 AM,C,7.5
16/03/20 2:02:00 AM,C,7.5
16/03/20 3:02:00 AM,C,7.5
16/03/20 4:02:00 AM,C,7.5
16/03/20 5:02:00 AM,C,7.5
16/03/20 6:02:00 AM,C,7.5
16/03/20 7:02:00 AM,C,7.5
16/03/20 8:02:00 AM,C,7
16/03/20 9:02:00 AM,C,7.5
16/03/20 10:02:00 AM,C,7.5
16/03/20 11:02:00 AM,C,8
16/03/20 12:02:00 PM,C,7.5
16/03/20 1:02:00 PM,C,8.5
16/03/20 2:02:00 PM,C,9
16/03/20 3:02:00 PM,C,8.5
16/03/20 4:02:00 PM,C,7.5
16/03/20 5:02:00 PM,C,5.5
16/03/20 6:02:00 PM,C,5
16/03/20 7:02:00 PM,C,3.5
16/03/20 8:02:00 PM,C,2.5
16/03/20 9:02:00 PM,C,1.5
16/03/20 10:02:00 PM,C,4
16/03/20 11:02:00 PM,C,7.5
17/03/20 12:02:00 AM,C,7
17/03/20 1:02:00 AM,C,7
17/03/20 2:02:00 AM,C,7.5
17/03/20 3:02:00 AM,C,7.5
17/03/20 4:02:00 AM,C,7.5
17/03/20 5:02:00 AM,C,7.5
17/03/20 6:02:00 AM,C,7.5
17/03/20 7:02:00 AM,C,7.5
17/03/20 8:02:00 AM,C,7.5
17/03/20 9:02:00 AM,C,7.5
17/03/20 10:02:00 AM,C,7.5
17/03/20 11:02:00 AM,C,8
17/03/20 12:02:00 PM,C,8
17/03/20 1:02:00 PM,C,8
17/03/20 2:02:00 PM,C,8.5
17/03/20 3:02:00 PM,C,8
17/03/20 4:02:00 PM,C,7.5
17/03/20 5:02:00 PM,C,6
17/03/20 6:02:00 PM,C,5.5
17/03/20 7:02:00 PM,C,4.5
17/03/20 8:02:00 PM,C,3
17/03/20 9:02:00 PM,C,2.5
17/03/20 10:02:00 PM,C,2
17/03/20 11:02:00 PM,C,4
18/03/20 12:02:00 AM,C,7.5
18/03/20 1:02:00 AM,C,7.5
18/03/20 2:02:00 AM,C,7.5
18/03/20 3:02:00 AM,C,7.5
18/03/20 4:02:00 AM,C,7.5
18/03/20 5:02:00 AM,C,7.5
18/03/20 6:02:00 AM,C,7.5
18/03/20 7:02:00 AM,C,7.5
18/03/20 8:02:00 AM,C,7.5
18/03/20 9:02:00 AM,C,7.5
18/03/20 10:02:00 AM,C,8
18/03/20 11:02:00 AM,C,8
18/03/20 12:02:00 PM,C,8
18/03/20 1:02:00 PM,C,8
18/03/20 2:02:00 PM,C,8
18/03/20 3:02:00 PM,C,8
18/03/20 4:02:00 PM,C,9
18/03/20 5:02:00 PM,C,7
18/03/20 6:02:00 PM,C,6
18/03/20 7:02:00 PM,C,4.5
18/03/20 8:02:00 PM,C,3.5
18/03/20 9:02:00 PM,C,3
18/03/20 10:02:00 PM,C,3
18/03/20 11:02:00 PM,C,3
19/03/20 12:02:00 AM,C,2.5
19/03/20 1:02:00 AM,C,7.5
19/03/20 2:02:00 AM,C,7.5
19/03/20 3:02:00 AM,C,7.5
19/03/20 4:02:00 AM,C,7.5
19/03/20 5:02:00 AM,C,7.5
19/03/20 6:02:00 AM,C,7.5
19/03/20 7:02:00 AM,C,7.5
19/03/20 8:02:00 AM,C,7.5
19/03/20 9:02:00 AM,C,7.5
19/03/20 10:02:00 AM,C,7.5
19/03/20 11:02:00 AM,C,8
19/03/20 12:02:00 PM,C,8
19/03/20 1:02:00 PM,C,8
19/03/20 2:02:00 PM,C,8
19/03/20 3:02:00 PM,C,8
19/03/20 4:02:00 PM,C,8
19/03/20 5:02:00 PM,C,7
19/03/20 6:02:00 PM,C,6
19/03/20 7:02:00 PM,C,5
19/03/20 8:02:00 PM,C,3.5
19/03/20 9:02:00 PM,C,3.5
19/03/20 10:02:00 PM,C,3.5
19/03/20 11:02:00 PM,C,2.5
20/03/20 12:02:00 AM,C,2
20/03/20 1:02:00 AM,C,4
20/03/20 2:02:00 AM,C,7.5
20/03/20 3:02:00 AM,C,7.5
20/03/20 4:02:00 AM,C,7.5
20/03/20 5:02:00 AM,C,7.5
20/03/20 6:02:00 AM,C,7.5
20/03/20 7:02:00 AM,C,7.5
20/03/20 8:02:00 AM,C,7.5
20/03/20 9:02:00 AM,C,7.5
20/03/20 10:02:00 AM,C,8
20/03/20 11:02:00 AM,C,8.5
20/03/20 12:02:00 PM,C,8.5
20/03/20 1:02:00 PM,C,8.5
20/03/20 2:02:00 PM,C,8
20/03/20 3:02:00 PM,C,8
20/03/20 4:02:00 PM,C,8
20/03/20 5:02:00 PM,C,7.5
20/03/20 6:02:00 PM,C,7
20/03/20 7:02:00 PM,C,5.5
20/03/20 8:02:00 PM,C,4.5
20/03/20 9:02:00 PM,C,4
20/03/20 10:02:00 PM,C,3.5
20/03/20 11:02:00 PM,C,3.5
21/03/20 12:02:00 AM,C,3
21/03/20 1:02:00 AM,C,2.5
21/03/20 2:02:00 AM,C,7.5
21/03/20 3:02:00 AM,C,7.5
21/03/20 4:02:00 AM,C,7.5
21/03/20 5:02:00 AM,C,7.5
21/03/20 6:02:00 AM,C,7.5
21/03/20 7:02:00 AM,C,7.5
21/03/20 8:02:00 AM,C,7.5
21/03/20 9:02:00 AM,C,8
21/03/20 10:02:00 AM,C,9
21/03/20 11:02:00 AM,C,9
21/03/20 12:02:00 PM,C,9
21/03/20 1:02:00 PM,C,8.5
21/03/20 2:02:00 PM,C,8.5
21/03/20 3:02:00 PM,C,8.5
21/03/20 4:02:00 PM,C,8.5
21/03/20 5:02:00 PM,C,8
21/03/20 6:02:00 PM,C,8
21/03/20 7:02:00 PM,C,5.5
21/03/20 8:02:00 PM,C,4
21/03/20 9:02:00 PM,C,3.5
21/03/20 10:02:00 PM,C,3
21/03/20 11:02:00 PM,C,3
22/03/20 12:02:00 AM,C,3
22/03/20 1:02:00 AM,C,2.5
22/03/20 2:02:00 AM,C,2.5
22/03/20 3:02:00 AM,C,7.5
22/03/20 4:02:00 AM,C,7.5
22/03/20 5:02:00 AM,C,7.5
22/03/20 6:02:00 AM,C,8
22/03/20 7:02:00 AM,C,8
22/03/20 8:02:00 AM,C,8
22/03/20 9:02:00 AM,C,8
22/03/20 10:02:00 AM,C,8
22/03/20 11:02:00 AM,C,8
22/03/20 12:02:00 PM,C,8
22/03/20 1:02:00 PM,C,8
22/03/20 2:02:00 PM,C,8
22/03/20 3:02:00 PM,C,8
22/03/20 4:02:00 PM,C,8
22/03/20 5:02:00 PM,C,8
22/03/20 6:02:00 PM,C,8
22/03/20 7:02:00 PM,C,8
22/03/20 8:02:00 PM,C,6
22/03/20 9:02:00 PM,C,5
22/03/20 10:02:00 PM,C,5
22/03/20 11:02:00 PM,C,5
23/03/20 12:02:00 AM,C,5
23/03/20 1:02:00 AM,C,4
23/03/20 2:02:00 AM,C,4
23/03/20 3:02:00 AM,C,7.5
23/03/20 4:02:00 AM,C,7.5
23/03/20 5:02:00 AM,C,7.5
23/03/20 6:02:00 AM,C,7.5
23/03/20 7:02:00 AM,C,8
23/03/20 8:02:00 AM,C,8
23/03/20 9:02:00 AM,C,7.5
23/03/20 10:02:00 AM,C,8
23/03/20 11:02:00 AM,C,10.5
23/03/20 12:02:00 PM,C,14
23/03/20 1:02:00 PM,C,10
23/03/20 2:02:00 PM,C,8.5
23/03/20 3:02:00 PM,C,8
23/03/20 4:02:00 PM,C,8
23/03/20 5:02:00 PM,C,8
23/03/20 6:02:00 PM,C,8
23/03/20 7:02:00 PM,C,8
23/03/20 8:02:00 PM,C,8
23/03/20 9:02:00 PM,C,7.5
23/03/20 10:02:00 PM,C,6
23/03/20 11:02:00 PM,C,5.5
24/03/20 12:02:00 AM,C,5
24/03/20 1:02:00 AM,C,3.5
24/03/20 2:02:00 AM,C,3
24/03/20 3:02:00 AM,C,4.5
24/03/20 4:02:00 AM,C,7.5
24/03/20 5:02:00 AM,C,8
24/03/20 6:02:00 AM,C,8
24/03/20 7:02:00 AM,C,8
24/03/20 8:02:00 AM,C,8
24/03/20 9:02:00 AM,C,8
24/03/20 10:02:00 AM,C,8
24/03/20 11:02:00 AM,C,9.5
24/03/20 12:02:00 PM,C,12
24/03/20 1:02:00 PM,C,9.5
24/03/20 2:02:00 PM,C,10
24/03/20 3:02:00 PM,C,9
24/03/20 4:02:00 PM,C,8.5
24/03/20 5:02:00 PM,C,8
24/03/20 6:02:00 PM,C,8
24/03/20 7:02:00 PM,C,8
24/03/20 8:02:00 PM,C,8
24/03/20 9:02:00 PM,C,7.5
24/03/20 10:02:00 PM,C,5
24/03/20 11:02:00 PM,C,3
25/03/20 12:02:00 AM,C,3
25/03/20 1:02:00 AM,C,2
25/03/20 2:02:00 AM,C,2
25/03/20 3:02:00 AM,C,3.5
25/03/20 4:02:00 AM,C,7.5
25/03/20 5:02:00 AM,C,7.5
25/03/20 6:02:00 AM,C,7.5
25/03/20 7:02:00 AM,C,7.5
25/03/20 8:02:00 AM,C,8
25/03/20 9:02:00 AM,C,8
25/03/20 10:02:00 AM,C,8
25/03/20 11:02:00 AM,C,9
25/03/20 12:02:00 PM,C,15.5
25/03/20 1:02:00 PM,C,15
25/03/20 2:02:00 PM,C,15
25/03/20 3:02:00 PM,C,12
25/03/20 4:02:00 PM,C,9
25/03/20 5:02:00 PM,C,8.5
25/03/20 6:02:00 PM,C,8.5
25/03/20 7:02:00 PM,C,8.5
25/03/20 8:02:00 PM,C,8
25/03/20 9:02:00 PM,C,8
25/03/20 10:02:00 PM,C,8
25/03/20 11:02:00 PM,C,5
26/03/20 12:02:00 AM,C,2.5
26/03/20 1:02:00 AM,C,2.5
26/03/20 2:02:00 AM,C,2
26/03/20 3:02:00 AM,C,1.5
26/03/20 4:02:00 AM,C,7.5
26/03/20 5:02:00 AM,C,8
26/03/20 6:02:00 AM,C,7.5
26/03/20 7:02:00 AM,C,8
26/03/20 8:02:00 AM,C,8
26/03/20 9:02:00 AM,C,8
26/03/20 10:02:00 AM,C,8
26/03/20 11:02:00 AM,C,12
26/03/20 12:02:00 PM,C,13.5
26/03/20 1:02:00 PM,C,13
26/03/20 2:02:00 PM,C,14.5
26/03/20 3:02:00 PM,C,12.5
26/03/20 4:02:00 PM,C,11
26/03/20 5:02:00 PM,C,8
26/03/20 6:02:00 PM,C,8
26/03/20 7:02:00 PM,C,8
26/03/20 8:02:00 PM,C,8
26/03/20 9:02:00 PM,C,8
26/03/20 10:02:00 PM,C,8
26/03/20 11:02:00 PM,C,8
27/03/20 12:02:00 AM,C,6.5
27/03/20 1:02:00 AM,C,6.5
27/03/20 2:02:00 AM,C,6.5
27/03/20 3:02:00 AM,C,6.5
27/03/20 4:02:00 AM,C,8
27/03/20 5:02:00 AM,C,8
27/03/20 6:02:00 AM,C,8
27/03/20 7:02:00 AM,C,8
27/03/20 8:02:00 AM,C,8
27/03/20 9:02:00 AM,C,8
27/03/20 10:02:00 AM,C,8
27/03/20 11:02:00 AM,C,11
