1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: CC0000002225C421
Is Mission Active?  true
Mission Start:  Sun Oct 20 07:00:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2263
Total Samples:  2764704
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Jan 26 00:00:00 PST 2020
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
20/10/19 7:00:00 AM,C,9.5
20/10/19 8:00:00 AM,C,10.5
20/10/19 9:00:00 AM,C,11
20/10/19 10:00:00 AM,C,11
20/10/19 11:00:00 AM,C,11
20/10/19 12:00:00 PM,C,11
20/10/19 1:00:00 PM,C,11
20/10/19 2:00:00 PM,C,11
20/10/19 3:00:00 PM,C,11
20/10/19 4:00:00 PM,C,11
20/10/19 5:00:00 PM,C,11
20/10/19 6:00:00 PM,C,11
20/10/19 7:00:00 PM,C,11
20/10/19 8:00:00 PM,C,11
20/10/19 9:00:00 PM,C,11
20/10/19 10:00:00 PM,C,11
20/10/19 11:00:00 PM,C,11
21/10/19 12:00:00 AM,C,9
21/10/19 1:00:00 AM,C,9
21/10/19 2:00:00 AM,C,9
21/10/19 3:00:00 AM,C,9
21/10/19 4:00:00 AM,C,9.5
21/10/19 5:00:00 AM,C,10
21/10/19 6:00:00 AM,C,10
21/10/19 7:00:00 AM,C,10
21/10/19 8:00:00 AM,C,10.5
21/10/19 9:00:00 AM,C,11
21/10/19 10:00:00 AM,C,11
21/10/19 11:00:00 AM,C,11
21/10/19 12:00:00 PM,C,11
21/10/19 1:00:00 PM,C,11
21/10/19 2:00:00 PM,C,11
21/10/19 3:00:00 PM,C,11
21/10/19 4:00:00 PM,C,11
21/10/19 5:00:00 PM,C,11
21/10/19 6:00:00 PM,C,11
21/10/19 7:00:00 PM,C,11
21/10/19 8:00:00 PM,C,11
21/10/19 9:00:00 PM,C,11
21/10/19 10:00:00 PM,C,11
21/10/19 11:00:00 PM,C,11
22/10/19 12:00:00 AM,C,11
22/10/19 1:00:00 AM,C,10
22/10/19 2:00:00 AM,C,10
22/10/19 3:00:00 AM,C,10.5
22/10/19 4:00:00 AM,C,10.5
22/10/19 5:00:00 AM,C,10.5
22/10/19 6:00:00 AM,C,9
22/10/19 7:00:00 AM,C,10
22/10/19 8:00:00 AM,C,7.5
22/10/19 9:00:00 AM,C,12.5
22/10/19 10:00:00 AM,C,12.5
22/10/19 11:00:00 AM,C,11.5
22/10/19 12:00:00 PM,C,11.5
22/10/19 1:00:00 PM,C,11.5
22/10/19 2:00:00 PM,C,11
22/10/19 3:00:00 PM,C,11
22/10/19 4:00:00 PM,C,11
22/10/19 5:00:00 PM,C,11
22/10/19 6:00:00 PM,C,11
22/10/19 7:00:00 PM,C,11
22/10/19 8:00:00 PM,C,11
22/10/19 9:00:00 PM,C,11
22/10/19 10:00:00 PM,C,11
22/10/19 11:00:00 PM,C,11
23/10/19 12:00:00 AM,C,11
23/10/19 1:00:00 AM,C,9
23/10/19 2:00:00 AM,C,8
23/10/19 3:00:00 AM,C,6
23/10/19 4:00:00 AM,C,5.5
23/10/19 5:00:00 AM,C,5
23/10/19 6:00:00 AM,C,5
23/10/19 7:00:00 AM,C,5.5
23/10/19 8:00:00 AM,C,6.5
23/10/19 9:00:00 AM,C,9.5
23/10/19 10:00:00 AM,C,12
23/10/19 11:00:00 AM,C,13.5
23/10/19 12:00:00 PM,C,11.5
23/10/19 1:00:00 PM,C,11.5
23/10/19 2:00:00 PM,C,11
23/10/19 3:00:00 PM,C,11
23/10/19 4:00:00 PM,C,11
23/10/19 5:00:00 PM,C,11
23/10/19 6:00:00 PM,C,11
23/10/19 7:00:00 PM,C,11
23/10/19 8:00:00 PM,C,10
23/10/19 9:00:00 PM,C,8.5
23/10/19 10:00:00 PM,C,11
23/10/19 11:00:00 PM,C,10.5
24/10/19 12:00:00 AM,C,10.5
24/10/19 1:00:00 AM,C,11
24/10/19 2:00:00 AM,C,11
24/10/19 3:00:00 AM,C,10
24/10/19 4:00:00 AM,C,9.5
24/10/19 5:00:00 AM,C,9.5
24/10/19 6:00:00 AM,C,9.5
24/10/19 7:00:00 AM,C,9.5
24/10/19 8:00:00 AM,C,9.5
24/10/19 9:00:00 AM,C,10
24/10/19 10:00:00 AM,C,12
24/10/19 11:00:00 AM,C,13.5
24/10/19 12:00:00 PM,C,12.5
24/10/19 1:00:00 PM,C,11
24/10/19 2:00:00 PM,C,11
24/10/19 3:00:00 PM,C,11
24/10/19 4:00:00 PM,C,11
24/10/19 5:00:00 PM,C,10.5
24/10/19 6:00:00 PM,C,10.5
24/10/19 7:00:00 PM,C,10.5
24/10/19 8:00:00 PM,C,10.5
24/10/19 9:00:00 PM,C,10.5
24/10/19 10:00:00 PM,C,9
24/10/19 11:00:00 PM,C,10.5
25/10/19 12:00:00 AM,C,10
25/10/19 1:00:00 AM,C,10.5
25/10/19 2:00:00 AM,C,11
25/10/19 3:00:00 AM,C,10.5
25/10/19 4:00:00 AM,C,10.5
25/10/19 5:00:00 AM,C,10.5
25/10/19 6:00:00 AM,C,10
25/10/19 7:00:00 AM,C,10.5
25/10/19 8:00:00 AM,C,11
25/10/19 9:00:00 AM,C,11.5
25/10/19 10:00:00 AM,C,14
25/10/19 11:00:00 AM,C,15.5
25/10/19 12:00:00 PM,C,14.5
25/10/19 1:00:00 PM,C,11.5
25/10/19 2:00:00 PM,C,11.5
25/10/19 3:00:00 PM,C,11
25/10/19 4:00:00 PM,C,11
25/10/19 5:00:00 PM,C,11
25/10/19 6:00:00 PM,C,10.5
25/10/19 7:00:00 PM,C,10.5
25/10/19 8:00:00 PM,C,7.5
25/10/19 9:00:00 PM,C,6.5
25/10/19 10:00:00 PM,C,6.5
25/10/19 11:00:00 PM,C,6.5
26/10/19 12:00:00 AM,C,6.5
26/10/19 1:00:00 AM,C,10
26/10/19 2:00:00 AM,C,10.5
26/10/19 3:00:00 AM,C,10.5
26/10/19 4:00:00 AM,C,10.5
