1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E40000002E453721
Is Mission Active?  true
Mission Start:  Mon Sep 14 12:01:00 PDT 2020
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  1996
Total Samples:  785844
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
14/09/20 12:01:00 PM,C,19.5
14/09/20 2:01:00 PM,C,13
14/09/20 4:01:00 PM,C,12.5
14/09/20 6:01:00 PM,C,12.5
14/09/20 8:01:00 PM,C,12.5
14/09/20 10:01:00 PM,C,12.5
15/09/20 12:01:00 AM,C,12.5
15/09/20 2:01:00 AM,C,12.5
15/09/20 4:01:00 AM,C,12.5
15/09/20 6:01:00 AM,C,13.5
15/09/20 8:01:00 AM,C,13.5
15/09/20 10:01:00 AM,C,19
15/09/20 12:01:00 PM,C,26.5
15/09/20 2:01:00 PM,C,20.5
15/09/20 4:01:00 PM,C,12.5
15/09/20 6:01:00 PM,C,12.5
15/09/20 8:01:00 PM,C,12.5
15/09/20 10:01:00 PM,C,12.5
16/09/20 12:01:00 AM,C,12.5
16/09/20 2:01:00 AM,C,12.5
16/09/20 4:01:00 AM,C,12.5
16/09/20 6:01:00 AM,C,12.5
16/09/20 8:01:00 AM,C,14.5
16/09/20 10:01:00 AM,C,18.5
16/09/20 12:01:00 PM,C,23
16/09/20 2:01:00 PM,C,23
16/09/20 4:01:00 PM,C,12
16/09/20 6:01:00 PM,C,12
16/09/20 8:01:00 PM,C,12
16/09/20 10:01:00 PM,C,12
17/09/20 12:01:00 AM,C,12.5
17/09/20 2:01:00 AM,C,12.5
17/09/20 4:01:00 AM,C,12
17/09/20 6:01:00 AM,C,12
17/09/20 8:01:00 AM,C,13
17/09/20 10:01:00 AM,C,16
17/09/20 12:01:00 PM,C,18.5
17/09/20 2:01:00 PM,C,23
17/09/20 4:01:00 PM,C,12
17/09/20 6:01:00 PM,C,12
17/09/20 8:01:00 PM,C,12
17/09/20 10:01:00 PM,C,12
18/09/20 12:01:00 AM,C,13
18/09/20 2:01:00 AM,C,12
18/09/20 4:01:00 AM,C,12
18/09/20 6:01:00 AM,C,12
18/09/20 8:01:00 AM,C,12
18/09/20 10:01:00 AM,C,14
18/09/20 12:01:00 PM,C,15.5
18/09/20 2:01:00 PM,C,17
18/09/20 4:01:00 PM,C,12
18/09/20 6:01:00 PM,C,11.5
18/09/20 8:01:00 PM,C,11.5
18/09/20 10:01:00 PM,C,11.5
19/09/20 12:01:00 AM,C,11.5
19/09/20 2:01:00 AM,C,11.5
19/09/20 4:01:00 AM,C,11.5
19/09/20 6:01:00 AM,C,11.5
19/09/20 8:01:00 AM,C,11.5
19/09/20 10:01:00 AM,C,11.5
19/09/20 12:01:00 PM,C,19
19/09/20 2:01:00 PM,C,16.5
19/09/20 4:01:00 PM,C,12
19/09/20 6:01:00 PM,C,12
19/09/20 8:01:00 PM,C,11.5
19/09/20 10:01:00 PM,C,11.5
20/09/20 12:01:00 AM,C,10.5
20/09/20 2:01:00 AM,C,10
20/09/20 4:01:00 AM,C,9.5
20/09/20 6:01:00 AM,C,11.5
20/09/20 8:01:00 AM,C,11.5
20/09/20 10:01:00 AM,C,11.5
20/09/20 12:01:00 PM,C,17.5
20/09/20 2:01:00 PM,C,21
20/09/20 4:01:00 PM,C,12
20/09/20 6:01:00 PM,C,12
20/09/20 8:01:00 PM,C,11.5
20/09/20 10:01:00 PM,C,11.5
21/09/20 12:01:00 AM,C,9.5
21/09/20 2:01:00 AM,C,9.5
21/09/20 4:01:00 AM,C,9
21/09/20 6:01:00 AM,C,10
21/09/20 8:01:00 AM,C,11.5
21/09/20 10:01:00 AM,C,11.5
21/09/20 12:01:00 PM,C,11.5
21/09/20 2:01:00 PM,C,12.5
21/09/20 4:01:00 PM,C,12
21/09/20 6:01:00 PM,C,12
21/09/20 8:01:00 PM,C,11.5
21/09/20 10:01:00 PM,C,11.5
22/09/20 12:01:00 AM,C,12
22/09/20 2:01:00 AM,C,12
22/09/20 4:01:00 AM,C,11.5
22/09/20 6:01:00 AM,C,9
22/09/20 8:01:00 AM,C,11.5
22/09/20 10:01:00 AM,C,11.5
22/09/20 12:01:00 PM,C,11.5
22/09/20 2:01:00 PM,C,12
22/09/20 4:01:00 PM,C,11.5
22/09/20 6:01:00 PM,C,12
22/09/20 8:01:00 PM,C,11.5
22/09/20 10:01:00 PM,C,11.5
23/09/20 12:01:00 AM,C,11.5
23/09/20 2:01:00 AM,C,12
23/09/20 4:01:00 AM,C,12.5
23/09/20 6:01:00 AM,C,12.5
23/09/20 8:01:00 AM,C,12
23/09/20 10:01:00 AM,C,11
23/09/20 12:01:00 PM,C,11
23/09/20 2:01:00 PM,C,11
23/09/20 4:01:00 PM,C,11.5
23/09/20 6:01:00 PM,C,11.5
23/09/20 8:01:00 PM,C,11.5
23/09/20 10:01:00 PM,C,11.5
24/09/20 12:01:00 AM,C,11.5
24/09/20 2:01:00 AM,C,12
24/09/20 4:01:00 AM,C,11.5
24/09/20 6:01:00 AM,C,12
24/09/20 8:01:00 AM,C,12
24/09/20 10:01:00 AM,C,11.5
24/09/20 12:01:00 PM,C,11.5
24/09/20 2:01:00 PM,C,11.5
24/09/20 4:01:00 PM,C,12
24/09/20 6:01:00 PM,C,11.5
24/09/20 8:01:00 PM,C,12
24/09/20 10:01:00 PM,C,11.5
25/09/20 12:01:00 AM,C,11.5
25/09/20 2:01:00 AM,C,11.5
25/09/20 4:01:00 AM,C,12
25/09/20 6:01:00 AM,C,12
25/09/20 8:01:00 AM,C,12
25/09/20 10:01:00 AM,C,12
25/09/20 12:01:00 PM,C,11.5
25/09/20 2:01:00 PM,C,11.5
25/09/20 4:01:00 PM,C,11
25/09/20 6:01:00 PM,C,11
25/09/20 8:01:00 PM,C,11.5
25/09/20 10:01:00 PM,C,11.5
26/09/20 12:01:00 AM,C,11.5
26/09/20 2:01:00 AM,C,11.5
26/09/20 4:01:00 AM,C,11
26/09/20 6:01:00 AM,C,9.5
26/09/20 8:01:00 AM,C,11
26/09/20 10:01:00 AM,C,11.5
26/09/20 12:01:00 PM,C,11.5
26/09/20 2:01:00 PM,C,11.5
26/09/20 4:01:00 PM,C,11
26/09/20 6:01:00 PM,C,11.5
26/09/20 8:01:00 PM,C,11.5
26/09/20 10:01:00 PM,C,11.5
27/09/20 12:01:00 AM,C,11.5
27/09/20 2:01:00 AM,C,11.5
27/09/20 4:01:00 AM,C,11
27/09/20 6:01:00 AM,C,10.5
27/09/20 8:01:00 AM,C,11
27/09/20 10:01:00 AM,C,14
27/09/20 12:01:00 PM,C,23
27/09/20 2:01:00 PM,C,12.5
27/09/20 4:01:00 PM,C,12
27/09/20 6:01:00 PM,C,11.5
27/09/20 8:01:00 PM,C,11.5
27/09/20 10:01:00 PM,C,11.5
28/09/20 12:01:00 AM,C,10
28/09/20 2:01:00 AM,C,11.5
28/09/20 4:01:00 AM,C,11.5
28/09/20 6:01:00 AM,C,9
28/09/20 8:01:00 AM,C,12.5
28/09/20 10:01:00 AM,C,20
28/09/20 12:01:00 PM,C,25.5
28/09/20 2:01:00 PM,C,12.5
28/09/20 4:01:00 PM,C,11.5
28/09/20 6:01:00 PM,C,11
28/09/20 8:01:00 PM,C,11
28/09/20 10:01:00 PM,C,11
29/09/20 12:01:00 AM,C,10.5
29/09/20 2:01:00 AM,C,11.5
29/09/20 4:01:00 AM,C,11.5
29/09/20 6:01:00 AM,C,11
29/09/20 8:01:00 AM,C,13
29/09/20 10:01:00 AM,C,20
29/09/20 12:01:00 PM,C,26.5
29/09/20 2:01:00 PM,C,18
