1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 54000000511DD721
Is Mission Active?  true
Mission Start:  Wed Jun 05 16:19:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1677
Total Samples:  2970
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
05/06/19 4:19:00 PM,C,18.5
05/06/19 5:19:00 PM,C,15.5
05/06/19 6:19:00 PM,C,12
05/06/19 7:19:00 PM,C,11
05/06/19 8:19:00 PM,C,11
05/06/19 9:19:00 PM,C,11
05/06/19 10:19:00 PM,C,10.5
05/06/19 11:19:00 PM,C,11
06/06/19 12:19:00 AM,C,11
06/06/19 1:19:00 AM,C,11
06/06/19 2:19:00 AM,C,11
06/06/19 3:19:00 AM,C,11
06/06/19 4:19:00 AM,C,11
06/06/19 5:19:00 AM,C,11
06/06/19 6:19:00 AM,C,11
06/06/19 7:19:00 AM,C,11
06/06/19 8:19:00 AM,C,11
06/06/19 9:19:00 AM,C,15.5
06/06/19 10:19:00 AM,C,19
06/06/19 11:19:00 AM,C,29.5
06/06/19 12:19:00 PM,C,26
06/06/19 1:19:00 PM,C,21
06/06/19 2:19:00 PM,C,16.5
06/06/19 3:19:00 PM,C,17.5
06/06/19 4:19:00 PM,C,18.5
06/06/19 5:19:00 PM,C,17.5
06/06/19 6:19:00 PM,C,12
06/06/19 7:19:00 PM,C,11.5
06/06/19 8:19:00 PM,C,11
06/06/19 9:19:00 PM,C,11
06/06/19 10:19:00 PM,C,11
06/06/19 11:19:00 PM,C,11
07/06/19 12:19:00 AM,C,11
07/06/19 1:19:00 AM,C,11
07/06/19 2:19:00 AM,C,11
07/06/19 3:19:00 AM,C,11
07/06/19 4:19:00 AM,C,11
07/06/19 5:19:00 AM,C,11.5
07/06/19 6:19:00 AM,C,11
07/06/19 7:19:00 AM,C,11
07/06/19 8:19:00 AM,C,11.5
07/06/19 9:19:00 AM,C,11.5
07/06/19 10:19:00 AM,C,12.5
07/06/19 11:19:00 AM,C,22.5
07/06/19 12:19:00 PM,C,18.5
07/06/19 1:19:00 PM,C,23
07/06/19 2:19:00 PM,C,26
07/06/19 3:19:00 PM,C,25.5
07/06/19 4:19:00 PM,C,19
07/06/19 5:19:00 PM,C,16.5
07/06/19 6:19:00 PM,C,15
07/06/19 7:19:00 PM,C,11.5
07/06/19 8:19:00 PM,C,11.5
07/06/19 9:19:00 PM,C,11
07/06/19 10:19:00 PM,C,11
07/06/19 11:19:00 PM,C,11
08/06/19 12:19:00 AM,C,11
08/06/19 1:19:00 AM,C,11
08/06/19 2:19:00 AM,C,11
08/06/19 3:19:00 AM,C,11
08/06/19 4:19:00 AM,C,11
08/06/19 5:19:00 AM,C,11.5
08/06/19 6:19:00 AM,C,11
08/06/19 7:19:00 AM,C,11.5
08/06/19 8:19:00 AM,C,11.5
08/06/19 9:19:00 AM,C,11.5
08/06/19 10:19:00 AM,C,12
08/06/19 11:19:00 AM,C,15.5
08/06/19 12:19:00 PM,C,23
08/06/19 1:19:00 PM,C,30.5
08/06/19 2:19:00 PM,C,29.5
08/06/19 3:19:00 PM,C,28
