1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1100000051118A21
Is Mission Active?  true
Mission Start:  Wed Aug 14 14:05:00 EDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1584
Total Samples:  4554
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
14/08/19 2:05:00 PM,C,44
14/08/19 3:05:00 PM,C,37.5
14/08/19 4:05:00 PM,C,14
14/08/19 5:05:00 PM,C,14
14/08/19 6:05:00 PM,C,13
14/08/19 7:05:00 PM,C,12.5
14/08/19 8:05:00 PM,C,13.5
14/08/19 9:05:00 PM,C,13.5
14/08/19 10:05:00 PM,C,13
14/08/19 11:05:00 PM,C,13
15/08/19 12:05:00 AM,C,13.5
15/08/19 1:05:00 AM,C,13.5
15/08/19 2:05:00 AM,C,13.5
15/08/19 3:05:00 AM,C,13.5
15/08/19 4:05:00 AM,C,13.5
15/08/19 5:05:00 AM,C,13.5
15/08/19 6:05:00 AM,C,13.5
15/08/19 7:05:00 AM,C,13.5
15/08/19 8:05:00 AM,C,17.5
15/08/19 9:05:00 AM,C,22.5
15/08/19 10:05:00 AM,C,28
15/08/19 11:05:00 AM,C,38
15/08/19 12:05:00 PM,C,39.5
15/08/19 1:05:00 PM,C,39.5
15/08/19 2:05:00 PM,C,40.5
15/08/19 3:05:00 PM,C,35.5
15/08/19 4:05:00 PM,C,14
15/08/19 5:05:00 PM,C,13
15/08/19 6:05:00 PM,C,13
15/08/19 7:05:00 PM,C,13
15/08/19 8:05:00 PM,C,12.5
15/08/19 9:05:00 PM,C,12.5
15/08/19 10:05:00 PM,C,13
15/08/19 11:05:00 PM,C,13
16/08/19 12:05:00 AM,C,13
16/08/19 1:05:00 AM,C,13
16/08/19 2:05:00 AM,C,13
16/08/19 3:05:00 AM,C,13
16/08/19 4:05:00 AM,C,13
16/08/19 5:05:00 AM,C,13
16/08/19 6:05:00 AM,C,13
16/08/19 7:05:00 AM,C,13
16/08/19 8:05:00 AM,C,14
16/08/19 9:05:00 AM,C,19.5
16/08/19 10:05:00 AM,C,22.5
16/08/19 11:05:00 AM,C,34
16/08/19 12:05:00 PM,C,35.5
16/08/19 1:05:00 PM,C,40
16/08/19 2:05:00 PM,C,33
16/08/19 3:05:00 PM,C,26.5
16/08/19 4:05:00 PM,C,20.5
16/08/19 5:05:00 PM,C,14.5
16/08/19 6:05:00 PM,C,13
16/08/19 7:05:00 PM,C,12.5
16/08/19 8:05:00 PM,C,12.5
16/08/19 9:05:00 PM,C,12.5
16/08/19 10:05:00 PM,C,13
16/08/19 11:05:00 PM,C,13
17/08/19 12:05:00 AM,C,13
17/08/19 1:05:00 AM,C,13
17/08/19 2:05:00 AM,C,13
17/08/19 3:05:00 AM,C,13
17/08/19 4:05:00 AM,C,13
17/08/19 5:05:00 AM,C,13
17/08/19 6:05:00 AM,C,13.5
17/08/19 7:05:00 AM,C,13
17/08/19 8:05:00 AM,C,13
