1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: B000000051001221
Is Mission Active?  true
Mission Start:  Thu Aug 15 09:05:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1566
Total Samples:  4559
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
15/08/19 9:05:00 AM,C,18
15/08/19 10:05:00 AM,C,21
15/08/19 11:05:00 AM,C,28.5
15/08/19 12:05:00 PM,C,38.5
15/08/19 1:05:00 PM,C,37
15/08/19 2:05:00 PM,C,36.5
15/08/19 3:05:00 PM,C,33.5
15/08/19 4:05:00 PM,C,17.5
15/08/19 5:05:00 PM,C,14.5
15/08/19 6:05:00 PM,C,14
15/08/19 7:05:00 PM,C,13.5
15/08/19 8:05:00 PM,C,13.5
15/08/19 9:05:00 PM,C,13
15/08/19 10:05:00 PM,C,13.5
15/08/19 11:05:00 PM,C,13
16/08/19 12:05:00 AM,C,13
16/08/19 1:05:00 AM,C,13
16/08/19 2:05:00 AM,C,13.5
16/08/19 3:05:00 AM,C,13.5
16/08/19 4:05:00 AM,C,13.5
16/08/19 5:05:00 AM,C,13
16/08/19 6:05:00 AM,C,13
16/08/19 7:05:00 AM,C,13
16/08/19 8:05:00 AM,C,13.5
16/08/19 9:05:00 AM,C,20
16/08/19 10:05:00 AM,C,26
16/08/19 11:05:00 AM,C,30.5
16/08/19 12:05:00 PM,C,32
16/08/19 1:05:00 PM,C,34.5
16/08/19 2:05:00 PM,C,31.5
16/08/19 3:05:00 PM,C,27
16/08/19 4:05:00 PM,C,20.5
16/08/19 5:05:00 PM,C,15
16/08/19 6:05:00 PM,C,14
16/08/19 7:05:00 PM,C,13.5
16/08/19 8:05:00 PM,C,13
16/08/19 9:05:00 PM,C,13
16/08/19 10:05:00 PM,C,13.5
16/08/19 11:05:00 PM,C,13.5
17/08/19 12:05:00 AM,C,13
17/08/19 1:05:00 AM,C,13.5
17/08/19 2:05:00 AM,C,13.5
17/08/19 3:05:00 AM,C,13.5
17/08/19 4:05:00 AM,C,13.5
17/08/19 5:05:00 AM,C,13.5
17/08/19 6:05:00 AM,C,13.5
17/08/19 7:05:00 AM,C,13.5
17/08/19 8:05:00 AM,C,13.5
17/08/19 9:05:00 AM,C,14
17/08/19 10:05:00 AM,C,17.5
17/08/19 11:05:00 AM,C,20
17/08/19 12:05:00 PM,C,21.5
17/08/19 1:05:00 PM,C,24.5
17/08/19 2:05:00 PM,C,24
17/08/19 3:05:00 PM,C,25.5
17/08/19 4:05:00 PM,C,23
17/08/19 5:05:00 PM,C,15.5
17/08/19 6:05:00 PM,C,15
17/08/19 7:05:00 PM,C,14
17/08/19 8:05:00 PM,C,13.5
17/08/19 9:05:00 PM,C,13.5
17/08/19 10:05:00 PM,C,13.5
17/08/19 11:05:00 PM,C,13.5
18/08/19 12:05:00 AM,C,13.5
18/08/19 1:05:00 AM,C,13.5
18/08/19 2:05:00 AM,C,13.5
18/08/19 3:05:00 AM,C,13.5
18/08/19 4:05:00 AM,C,13.5
18/08/19 5:05:00 AM,C,13.5
18/08/19 6:05:00 AM,C,13.5
18/08/19 7:05:00 AM,C,13.5
18/08/19 8:05:00 AM,C,13.5
18/08/19 9:05:00 AM,C,13.5
18/08/19 10:05:00 AM,C,17
18/08/19 11:05:00 AM,C,25.5
18/08/19 12:05:00 PM,C,28
18/08/19 1:05:00 PM,C,31
18/08/19 2:05:00 PM,C,31.5
18/08/19 3:05:00 PM,C,30
18/08/19 4:05:00 PM,C,22
18/08/19 5:05:00 PM,C,15
18/08/19 6:05:00 PM,C,14.5
18/08/19 7:05:00 PM,C,14.5
18/08/19 8:05:00 PM,C,14
18/08/19 9:05:00 PM,C,14
18/08/19 10:05:00 PM,C,13.5
18/08/19 11:05:00 PM,C,13.5
19/08/19 12:05:00 AM,C,13.5
19/08/19 1:05:00 AM,C,13.5
19/08/19 2:05:00 AM,C,13
19/08/19 3:05:00 AM,C,13
19/08/19 4:05:00 AM,C,13.5
19/08/19 5:05:00 AM,C,13.5
19/08/19 6:05:00 AM,C,13.5
19/08/19 7:05:00 AM,C,13.5
19/08/19 8:05:00 AM,C,13.5
19/08/19 9:05:00 AM,C,13.5
19/08/19 10:05:00 AM,C,14
19/08/19 11:05:00 AM,C,19
19/08/19 12:05:00 PM,C,23.5
19/08/19 1:05:00 PM,C,29
19/08/19 2:05:00 PM,C,28.5
19/08/19 3:05:00 PM,C,28
19/08/19 4:05:00 PM,C,24.5
19/08/19 5:05:00 PM,C,16.5
19/08/19 6:05:00 PM,C,14
19/08/19 7:05:00 PM,C,14
19/08/19 8:05:00 PM,C,14
19/08/19 9:05:00 PM,C,13.5
19/08/19 10:05:00 PM,C,13.5
19/08/19 11:05:00 PM,C,13
20/08/19 12:05:00 AM,C,13
20/08/19 1:05:00 AM,C,13
20/08/19 2:05:00 AM,C,12
20/08/19 3:05:00 AM,C,12
20/08/19 4:05:00 AM,C,11.5
20/08/19 5:05:00 AM,C,12.5
20/08/19 6:05:00 AM,C,13
20/08/19 7:05:00 AM,C,13
20/08/19 8:05:00 AM,C,13
20/08/19 9:05:00 AM,C,13.5
20/08/19 10:05:00 AM,C,13.5
20/08/19 11:05:00 AM,C,14
20/08/19 12:05:00 PM,C,20
20/08/19 1:05:00 PM,C,22.5
20/08/19 2:05:00 PM,C,26
20/08/19 3:05:00 PM,C,23
20/08/19 4:05:00 PM,C,19
20/08/19 5:05:00 PM,C,16
20/08/19 6:05:00 PM,C,14.5
20/08/19 7:05:00 PM,C,14
20/08/19 8:05:00 PM,C,13.5
20/08/19 9:05:00 PM,C,14
20/08/19 10:05:00 PM,C,13.5
20/08/19 11:05:00 PM,C,13
21/08/19 12:05:00 AM,C,13
21/08/19 1:05:00 AM,C,13
21/08/19 2:05:00 AM,C,13.5
21/08/19 3:05:00 AM,C,14
21/08/19 4:05:00 AM,C,14
21/08/19 5:05:00 AM,C,14
21/08/19 6:05:00 AM,C,14
21/08/19 7:05:00 AM,C,13.5
21/08/19 8:05:00 AM,C,13
21/08/19 9:05:00 AM,C,13.5
21/08/19 10:05:00 AM,C,13.5
21/08/19 11:05:00 AM,C,13.5
21/08/19 12:05:00 PM,C,13.5
21/08/19 1:05:00 PM,C,13.5
21/08/19 2:05:00 PM,C,15.5
21/08/19 3:05:00 PM,C,17
21/08/19 4:05:00 PM,C,15
21/08/19 5:05:00 PM,C,14
21/08/19 6:05:00 PM,C,14
21/08/19 7:05:00 PM,C,14
21/08/19 8:05:00 PM,C,13.5
21/08/19 9:05:00 PM,C,13.5
21/08/19 10:05:00 PM,C,13
21/08/19 11:05:00 PM,C,13
22/08/19 12:05:00 AM,C,13
22/08/19 1:05:00 AM,C,13
22/08/19 2:05:00 AM,C,12.5
22/08/19 3:05:00 AM,C,12
22/08/19 4:05:00 AM,C,12
22/08/19 5:05:00 AM,C,12
22/08/19 6:05:00 AM,C,12
22/08/19 7:05:00 AM,C,14.5
22/08/19 8:05:00 AM,C,16
22/08/19 9:05:00 AM,C,13.5
22/08/19 10:05:00 AM,C,13
22/08/19 11:05:00 AM,C,13
22/08/19 12:05:00 PM,C,13
22/08/19 1:05:00 PM,C,13.5
22/08/19 2:05:00 PM,C,13.5
22/08/19 3:05:00 PM,C,14
22/08/19 4:05:00 PM,C,14.5
22/08/19 5:05:00 PM,C,15
22/08/19 6:05:00 PM,C,15
22/08/19 7:05:00 PM,C,14.5
22/08/19 8:05:00 PM,C,14.5
22/08/19 9:05:00 PM,C,14
22/08/19 10:05:00 PM,C,14.5
22/08/19 11:05:00 PM,C,14
23/08/19 12:05:00 AM,C,14
23/08/19 1:05:00 AM,C,13.5
23/08/19 2:05:00 AM,C,13.5
23/08/19 3:05:00 AM,C,12.5
23/08/19 4:05:00 AM,C,12
23/08/19 5:05:00 AM,C,12
23/08/19 6:05:00 AM,C,12.5
23/08/19 7:05:00 AM,C,13
23/08/19 8:05:00 AM,C,13
23/08/19 9:05:00 AM,C,14
23/08/19 10:05:00 AM,C,15
23/08/19 11:05:00 AM,C,15
