block,tile,species,size,count,date
A,1,balanus,adult,148,2020-07-09
A,2,balanus,adult,36,2020-07-09
A,3,balanus,adult,0,2020-07-09
A,4,balanus,adult,102,2020-07-09
A,5,balanus,adult,161,2020-07-09
A,6,balanus,adult,103,2020-07-09
A,7,balanus,adult,118,2020-07-09
A,8,balanus,adult,56,2020-07-09
A,9,balanus,adult,224,2020-07-09
A,10,balanus,adult,174,2020-07-09
A,11,balanus,adult,106,2020-07-09
A,12,balanus,adult,106,2020-07-09
A,13,balanus,adult,21,2020-07-09
A,14,balanus,adult,3,2020-07-09
A,15,balanus,adult,7,2020-07-09
A,16,balanus,adult,165,2020-07-09
A,1,balanus,recruit,8,2020-07-09
A,2,balanus,recruit,1,2020-07-09
A,3,balanus,recruit,1,2020-07-09
A,4,balanus,recruit,0,2020-07-09
A,5,balanus,recruit,0,2020-07-09
A,6,balanus,recruit,0,2020-07-09
A,7,balanus,recruit,4,2020-07-09
A,8,balanus,recruit,1,2020-07-09
A,9,balanus,recruit,15,2020-07-09
A,10,balanus,recruit,0,2020-07-09
A,11,balanus,recruit,2,2020-07-09
A,12,balanus,recruit,1,2020-07-09
A,13,balanus,recruit,1,2020-07-09
A,14,balanus,recruit,0,2020-07-09
A,15,balanus,recruit,2,2020-07-09
A,16,balanus,recruit,15,2020-07-09
A,1,chthamalus,adult,9,2020-07-09
A,2,chthamalus,adult,13,2020-07-09
A,3,chthamalus,adult,21,2020-07-09
A,4,chthamalus,adult,21,2020-07-09
A,5,chthamalus,adult,19,2020-07-09
A,6,chthamalus,adult,9,2020-07-09
A,7,chthamalus,adult,7,2020-07-09
A,8,chthamalus,adult,38,2020-07-09
A,9,chthamalus,adult,5,2020-07-09
A,10,chthamalus,adult,12,2020-07-09
A,11,chthamalus,adult,11,2020-07-09
A,12,chthamalus,adult,14,2020-07-09
A,13,chthamalus,adult,14,2020-07-09
A,14,chthamalus,adult,4,2020-07-09
A,15,chthamalus,adult,0,2020-07-09
A,16,chthamalus,adult,23,2020-07-09
A,1,chthamalus,recruit,12,2020-07-09
A,2,chthamalus,recruit,11,2020-07-09
A,3,chthamalus,recruit,14,2020-07-09
A,4,chthamalus,recruit,10,2020-07-09
A,5,chthamalus,recruit,25,2020-07-09
A,6,chthamalus,recruit,6,2020-07-09
A,7,chthamalus,recruit,4,2020-07-09
A,8,chthamalus,recruit,3,2020-07-09
A,9,chthamalus,recruit,5,2020-07-09
A,10,chthamalus,recruit,16,2020-07-09
A,11,chthamalus,recruit,0,2020-07-09
A,12,chthamalus,recruit,6,2020-07-09
A,13,chthamalus,recruit,7,2020-07-09
A,14,chthamalus,recruit,0,2020-07-09
A,15,chthamalus,recruit,0,2020-07-09
A,16,chthamalus,recruit,12,2020-07-09
B,1,balanus,adult,54,2020-07-09
B,2,balanus,adult,9,2020-07-09
B,3,balanus,adult,1,2020-07-09
B,4,balanus,adult,202,2020-07-09
B,5,balanus,adult,51,2020-07-09
B,6,balanus,adult,8,2020-07-09
B,7,balanus,adult,0,2020-07-09
B,8,balanus,adult,50,2020-07-09
B,9,balanus,adult,0,2020-07-09
B,12,balanus,adult,2,2020-07-09
B,13,balanus,adult,35,2020-07-09
B,14,balanus,adult,3,2020-07-09
B,15,balanus,adult,2,2020-07-09
B,16,balanus,adult,1,2020-07-09
B,1,balanus,recruit,2,2020-07-09
B,2,balanus,recruit,1,2020-07-09
B,3,balanus,recruit,0,2020-07-09
B,4,balanus,recruit,28,2020-07-09
B,5,balanus,recruit,4,2020-07-09
B,6,balanus,recruit,2,2020-07-09
B,7,balanus,recruit,0,2020-07-09
B,8,balanus,recruit,8,2020-07-09
B,9,balanus,recruit,0,2020-07-09
B,12,balanus,recruit,0,2020-07-09
B,13,balanus,recruit,4,2020-07-09
B,14,balanus,recruit,0,2020-07-09
B,15,balanus,recruit,1,2020-07-09
B,16,balanus,recruit,0,2020-07-09
B,1,chthamalus,adult,17,2020-07-09
B,2,chthamalus,adult,1,2020-07-09
B,3,chthamalus,adult,3,2020-07-09
B,4,chthamalus,adult,18,2020-07-09
B,5,chthamalus,adult,18,2020-07-09
B,6,chthamalus,adult,10,2020-07-09
B,7,chthamalus,adult,1,2020-07-09
B,8,chthamalus,adult,7,2020-07-09
B,9,chthamalus,adult,2,2020-07-09
B,12,chthamalus,adult,9,2020-07-09
B,13,chthamalus,adult,6,2020-07-09
B,14,chthamalus,adult,9,2020-07-09
B,15,chthamalus,adult,2,2020-07-09
B,16,chthamalus,adult,0,2020-07-09
B,1,chthamalus,recruit,7,2020-07-09
B,2,chthamalus,recruit,0,2020-07-09
B,3,chthamalus,recruit,0,2020-07-09
B,4,chthamalus,recruit,4,2020-07-09
B,5,chthamalus,recruit,6,2020-07-09
B,6,chthamalus,recruit,4,2020-07-09
B,7,chthamalus,recruit,0,2020-07-09
B,8,chthamalus,recruit,0,2020-07-09
B,9,chthamalus,recruit,0,2020-07-09
B,12,chthamalus,recruit,0,2020-07-09
B,13,chthamalus,recruit,10,2020-07-09
B,14,chthamalus,recruit,7,2020-07-09
B,15,chthamalus,recruit,0,2020-07-09
B,16,chthamalus,recruit,2,2020-07-09
C,1,balanus,adult,1,2020-07-09
C,3,balanus,adult,13,2020-07-09
