date,treatment,basal_diameter_mm,block,number,status
2019-08-27,C,3.7,F,15,alive
2019-08-27,C,3.2,F,15,alive
2019-08-27,C,5.1,F,15,alive
2019-08-27,C,5.6,F,15,alive
2019-08-27,C,5.1,F,15,alive
2019-08-27,C,3.1,F,15,alive
2019-08-27,C,3.2,F,15,alive
2019-08-27,C,3,F,15,alive
2019-08-27,C,2.7,F,15,alive
2019-08-27,C,5.1,F,15,alive
2019-08-27,C,2.8,F,14,alive
2019-08-27,C,3.6,F,14,alive
2019-08-27,C,3.3,F,14,alive
2019-08-27,C,2.2,F,14,alive
2019-08-27,C,4.9,F,14,alive
2019-08-27,C,3.1,F,14,alive
2019-08-27,C,2.3,F,14,alive
2019-08-27,C,3,F,14,alive
2019-08-27,C,3,F,14,alive
2019-08-27,C,3,F,14,alive
2019-08-27,C,3.2,F,12,alive
2019-08-27,C,6.1,F,12,alive
2019-08-27,C,6.3,F,12,alive
2019-08-27,C,6.1,F,12,alive
2019-08-27,C,5,F,12,alive
2019-08-27,C,3.7,F,12,alive
2019-08-27,C,2.1,F,12,alive
2019-08-27,C,3,F,12,alive
2019-08-27,C,3.8,F,12,alive
2019-08-27,C,3.1,F,12,alive
2019-08-27,C,4.5,F,11,alive
2019-08-27,C,5.6,F,11,alive
2019-08-27,C,4.4,F,11,alive
2019-08-27,C,4.4,F,11,alive
2019-08-27,C,3.7,F,11,alive
2019-08-27,C,4.8,F,11,alive
2019-08-27,C,3.4,F,11,alive
2019-08-27,C,5.6,F,11,alive
2019-08-27,C,5,F,11,alive
2019-08-27,C,5.2,F,11,alive
2019-08-27,C,5.6,F,9,alive
2019-08-27,C,4.4,F,9,alive
2019-08-27,C,5,F,9,alive
2019-08-27,C,7,F,9,alive
2019-08-27,C,6.5,F,9,alive
2019-08-27,C,6,F,9,alive
2019-08-27,C,7.4,F,9,alive
2019-08-27,C,7.3,F,9,alive
2019-08-27,C,5.6,F,9,alive
2019-08-27,C,7,F,9,alive
2019-08-27,W,4.3,F,8,alive
2019-08-27,W,4,F,8,alive
2019-08-27,W,2.6,F,8,alive
2019-08-27,W,3.8,F,8,alive
2019-08-27,W,2.3,F,8,alive
2019-08-27,W,5.1,F,8,alive
2019-08-27,W,1.9,F,8,alive
2019-08-27,C,7.1,F,7,alive
2019-08-27,C,5.9,F,7,alive
2019-08-27,C,5.5,F,7,alive
2019-08-27,C,3,F,7,alive
2019-08-27,C,3.9,F,7,alive
2019-08-27,C,4.3,F,7,alive
2019-08-27,C,6.5,F,7,alive
2019-08-27,C,6.3,F,7,alive
2019-08-27,C,2.7,F,7,alive
2019-08-27,C,4.5,F,7,alive
2019-08-27,C,5.4,F,4,alive
2019-08-27,C,6.7,F,4,alive
2019-08-27,C,5.1,F,4,alive
2019-08-27,C,4.1,F,4,alive
2019-08-27,C,3.6,F,4,alive
2019-08-27,C,3.9,F,4,alive
2019-08-27,C,5.8,F,4,alive
2019-08-27,C,3.2,F,4,alive
2019-08-27,C,7.4,F,4,alive
2019-08-27,C,4.7,F,4,alive
2019-08-27,C,2.4,F,3,alive
2019-08-27,C,4.8,F,3,alive
2019-08-27,C,6.9,F,3,alive
2019-08-27,C,4.4,F,3,alive
2019-08-27,C,5.9,F,3,alive
2019-08-27,C,4.2,F,3,alive
2019-08-27,C,3.4,F,3,alive
2019-08-27,C,5.6,F,3,alive
2019-08-27,C,6.3,F,3,alive
2019-08-27,C,6.1,F,3,alive
2019-08-27,W,4.3,D,15,alive
2019-08-27,W,4.6,D,15,alive
2019-08-27,W,3.4,D,15,alive
2019-08-27,W,3.3,D,15,alive
2019-08-27,C,4,D,13,alive
2019-08-27,C,4.7,D,13,alive
2019-08-27,C,4.1,D,13,alive
2019-08-27,C,5.9,D,13,alive
2019-08-27,C,3.1,D,13,alive
2019-08-27,C,5.6,D,13,alive
2019-08-27,C,5,D,13,alive
2019-08-27,C,3.1,D,13,alive
2019-08-27,C,5.4,D,13,alive
2019-08-27,C,2.8,D,13,alive
2019-08-27,C,2.1,D,11,alive
2019-08-27,C,7.3,D,11,alive
2019-08-27,C,4.2,D,11,alive
2019-08-27,C,2.8,D,11,alive
2019-08-27,C,4.9,D,11,alive
2019-08-27,C,3.2,D,11,alive
2019-08-27,C,5.9,D,11,alive
2019-08-27,C,2.7,D,11,alive
2019-08-27,C,5.6,D,11,alive
2019-08-27,C,5.6,D,11,alive
2019-08-27,C,7.4,D,10,alive
2019-08-27,C,4.8,D,10,alive
2019-08-27,C,4.4,D,10,alive
2019-08-27,C,2.6,D,10,alive
2019-08-27,C,4.2,D,10,alive
2019-08-27,C,4,D,10,alive
2019-08-27,C,5.4,D,10,alive
2019-08-27,C,4,D,10,alive
2019-08-27,C,4.6,D,10,alive
2019-08-27,C,6,D,10,alive
2019-08-27,W,2.8,D,9,alive
2019-08-27,W,3.8,D,8,alive
2019-08-27,W,2.5,D,8,alive
2019-08-27,C,6.1,D,6,alive
2019-08-27,C,4.6,D,6,alive
2019-08-27,C,3.3,D,6,alive
2019-08-27,C,4.3,D,6,alive
2019-08-27,C,3.4,D,6,alive
2019-08-27,C,4.6,D,6,alive
2019-08-27,C,8.5,D,6,alive
2019-08-27,C,4,D,6,alive
2019-08-27,C,5.1,D,5,alive
2019-08-27,C,5.5,D,5,alive
2019-08-27,C,3.9,D,5,alive
2019-08-27,C,7.1,D,5,alive
2019-08-27,C,7.1,D,5,alive
2019-08-27,C,4.9,D,5,alive
2019-08-27,C,5.8,D,5,alive
2019-08-27,C,4.2,D,5,alive
2019-08-27,C,5.3,D,5,alive
2019-08-27,C,5.7,D,5,alive
2019-08-27,C,3.4,D,4,alive
2019-08-27,C,4.7,D,4,alive
2019-08-27,C,6.9,D,4,alive
2019-08-27,C,6.8,D,4,alive
2019-08-27,C,6.6,D,4,alive
2019-08-27,C,3.4,D,4,alive
2019-08-27,C,3.8,D,4,alive
2019-08-27,C,3.3,D,4,alive
2019-08-27,C,3.8,D,4,alive
2019-08-27,C,5.1,D,4,alive
2019-08-27,C,6,D,2,alive
2019-08-27,C,4.4,D,2,alive
2019-08-27,C,6.8,D,2,alive
2019-08-27,C,3.5,D,2,alive
2019-08-27,C,7.1,D,2,alive
2019-08-27,C,6.8,D,2,alive
2019-08-27,C,4.9,D,2,alive
2019-08-27,C,3.1,D,2,alive
2019-08-27,C,5.5,D,2,alive
2019-08-27,C,2.5,D,2,alive
2019-08-27,C,4.3,D,1,alive
2019-08-27,C,3.3,D,1,alive
2019-08-27,C,3.1,D,1,alive
2019-08-27,C,2,D,1,alive
2019-08-27,C,3.9,D,1,alive
2019-08-27,C,3.7,D,1,alive
2019-08-27,C,3,D,1,alive
2019-08-27,C,3.6,D,1,alive
