block,tile,trt,consecutive,species,size,count
A,1,A,N,balanus,adult,148
A,2,A,Y,balanus,adult,36
A,3,W,Y,balanus,adult,0
A,4,W,Y,balanus,adult,102
A,5,A,N,balanus,adult,161
A,6,A,N,balanus,adult,103
A,7,A,Y,balanus,adult,118
A,8,W,N,balanus,adult,56
A,9,A,Y,balanus,adult,224
A,10,A,N,balanus,adult,174
A,11,W,N,balanus,adult,106
A,12,W,N,balanus,adult,106
A,13,W,N,balanus,adult,21
A,14,W,Y,balanus,adult,3
A,15,W,Y,balanus,adult,7
A,16,A,Y,balanus,adult,165
A,1,A,N,balanus,recruit,8
A,2,A,Y,balanus,recruit,1
A,3,W,Y,balanus,recruit,1
A,4,W,Y,balanus,recruit,0
A,5,A,N,balanus,recruit,0
A,6,A,N,balanus,recruit,0
A,7,A,Y,balanus,recruit,4
A,8,W,N,balanus,recruit,1
A,9,A,Y,balanus,recruit,15
A,10,A,N,balanus,recruit,0
A,11,W,N,balanus,recruit,2
A,12,W,N,balanus,recruit,1
A,13,W,N,balanus,recruit,1
A,14,W,Y,balanus,recruit,0
A,15,W,Y,balanus,recruit,2
A,16,A,Y,balanus,recruit,15
A,1,A,N,chthamalus,adult,9
A,2,A,Y,chthamalus,adult,13
A,3,W,Y,chthamalus,adult,21
A,4,W,Y,chthamalus,adult,21
A,5,A,N,chthamalus,adult,19
A,6,A,N,chthamalus,adult,9
A,7,A,Y,chthamalus,adult,7
A,8,W,N,chthamalus,adult,38
A,9,A,Y,chthamalus,adult,5
A,10,A,N,chthamalus,adult,12
A,11,W,N,chthamalus,adult,11
A,12,W,N,chthamalus,adult,14
A,13,W,N,chthamalus,adult,14
A,14,W,Y,chthamalus,adult,4
A,15,W,Y,chthamalus,adult,0
A,16,A,Y,chthamalus,adult,23
A,1,A,N,chthamalus,recruit,12
A,2,A,Y,chthamalus,recruit,11
A,3,W,Y,chthamalus,recruit,14
A,4,W,Y,chthamalus,recruit,10
A,5,A,N,chthamalus,recruit,25
A,6,A,N,chthamalus,recruit,6
A,7,A,Y,chthamalus,recruit,4
A,8,W,N,chthamalus,recruit,3
A,9,A,Y,chthamalus,recruit,5
A,10,A,N,chthamalus,recruit,16
A,11,W,N,chthamalus,recruit,0
A,12,W,N,chthamalus,recruit,6
A,13,W,N,chthamalus,recruit,7
A,14,W,Y,chthamalus,recruit,0
A,15,W,Y,chthamalus,recruit,0
A,16,A,Y,chthamalus,recruit,12
B,1,A,N,balanus,adult,54
B,2,W,Y,balanus,adult,9
B,3,W,N,balanus,adult,1
B,4,A,Y,balanus,adult,202
B,5,A,Y,balanus,adult,51
B,6,A,N,balanus,adult,8
B,7,W,Y,balanus,adult,0
B,8,A,N,balanus,adult,50
B,9,W,N,balanus,adult,0
B,12,W,Y,balanus,adult,2
B,13,A,Y,balanus,adult,35
B,14,W,Y,balanus,adult,3
B,15,W,Y,balanus,adult,2
B,16,A,N,balanus,adult,1
B,1,A,N,balanus,recruit,2
B,2,W,Y,balanus,recruit,1
B,3,W,N,balanus,recruit,0
B,4,A,Y,balanus,recruit,28
B,5,A,Y,balanus,recruit,4
B,6,A,N,balanus,recruit,2
B,7,W,Y,balanus,recruit,0
B,8,A,N,balanus,recruit,8
B,9,W,N,balanus,recruit,0
B,12,W,Y,balanus,recruit,0
B,13,A,Y,balanus,recruit,4
B,14,W,Y,balanus,recruit,0
B,15,W,Y,balanus,recruit,1
B,16,A,N,balanus,recruit,0
B,1,A,N,chthamalus,adult,17
B,2,W,Y,chthamalus,adult,1
B,3,W,N,chthamalus,adult,3
B,4,A,Y,chthamalus,adult,18
B,5,A,Y,chthamalus,adult,18
B,6,A,N,chthamalus,adult,10
B,7,W,Y,chthamalus,adult,1
B,8,A,N,chthamalus,adult,7
B,9,W,N,chthamalus,adult,2
B,12,W,Y,chthamalus,adult,9
B,13,A,Y,chthamalus,adult,6
B,14,W,Y,chthamalus,adult,9
B,15,W,Y,chthamalus,adult,2
B,16,A,N,chthamalus,adult,0
B,1,A,N,chthamalus,recruit,7
B,2,W,Y,chthamalus,recruit,0
B,3,W,N,chthamalus,recruit,0
B,4,A,Y,chthamalus,recruit,4
B,5,A,Y,chthamalus,recruit,6
B,6,A,N,chthamalus,recruit,4
B,7,W,Y,chthamalus,recruit,0
B,8,A,N,chthamalus,recruit,0
B,9,W,N,chthamalus,recruit,0
B,12,W,Y,chthamalus,recruit,0
B,13,A,Y,chthamalus,recruit,10
B,14,W,Y,chthamalus,recruit,7
B,15,W,Y,chthamalus,recruit,0
B,16,A,N,chthamalus,recruit,2
C,1,W,Y,balanus,adult,1
C,3,A,Y,balanus,adult,13
C,4,A,N,balanus,adult,44
C,5,W,N,balanus,adult,50
C,6,W,Y,balanus,adult,30
C,7,A,N,balanus,adult,68
C,8,A,N,balanus,adult,136
C,9,A,Y,balanus,adult,194
C,10,W,Y,balanus,adult,10
C,11,W,Y,balanus,adult,23
C,12,W,Y,balanus,adult,16
C,13,A,Y,balanus,adult,108
C,14,W,N,balanus,adult,40
C,15,A,Y,balanus,adult,41
C,16,W,N,balanus,adult,35
C,1,W,Y,balanus,recruit,0
C,3,A,Y,balanus,recruit,4
C,4,A,N,balanus,recruit,3
C,5,W,N,balanus,recruit,1
C,6,W,Y,balanus,recruit,1
C,7,A,N,balanus,recruit,2
C,8,A,N,balanus,recruit,11
C,9,A,Y,balanus,recruit,14
C,10,W,Y,balanus,recruit,2
C,11,W,Y,balanus,recruit,1
C,12,W,Y,balanus,recruit,1
C,13,A,Y,balanus,recruit,18
C,14,W,N,balanus,recruit,0
C,15,A,Y,balanus,recruit,2
C,16,W,N,balanus,recruit,2
C,1,W,Y,chthamalus,adult,5
C,3,A,Y,chthamalus,adult,6
C,4,A,N,chthamalus,adult,12
C,5,W,N,chthamalus,adult,6
C,6,W,Y,chthamalus,adult,3
C,7,A,N,chthamalus,adult,17
C,8,A,N,chthamalus,adult,3
C,9,A,Y,chthamalus,adult,17
C,10,W,Y,chthamalus,adult,3
C,11,W,Y,chthamalus,adult,10
C,12,W,Y,chthamalus,adult,7
C,13,A,Y,chthamalus,adult,5
C,14,W,N,chthamalus,adult,13
C,15,A,Y,chthamalus,adult,19
C,16,W,N,chthamalus,adult,4
C,1,W,Y,chthamalus,recruit,0
C,3,A,Y,chthamalus,recruit,3
C,4,A,N,chthamalus,recruit,14
C,5,W,N,chthamalus,recruit,3
C,6,W,Y,chthamalus,recruit,1
C,7,A,N,chthamalus,recruit,4
C,8,A,N,chthamalus,recruit,1
C,9,A,Y,chthamalus,recruit,4
C,10,W,Y,chthamalus,recruit,1
C,11,W,Y,chthamalus,recruit,1
C,12,W,Y,chthamalus,recruit,6
C,13,A,Y,chthamalus,recruit,2
C,14,W,N,chthamalus,recruit,4
C,15,A,Y,chthamalus,recruit,16
C,16,W,N,chthamalus,recruit,6
D,1,A,Y,balanus,adult,233
D,2,A,Y,balanus,adult,189
D,4,W,N,balanus,adult,203
D,5,A,Y,balanus,adult,229
D,6,A,Y,balanus,adult,336
D,7,W,Y,balanus,adult,15
D,8,W,Y,balanus,adult,289
D,9,W,Y,balanus,adult,60
D,10,A,Y,balanus,adult,81
D,11,W,N,balanus,adult,45
D,12,A,N,balanus,adult,118
D,13,W,N,balanus,adult,9
D,14,A,N,balanus,adult,128
D,15,A,N,balanus,adult,209
D,16,W,Y,balanus,adult,11
D,1,A,Y,balanus,recruit,4
D,2,A,Y,balanus,recruit,8
D,4,W,N,balanus,recruit,0
D,5,A,Y,balanus,recruit,25
D,6,A,Y,balanus,recruit,4
D,7,W,Y,balanus,recruit,0
D,8,W,Y,balanus,recruit,1
D,9,W,Y,balanus,recruit,0
D,10,A,Y,balanus,recruit,4
D,11,W,N,balanus,recruit,2
D,12,A,N,balanus,recruit,6
D,13,W,N,balanus,recruit,0
D,14,A,N,balanus,recruit,6
D,15,A,N,balanus,recruit,9
D,16,W,Y,balanus,recruit,0
D,1,A,Y,chthamalus,adult,31
D,2,A,Y,chthamalus,adult,32
D,4,W,N,chthamalus,adult,16
D,5,A,Y,chthamalus,adult,6
D,6,A,Y,chthamalus,adult,15
D,7,W,Y,chthamalus,adult,17
D,8,W,Y,chthamalus,adult,5
D,9,W,Y,chthamalus,adult,4
D,10,A,Y,chthamalus,adult,22
D,11,W,N,chthamalus,adult,5
D,12,A,N,chthamalus,adult,50
D,13,W,N,chthamalus,adult,0
D,14,A,N,chthamalus,adult,12
D,15,A,N,chthamalus,adult,11
D,16,W,Y,chthamalus,adult,12
D,1,A,Y,chthamalus,recruit,16
D,2,A,Y,chthamalus,recruit,40
D,4,W,N,chthamalus,recruit,13
D,5,A,Y,chthamalus,recruit,6
D,6,A,Y,chthamalus,recruit,7
D,7,W,Y,chthamalus,recruit,3
D,8,W,Y,chthamalus,recruit,2
D,9,W,Y,chthamalus,recruit,6
D,10,A,Y,chthamalus,recruit,25
D,11,W,N,chthamalus,recruit,1
D,12,A,N,chthamalus,recruit,55
D,13,W,N,chthamalus,recruit,1
D,14,A,N,chthamalus,recruit,56
D,15,A,N,chthamalus,recruit,18
D,16,W,Y,chthamalus,recruit,7
E,4,A,N,balanus,adult,125
E,6,W,Y,balanus,adult,6
E,7,A,N,balanus,adult,30
E,8,A,Y,balanus,adult,188
E,9,A,Y,balanus,adult,262
E,10,A,Y,balanus,adult,243
E,11,A,N,balanus,adult,42
E,12,W,N,balanus,adult,44
E,13,W,N,balanus,adult,23
E,14,W,N,balanus,adult,2
E,15,W,Y,balanus,adult,1
E,16,W,Y,balanus,adult,22
E,4,A,N,balanus,recruit,8
E,6,W,Y,balanus,recruit,3
E,7,A,N,balanus,recruit,5
E,8,A,Y,balanus,recruit,8
E,9,A,Y,balanus,recruit,10
E,10,A,Y,balanus,recruit,2
E,11,A,N,balanus,recruit,6
E,12,W,N,balanus,recruit,2
E,13,W,N,balanus,recruit,1
E,14,W,N,balanus,recruit,0
E,15,W,Y,balanus,recruit,5
E,16,W,Y,balanus,recruit,0
E,4,A,N,chthamalus,adult,6
E,6,W,Y,chthamalus,adult,4
E,7,A,N,chthamalus,adult,10
E,8,A,Y,chthamalus,adult,15
E,9,A,Y,chthamalus,adult,3
E,10,A,Y,chthamalus,adult,32
E,11,A,N,chthamalus,adult,18
E,12,W,N,chthamalus,adult,8
E,13,W,N,chthamalus,adult,11
E,14,W,N,chthamalus,adult,0
E,15,W,Y,chthamalus,adult,6
E,16,W,Y,chthamalus,adult,3
E,4,A,N,chthamalus,recruit,9
E,6,W,Y,chthamalus,recruit,1
E,7,A,N,chthamalus,recruit,7
E,8,A,Y,chthamalus,recruit,5
E,9,A,Y,chthamalus,recruit,4
E,10,A,Y,chthamalus,recruit,13
E,11,A,N,chthamalus,recruit,6
E,12,W,N,chthamalus,recruit,12
E,13,W,N,chthamalus,recruit,16
E,14,W,N,chthamalus,recruit,8
E,15,W,Y,chthamalus,recruit,3
E,16,W,Y,chthamalus,recruit,4
F,1,W,Y,balanus,adult,0
F,2,W,Y,balanus,adult,1
F,3,W,N,balanus,adult,8
F,4,A,Y,balanus,adult,118
F,5,A,N,balanus,adult,198
F,6,A,N,balanus,adult,96
F,7,W,N,balanus,adult,1
F,8,W,Y,balanus,adult,17
F,10,A,N,balanus,adult,40
F,11,A,Y,balanus,adult,63
F,12,A,Y,balanus,adult,159
F,13,W,Y,balanus,adult,0
F,15,W,N,balanus,adult,1
F,16,W,Y,balanus,adult,0
F,1,W,Y,balanus,recruit,2
F,2,W,Y,balanus,recruit,0
F,3,W,N,balanus,recruit,0
F,4,A,Y,balanus,recruit,7
F,5,A,N,balanus,recruit,3
F,6,A,N,balanus,recruit,2
F,7,W,N,balanus,recruit,0
F,8,W,Y,balanus,recruit,0
F,10,A,N,balanus,recruit,6
F,11,A,Y,balanus,recruit,10
F,12,A,Y,balanus,recruit,8
F,13,W,Y,balanus,recruit,2
F,15,W,N,balanus,recruit,5
F,16,W,Y,balanus,recruit,1
F,1,W,Y,chthamalus,adult,11
F,2,W,Y,chthamalus,adult,21
F,3,W,N,chthamalus,adult,7
F,4,A,Y,chthamalus,adult,28
F,5,A,N,chthamalus,adult,32
F,6,A,N,chthamalus,adult,8
F,7,W,N,chthamalus,adult,1
F,8,W,Y,chthamalus,adult,19
F,10,A,N,chthamalus,adult,15
F,11,A,Y,chthamalus,adult,49
F,12,A,Y,chthamalus,adult,53
F,13,W,Y,chthamalus,adult,0
F,15,W,N,chthamalus,adult,0
F,16,W,Y,chthamalus,adult,0
F,1,W,Y,chthamalus,recruit,14
F,2,W,Y,chthamalus,recruit,6
F,3,W,N,chthamalus,recruit,7
F,4,A,Y,chthamalus,recruit,45
F,5,A,N,chthamalus,recruit,18
F,6,A,N,chthamalus,recruit,13
F,7,W,N,chthamalus,recruit,0
F,8,W,Y,chthamalus,recruit,11
F,10,A,N,chthamalus,recruit,6
F,11,A,Y,chthamalus,recruit,31
F,12,A,Y,chthamalus,recruit,32
