"","date_time","temp","block","number","colour"
"1","2019-06-06 18:02:00",16.5,"A","rock","rock"
"2","2019-06-06 19:02:00",15,"A","rock","rock"
"3","2019-06-06 20:02:00",13.5,"A","rock","rock"
"4","2019-06-06 21:02:00",13,"A","rock","rock"
"5","2019-06-06 22:02:00",12.5,"A","rock","rock"
"6","2019-06-06 23:02:00",12,"A","rock","rock"
"7","2019-06-07 00:02:00",11.5,"A","rock","rock"
"8","2019-06-07 01:02:00",11,"A","rock","rock"
"9","2019-06-07 02:02:00",10.5,"A","rock","rock"
"10","2019-06-07 03:02:00",10.5,"A","rock","rock"
"11","2019-06-07 04:02:00",10,"A","rock","rock"
"12","2019-06-07 05:02:00",10,"A","rock","rock"
"13","2019-06-07 06:02:00",10,"A","rock","rock"
"14","2019-06-07 07:02:00",10,"A","rock","rock"
"15","2019-06-07 08:02:00",11.5,"A","rock","rock"
"16","2019-06-07 09:02:00",15,"A","rock","rock"
"17","2019-06-07 10:02:00",18.5,"A","rock","rock"
"18","2019-06-07 11:02:00",20.5,"A","rock","rock"
"19","2019-06-07 12:02:00",20.5,"A","rock","rock"
"20","2019-06-07 13:02:00",21,"A","rock","rock"
"21","2019-06-07 14:02:00",23,"A","rock","rock"
"22","2019-06-07 15:02:00",23.5,"A","rock","rock"
"23","2019-06-07 16:02:00",21,"A","rock","rock"
"24","2019-06-07 17:02:00",18,"A","rock","rock"
"25","2019-06-07 18:02:00",15.5,"A","rock","rock"
"26","2019-06-07 19:02:00",13,"A","rock","rock"
"27","2019-06-07 20:02:00",11.5,"A","rock","rock"
"28","2019-06-07 21:02:00",11,"A","rock","rock"
"29","2019-06-07 22:02:00",11,"A","rock","rock"
"30","2019-06-07 23:02:00",11,"A","rock","rock"
"31","2019-06-08 00:02:00",10.5,"A","rock","rock"
"32","2019-06-08 01:02:00",11,"A","rock","rock"
"33","2019-06-08 02:02:00",11,"A","rock","rock"
"34","2019-06-08 03:02:00",11,"A","rock","rock"
"35","2019-06-08 04:02:00",11,"A","rock","rock"
"36","2019-06-08 05:02:00",11.5,"A","rock","rock"
"37","2019-06-08 06:02:00",11,"A","rock","rock"
"38","2019-06-08 07:02:00",11.5,"A","rock","rock"
"39","2019-06-08 08:02:00",11.5,"A","rock","rock"
"40","2019-06-08 09:02:00",11.5,"A","rock","rock"
"41","2019-06-08 10:02:00",12,"A","rock","rock"
"42","2019-06-08 11:02:00",24.5,"A","rock","rock"
"43","2019-06-08 12:02:00",26.5,"A","rock","rock"
"44","2019-06-08 13:02:00",28.5,"A","rock","rock"
"45","2019-06-08 14:02:00",28.5,"A","rock","rock"
"46","2019-06-08 15:02:00",27,"A","rock","rock"
"47","2019-06-08 16:02:00",24,"A","rock","rock"
"48","2019-06-08 17:02:00",21.5,"A","rock","rock"
"49","2019-06-08 18:02:00",19,"A","rock","rock"
"50","2019-06-08 19:02:00",16.5,"A","rock","rock"
"51","2019-06-08 20:02:00",12.5,"A","rock","rock"
"52","2019-06-08 21:02:00",12,"A","rock","rock"
"53","2019-06-08 22:02:00",12,"A","rock","rock"
"54","2019-06-08 23:02:00",11.5,"A","rock","rock"
"55","2019-06-09 00:02:00",11,"A","rock","rock"
"56","2019-06-09 01:02:00",11,"A","rock","rock"
"57","2019-06-09 02:02:00",11,"A","rock","rock"
"58","2019-06-09 03:02:00",11,"A","rock","rock"
"59","2019-06-09 04:02:00",11,"A","rock","rock"
"60","2019-06-09 05:02:00",10,"A","rock","rock"
"61","2019-06-09 06:02:00",11.5,"A","rock","rock"
"62","2019-06-09 07:02:00",16,"A","rock","rock"
"63","2019-06-09 08:02:00",12,"A","rock","rock"
"64","2019-06-09 09:02:00",12,"A","rock","rock"
"65","2019-06-09 10:02:00",13,"A","rock","rock"
"66","2019-06-09 11:02:00",16,"A","rock","rock"
