block,number,angle,ibutton,laser_tile,tile_cd
A,1,16,yes,1.55,2.498669
A,2,23,yes,1.55,2.498669
A,3,32,yes,1.81,2.238669
A,4,32,yes,1.81,2.238669
A,5,34,yes,1.81,2.238669
A,6,23,yes,,
A,7,23,yes,1.59,2.458669
A,8,18,no,1.59,2.458669
A,9,17,yes,1.59,2.458669
A,10,18,no,,
A,11,20,no,,
A,12,17,no,,
A,13,23,no,1.66,2.388669
A,14,19,yes,,
A,15,19,no,,
A,16,28,yes,,
A,17,36,yes,,
A,18,29,yes,,
A,19,15,no,,
A,20,10,yes,1.71,2.338669
B,1,13,yes,1.71,2.338669
B,2,14,yes,,
B,3,14,yes,,
B,4,28,yes,,
B,5,24,yes,,
B,6,23,no,,
B,7,23,yes,1.63,2.418669
B,8,28,yes,,
B,9,21,no,,
B,10,24,yes,,
B,11,23,yes,,
B,12,26,yes,,
B,13,16,yes,,
B,14,14,yes,,
B,15,15,yes,1.61,2.438669
B,16,11,yes,,
B,17,34,no,,
B,18,29,yes,,
B,19,32,yes,,
B,20,33,no,1.63,2.418669
C,1,14,yes,,
C,2,12,no,1.82,2.07374425
C,3,16,yes,1.82,2.07374425
C,4,18,yes,,
C,5,20,no ,,
C,6,15,no ,1.85,2.04374425
C,7,19,no ,1.85,2.04374425
C,8,16,yes,,
C,9,20,yes,1.74,2.15374425
C,10,20,yes,1.74,2.15374425
C,11,16,yes,,
C,12,11,yes,,
C,13,10,yes,,
C,14,9,yes,,
C,15,11,no ,,
C,16,13,yes,,
C,17,14,yes,1.77,2.12374425
C,18,18,yes,,
C,19,15,yes,,
C,20,15,no,1.72,2.17374425
D,1,15,yes,1.68,2.21374425
D,2,16,yes,1.68,2.21374425
D,3,19,no,,
D,4,11,yes,,
D,5,19,yes,,
D,6,20,yes,,
D,7,20,yes,,
D,8,29,yes,,
D,9,22,yes,,
D,10,22,yes,1.68,2.21374425
D,11,24,yes,1.68,2.21374425
D,12,26,yes,1.59,2.30374425
D,13,25,yes,,
D,14,25,yes,,
D,15,30,yes,,
D,16,23,yes,,
D,17,29,yes,,
D,18,24,yes,1.59,2.30374425
D,19,28,yes,1.6,2.29374425
D,20,28,yes,1.6,2.29374425
E,1,11,no ,1.67,2.22374425
E,2,1,yes,,
E,3,8,yes,1.72,2.17374425
E,4,6,yes,1.72,2.17374425
E,5,9,yes,,
E,6,12,yes,1.78,2.11374425
E,7,16,yes,,
E,8,12,yes,,
E,9,11,yes,,
E,10,12,yes,,
E,11,9,yes,,
E,12,12,yes,,
E,13,17,yes,,
E,14,16,yes,,
E,15,16,yes,,
E,16,14,yes,1.68,2.21374425
E,17,8,yes,,
E,18,7,yes,,
E,19,7,yes,,
E,20,5,no,,
