"","X1","date","block","number","species","percent_cover","colour","timediff"
"1",301,2019-06-05,"B",7,"ulothrix",37,"warm",7.67261904761905
"2",302,2019-06-05,"B",8,"ulothrix",4,"warm",7.67261904761905
"3",303,2019-06-05,"B",11,"ulothrix",12,"ambient",7.67261904761905
"4",304,2019-06-05,"C",2,"ulothrix",21,"ambient",7.67261904761905
"5",305,2019-06-05,"B",10,"ulothrix",58,"warm",7.67261904761905
"6",306,2019-06-05,"C",2,"ulothrix",65,"ambient",7.67261904761905
"7",307,2019-06-05,"C",4,"ulothrix",35,"warm",7.67261904761905
"8",308,2019-06-05,"C",5,"ulothrix",28,"ambient",7.67261904761905
"9",309,2019-06-05,"C",2,"ulothrix",10,"ambient",7.67261904761905
"10",310,2019-06-05,"B",14,"ulothrix",2,"warm",7.67261904761905
"11",311,2019-06-05,"B",16,"ulothrix",1,"warm",7.67261904761905
"12",312,2019-06-05,"C",1,"ulothrix",4,"warm",7.67261904761905
"13",313,2019-06-05,"C",3,"ulothrix",3,"ambient",7.67261904761905
"14",314,2019-06-05,"B",2,"ulothrix",20,"warm",7.67261904761905
"15",315,2019-06-05,"B",9,"ulothrix",4,"ambient",7.67261904761905
"16",316,2019-06-05,"B",10,"ulothrix",4,"warm",7.67261904761905
"17",317,2019-06-05,"B",5,"ulothrix",76,"ambient",7.67261904761905
"18",318,2019-06-05,"B",1,"ulothrix",8,"warm",7.67261904761905
"19",319,2019-06-05,"B",13,"ulothrix",1.5,"ambient",7.67261904761905
"20",320,2019-06-05,"B",12,"ulothrix",3,"warm",7.67261904761905
"21",321,2019-06-05,"F",1,"ulothrix",1,"warm",7.67261904761905
"22",322,2019-06-05,"F",2,"ulothrix",2,"warm",7.67261904761905
"23",323,2019-06-05,"F",3,"ulothrix",2.5,"ambient",7.67261904761905
"24",324,2019-06-05,"F",4,"ulothrix",5,"ambient",7.67261904761905
"25",325,2019-06-05,"F",5,"ulothrix",21,"warm",7.67261904761905
"26",326,2019-06-05,"C",8,"ulothrix",2,"warm",7.67261904761905
"27",327,2019-06-05,"F",6,"ulothrix",1,"warm",7.67261904761905
"28",328,2019-06-05,"C",7,"ulothrix",5,"warm",7.67261904761905
"29",329,2019-06-05,"F",7,"ulothrix",0.5,"ambient",7.67261904761905
"30",330,2019-06-05,"F",8,"ulothrix",1.5,"warm",7.67261904761905
"31",331,2019-06-05,"F",9,"ulothrix",0.5,"ambient",7.67261904761905
"32",332,2019-06-05,"F",10,"ulothrix",0,"warm",7.67261904761905
"33",333,2019-06-05,"F",11,"ulothrix",0,"ambient",7.67261904761905
"34",334,2019-06-05,"F",12,"ulothrix",0,"ambient",7.67261904761905
"35",335,2019-06-05,"F",13,"ulothrix",0,"warm",7.67261904761905
"36",336,2019-06-05,"F",14,"ulothrix",0.5,"ambient",7.67261904761905
"37",337,2019-06-05,"F",15,"ulothrix",0,"ambient",7.67261904761905
"38",338,2019-06-05,"F",16,"ulothrix",0,"warm",7.67261904761905
